id_prestamo,edad,ingresos_mensuales_eur,ingresos_conyuge_eur,importe_prestamo_eur,plazo_meses,cuota_mensual_eur,ratio_endeudamiento,ratio_cuota_ingreso,antiguedad_empleo_anos,antiguedad_cliente_anos,num_prestamos_previos,num_prestamos_activos,num_impagos_previos,dias_mora_max_historico,score_credito,score_externo,saldo_medio_cuenta_eur,num_productos_contratados,patrimonio_declarado_eur,num_consultas_buro_6m,tasa_interes_pct,gastos_fijos_mensuales_eur,finalidad,tipo_empleo,regimen_vivienda,nivel_estudios,sector_actividad,tiene_avalista,impago
PRE000015,54,2550.0,513.0,20826,48,469.0,18.4,15.3,2.0,1.8,1.0,0,1,12,639,582,3773.0,3.0,80012,1,8.9,1359.0,consumo,temporal,propiedad,medio,servicios,si,0
PRE000016,29,2322.0,0.0,4785,36,144.0,6.2,6.2,10.6,10.6,1.0,0,1,3,709,754,2441.0,2.0,114196,1,7.4,1435.0,negocio,temporal,hipoteca,medio,servicios,no,0
PRE000017,47,1737.0,0.0,13588,48,306.0,17.6,17.6,0.2,1.1,0.0,0,0,31,756,702,4967.0,5.0,151383,0,5.7,1011.0,consumo,funcionario,hipoteca,medio,servicios,no,0
PRE000018,18,1866.0,670.0,7762,24,349.0,18.7,13.8,7.7,2.5,2.0,2,3,26,497,456,,1.0,0,3,11.9,,vivienda,temporal,alquiler,superior,agrario,no,1
PRE000019,59,3764.0,1649.0,34037,60,613.0,16.3,11.3,7.9,3.8,1.0,1,1,11,683,723,3866.0,4.0,124405,1,6.8,2551.0,consumo,temporal,alquiler,medio,construccion,no,0
PRE000020,41,2748.0,0.0,4039,72,61.0,2.2,2.2,20.2,3.0,0.0,1,0,0,850,787,8182.0,,195515,0,2.9,1575.0,coche,temporal,alquiler,medio,construccion,no,0
PRE000021,74,3390.0,729.0,5445,48,123.0,3.6,3.0,3.4,1.3,3.0,3,0,8,659,710,5546.0,3.0,147464,0,6.2,1294.0,consumo,fijo,hipoteca,medio,publico,no,0
PRE000022,38,1779.0,540.0,25269,12,2274.0,127.8,98.0,19.3,1.1,1.0,0,4,72,379,395,-2000.0,3.0,0,4,17.4,1192.0,vivienda,temporal,propiedad,medio,publico,no,1
PRE000023,18,3039.0,1516.0,19179,120,173.0,5.7,3.8,2.8,1.9,1.0,1,0,13,666,637,,1.0,112922,2,8.7,878.0,vivienda,fijo,propiedad,medio,industria,si,0
PRE000024,22,,,22660,12,2039.0,52.6,,2.2,10.5,1.0,1,0,0,797,829,10157.0,8.0,232052,0,2.0,581.0,consumo,autonomo,alquiler,medio,agrario,si,0
PRE000025,51,4895.0,3410.0,4468,60,80.0,1.6,1.0,7.7,10.3,1.0,0,1,1,675,638,3819.0,4.0,87041,1,7.0,2534.0,vivienda,temporal,alquiler,medio,agrario,no,0
PRE000026,63,1444.0,285.0,3561,96,40.0,2.8,2.3,6.3,27.5,3.0,3,0,28,539,496,-936.0,2.0,0,4,13.2,427.0,estudios,temporal,propiedad,medio,industria,no,0
PRE000027,44,1474.0,498.0,2462,12,222.0,15.0,11.2,7.4,31.4,1.0,1,0,47,550,481,-991.0,7.0,0,8,9.6,593.0,estudios,funcionario,hipoteca,basico,servicios,no,0
PRE000028,39,2374.0,813.0,24665,72,370.0,15.6,11.6,2.1,0.6,,1,0,0,752,855,8965.0,5.0,146498,0,,518.0,negocio,fijo,propiedad,medio,publico,si,0
PRE000029,43,1870.0,19.0,9059,36,272.0,14.5,14.4,4.8,8.3,1.0,1,0,30,702,736,2582.0,5.0,126835,4,,577.0,vivienda,funcionario,hipoteca,medio,agrario,no,0
PRE000030,35,1227.0,475.0,7503,36,225.0,18.3,13.2,6.0,9.5,,3,0,10,651,704,5486.0,4.0,79717,0,6.5,632.0,coche,autonomo,hipoteca,medio,servicios,no,0
PRE000031,34,807.0,473.0,6924,24,312.0,38.6,24.3,4.2,15.1,0.0,1,0,22,514,489,1733.0,,0,3,12.5,344.0,vivienda,autonomo,alquiler,superior,industria,no,0
PRE000032,57,2072.0,475.0,15038,60,,13.1,10.6,0.7,0.1,,1,0,3,801,693,6541.0,3.0,135418,2,3.8,950.0,negocio,temporal,hipoteca,medio,industria,no,0
PRE000033,39,1574.0,864.0,4107,120,37.0,2.3,1.5,2.4,6.4,,0,0,14,600,609,5301.0,3.0,48026,1,5.8,564.0,vivienda,fijo,hipoteca,medio,construccion,no,0
PRE000034,41,1916.0,414.0,32308,36,969.0,50.6,41.6,2.0,4.2,1.0,3,0,40,697,785,5753.0,5.0,97101,0,,891.0,vivienda,autonomo,hipoteca,medio,servicios,no,0
PRE000035,42,1736.0,414.0,12536,60,226.0,13.0,10.5,3.7,28.8,0.0,2,0,13,693,695,3211.0,4.0,46889,0,,486.0,consumo,fijo,hipoteca,superior,construccion,si,0
PRE000036,52,2107.0,1226.0,10606,120,95.0,4.5,2.9,,1.0,1.0,1,1,37,574,488,,3.0,23784,4,12.3,815.0,coche,fijo,hipoteca,basico,construccion,si,1
PRE000037,61,,423.0,6127,24,276.0,12.5,10.5,0.6,0.5,3.0,0,0,11,689,634,1445.0,4.0,112370,2,4.7,1281.0,consumo,temporal,alquiler,basico,servicios,no,1
PRE000038,40,2259.0,152.0,28135,120,253.0,11.2,,0.3,13.4,2.0,1,1,29,677,627,3524.0,5.0,116095,0,9.4,1107.0,coche,temporal,hipoteca,medio,publico,no,0
PRE000039,28,2155.0,344.0,12021,72,180.0,8.4,7.2,4.6,13.2,1.0,1,2,30,536,484,1004.0,3.0,0,3,9.2,920.0,negocio,fijo,hipoteca,basico,construccion,no,0
PRE000040,32,3094.0,2079.0,5912,12,532.0,17.2,10.3,16.8,0.9,2.0,1,0,14,619,614,1056.0,2.0,73782,1,8.0,1174.0,consumo,autonomo,propiedad,superior,servicios,no,0
PRE000041,38,3022.0,1567.0,19806,60,357.0,11.8,7.8,1.4,5.3,1.0,0,0,49,633,654,3757.0,5.0,66225,1,8.0,,negocio,autonomo,alquiler,medio,construccion,no,0
PRE000042,51,1418.0,586.0,9931,24,447.0,31.5,22.3,2.2,5.7,2.0,0,1,40,515,533,-2000.0,,0,3,14.7,596.0,coche,fijo,hipoteca,medio,construccion,no,0
PRE000043,50,3442.0,1778.0,9315,24,419.0,12.2,8.0,0.4,0.2,1.0,1,0,20,555,625,4492.0,4.0,74028,2,10.4,1387.0,vivienda,temporal,hipoteca,basico,servicios,no,0
PRE000044,36,1862.0,761.0,6669,72,100.0,5.4,3.8,19.3,15.3,1.0,1,1,43,578,525,2222.0,4.0,19171,5,8.2,916.0,consumo,autonomo,hipoteca,medio,servicios,no,1
PRE000045,37,1133.0,981.0,25565,36,767.0,67.6,36.3,1.7,0.7,3.0,1,0,28,657,508,4782.0,2.0,42377,0,,113.0,estudios,temporal,propiedad,basico,agrario,si,0
PRE000046,29,2267.0,857.0,12133,72,182.0,8.0,5.8,4.1,3.6,3.0,2,1,10,661,638,3082.0,3.0,45795,1,9.4,926.0,vivienda,autonomo,hipoteca,basico,industria,no,0
PRE000047,46,1621.0,489.0,16541,120,149.0,9.2,7.1,,27.7,2.0,3,1,69,537,523,229.0,1.0,0,5,9.9,562.0,negocio,fijo,alquiler,basico,servicios,si,0
PRE000048,35,1467.0,0.0,7946,84,102.0,7.0,7.0,0.3,6.5,2.0,0,1,24,543,555,937.0,1.0,26023,2,11.4,801.0,vivienda,temporal,hipoteca,medio,industria,no,0
PRE000049,53,1008.0,486.0,5141,72,77.0,7.6,5.2,0.8,7.4,,1,1,37,652,630,4656.0,8.0,1665,2,6.8,307.0,coche,autonomo,propiedad,basico,publico,no,0
PRE000050,18,3228.0,,28386,120,255.0,7.9,4.8,12.6,2.3,0.0,0,0,33,726,700,6837.0,5.0,157779,0,5.2,,coche,fijo,alquiler,superior,servicios,no,1
PRE000051,29,1520.0,1824.0,15030,60,271.0,17.8,8.1,1.3,0.7,1.0,0,0,1,752,734,3613.0,3.0,94908,0,6.3,815.0,coche,temporal,propiedad,basico,publico,no,0
PRE000052,43,2587.0,1394.0,4361,120,39.0,1.5,1.0,0.8,19.0,2.0,0,2,23,543,484,2226.0,2.0,11295,2,10.8,777.0,coche,funcionario,hipoteca,medio,agrario,no,0
PRE000053,31,3472.0,3095.0,14676,60,264.0,7.6,4.0,1.9,12.2,1.0,0,0,20,668,689,1662.0,4.0,70968,4,10.0,1356.0,coche,autonomo,alquiler,basico,servicios,no,0
PRE000054,18,1801.0,531.0,15221,24,685.0,38.0,29.4,0.8,16.8,1.0,2,0,0,757,823,7653.0,6.0,193206,0,2.9,563.0,vivienda,temporal,propiedad,medio,servicios,no,0
PRE000055,43,3801.0,3201.0,13135,48,296.0,7.8,4.2,22.7,5.9,1.0,2,0,5,656,722,6336.0,4.0,55093,0,8.6,1287.0,vivienda,temporal,propiedad,basico,publico,si,0
PRE000056,45,1541.0,1456.0,9485,24,427.0,27.7,14.2,3.4,8.3,,0,0,39,656,711,3379.0,,106406,1,7.3,,consumo,fijo,alquiler,medio,publico,no,0
PRE000057,62,3505.0,1476.0,13668,48,308.0,8.8,6.2,2.4,1.9,0.0,0,0,0,787,802,9997.0,5.0,227208,0,5.9,1718.0,negocio,funcionario,alquiler,superior,industria,no,0
PRE000058,57,3523.0,1721.0,7129,72,107.0,3.0,2.0,1.0,16.0,0.0,3,0,31,655,606,410.0,4.0,14079,2,8.5,1909.0,coche,fijo,hipoteca,medio,servicios,no,0
PRE000059,51,2031.0,393.0,13901,120,125.0,6.2,5.2,16.4,12.6,0.0,2,0,20,700,646,4854.0,,155541,2,6.1,1184.0,consumo,temporal,alquiler,medio,servicios,no,0
PRE000060,51,1447.0,542.0,9356,84,120.0,8.3,6.0,0.7,13.4,0.0,1,1,6,733,744,6407.0,5.0,108659,0,6.1,354.0,vivienda,fijo,propiedad,superior,servicios,no,1
PRE000061,45,2079.0,1125.0,4641,84,60.0,2.9,1.9,,0.7,3.0,0,3,39,454,423,-2000.0,5.0,0,4,15.8,424.0,consumo,temporal,hipoteca,medio,servicios,no,1
PRE000062,50,2154.0,0.0,32285,96,363.0,16.9,,4.8,4.4,2.0,0,0,44,619,673,3875.0,2.0,39573,1,6.6,,consumo,fijo,hipoteca,medio,servicios,no,1
PRE000063,44,1452.0,0.0,8648,48,195.0,13.4,13.4,2.7,5.2,0.0,0,0,8,676,645,3612.0,2.0,72158,0,5.5,540.0,consumo,autonomo,propiedad,basico,publico,si,0
PRE000064,53,2056.0,0.0,7075,96,80.0,3.9,3.9,0.2,1.8,1.0,0,1,14,601,690,3081.0,1.0,54992,1,7.3,1211.0,estudios,fijo,hipoteca,medio,servicios,no,0
PRE000065,30,2454.0,0.0,5968,60,107.0,4.4,4.4,0.8,0.6,,1,0,0,703,638,6471.0,5.0,171197,1,6.9,832.0,vivienda,fijo,propiedad,basico,servicios,no,0
PRE000066,18,1147.0,884.0,21520,72,323.0,28.1,15.9,5.5,0.3,1.0,0,2,34,416,414,-2000.0,2.0,0,4,12.0,472.0,estudios,funcionario,propiedad,basico,publico,no,0
PRE000067,42,2520.0,429.0,22675,120,204.0,8.1,6.9,18.7,6.7,0.0,0,0,14,713,694,2720.0,1.0,152914,1,8.5,1245.0,estudios,fijo,hipoteca,basico,servicios,no,0
PRE000068,52,2583.0,524.0,13947,36,418.0,16.2,,3.6,0.2,2.0,0,0,16,684,669,,3.0,93388,0,8.2,1463.0,coche,fijo,propiedad,medio,industria,no,0
PRE000069,39,1507.0,1026.0,24293,12,2186.0,145.0,86.3,1.7,10.0,2.0,2,1,34,480,432,-2000.0,3.0,0,4,,1104.0,consumo,fijo,hipoteca,basico,servicios,si,1
PRE000070,42,6122.0,1786.0,7594,48,171.0,2.8,2.2,6.4,7.7,2.0,0,1,19,706,682,3540.0,3.0,130477,0,6.1,2059.0,consumo,autonomo,alquiler,basico,agrario,si,0
PRE000071,45,3399.0,216.0,5487,12,494.0,14.5,13.7,2.6,1.7,,0,2,24,636,580,2684.0,5.0,57848,1,,1512.0,vivienda,fijo,alquiler,basico,industria,si,0
PRE000072,45,2119.0,1412.0,19623,24,883.0,41.7,25.0,,5.5,4.0,0,1,39,684,576,3275.0,2.0,52904,1,,998.0,negocio,fijo,hipoteca,medio,publico,no,1
PRE000073,42,3654.0,1996.0,10777,24,485.0,13.3,,3.6,6.0,0.0,2,0,27,603,644,,3.0,78319,1,8.9,2247.0,vivienda,fijo,alquiler,superior,publico,no,1
PRE000074,25,2899.0,388.0,14903,60,268.0,9.3,8.2,13.1,6.8,3.0,2,0,12,695,601,,3.0,85127,2,6.3,1316.0,vivienda,funcionario,hipoteca,medio,construccion,no,0
PRE000075,52,4120.0,3941.0,9635,48,217.0,5.3,,19.2,1.3,1.0,2,0,27,723,716,2772.0,5.0,160155,2,4.2,2306.0,coche,fijo,alquiler,superior,servicios,si,0
PRE000076,20,3155.0,147.0,3232,36,97.0,3.1,2.9,0.6,4.5,,1,0,27,627,613,1382.0,3.0,78941,3,7.1,718.0,negocio,fijo,propiedad,medio,industria,no,0
PRE000077,27,5020.0,2325.0,13274,120,119.0,2.4,1.6,3.5,2.4,0.0,0,0,0,826,858,,8.0,243868,1,3.5,2511.0,coche,temporal,hipoteca,basico,servicios,no,0
PRE000078,44,5833.0,3325.0,4765,120,43.0,0.7,0.5,4.5,1.5,0.0,1,0,33,620,625,868.0,5.0,14970,4,10.8,2006.0,coche,autonomo,propiedad,medio,publico,no,0
PRE000079,50,2551.0,1125.0,12681,60,228.0,8.9,,0.5,6.5,3.0,1,0,21,606,681,1200.0,,26350,3,9.4,532.0,consumo,autonomo,hipoteca,medio,construccion,no,0
PRE000080,51,3247.0,1843.0,4509,24,203.0,6.2,4.0,3.9,4.3,,1,1,40,652,585,6052.0,3.0,35018,1,8.5,,vivienda,temporal,propiedad,superior,servicios,no,0
PRE000081,43,3264.0,1390.0,10135,84,130.0,4.0,2.8,2.8,7.9,2.0,1,1,9,725,635,3685.0,2.0,72503,2,6.0,1823.0,vivienda,autonomo,hipoteca,medio,industria,no,0
PRE000082,45,4169.0,1432.0,14292,36,429.0,10.3,7.7,,8.5,0.0,1,1,15,739,772,1146.0,3.0,119886,0,5.0,1898.0,estudios,fijo,propiedad,superior,industria,no,0
PRE000083,59,1849.0,1172.0,5542,84,71.0,3.9,2.4,8.4,4.3,0.0,1,0,1,764,769,2933.0,6.0,139256,0,4.2,531.0,consumo,fijo,hipoteca,superior,agrario,no,0
PRE000084,41,2233.0,945.0,3675,96,41.0,1.9,1.3,7.4,2.7,2.0,0,0,34,621,535,1956.0,4.0,24447,3,6.6,864.0,negocio,autonomo,alquiler,basico,industria,no,0
PRE000085,44,4109.0,3031.0,16478,84,212.0,5.2,3.0,,7.5,0.0,0,0,26,703,732,3718.0,2.0,77618,3,7.6,1063.0,vivienda,funcionario,alquiler,superior,servicios,no,0
PRE000086,47,2563.0,407.0,1779,96,20.0,0.8,0.7,7.5,0.2,1.0,1,0,54,692,670,2830.0,5.0,81742,2,5.7,533.0,vivienda,temporal,hipoteca,superior,construccion,no,0
PRE000087,60,2258.0,1486.0,27294,120,246.0,10.9,6.6,4.7,4.1,1.0,1,0,16,727,670,4172.0,2.0,116087,1,5.0,457.0,estudios,fijo,propiedad,medio,publico,no,0
PRE000088,44,2954.0,222.0,6619,96,74.0,2.5,2.3,2.9,3.1,2.0,0,1,23,602,502,1201.0,6.0,0,6,11.0,1294.0,vivienda,temporal,hipoteca,basico,servicios,no,0
PRE000089,39,3136.0,,10222,120,92.0,2.9,2.9,6.4,1.9,1.0,1,0,3,711,734,6384.0,2.0,93664,0,,1387.0,consumo,autonomo,hipoteca,basico,agrario,no,0
PRE000090,45,4367.0,3253.0,7078,36,212.0,4.9,2.8,0.6,12.0,1.0,0,1,11,743,781,5738.0,5.0,76756,0,,,negocio,temporal,propiedad,basico,publico,si,0
PRE000091,41,,1271.0,12649,60,228.0,8.2,5.6,,2.9,2.0,0,0,12,761,721,5411.0,4.0,154001,0,6.9,779.0,estudios,fijo,alquiler,medio,agrario,no,0
PRE000092,59,,328.0,12043,60,217.0,13.6,11.3,0.9,3.6,3.0,1,1,23,564,534,-1648.0,2.0,0,0,9.8,817.0,consumo,temporal,hipoteca,basico,servicios,si,0
PRE000093,33,2808.0,494.0,2516,84,32.0,1.2,1.0,7.0,8.2,1.0,1,1,4,699,719,7754.0,,145363,1,8.0,1697.0,vivienda,fijo,alquiler,superior,servicios,no,0
PRE000094,59,3744.0,2971.0,9540,48,215.0,5.7,3.2,1.4,16.7,2.0,0,0,6,649,656,3946.0,3.0,56870,0,9.4,1230.0,estudios,autonomo,alquiler,basico,industria,si,1
PRE000095,33,2551.0,1224.0,8884,120,80.0,3.1,2.1,2.3,4.6,2.0,0,0,29,533,460,-621.0,3.0,0,3,10.7,850.0,negocio,fijo,hipoteca,basico,construccion,no,0
PRE000096,56,4538.0,0.0,9628,36,289.0,6.4,6.4,5.8,17.3,1.0,1,0,8,674,710,4171.0,2.0,64261,0,5.4,1688.0,vivienda,autonomo,alquiler,medio,industria,no,0
PRE000097,34,1053.0,673.0,9328,96,105.0,10.0,6.1,5.7,1.4,1.0,0,2,24,556,569,1021.0,1.0,0,3,13.3,679.0,consumo,funcionario,hipoteca,medio,publico,si,0
PRE000098,46,1023.0,447.0,7206,60,130.0,12.7,8.8,21.1,5.7,1.0,1,2,19,641,633,3158.0,5.0,110533,2,9.9,,consumo,fijo,alquiler,basico,agrario,no,0
PRE000099,42,2475.0,25.0,13066,72,196.0,7.9,7.8,5.5,3.1,1.0,0,0,45,710,678,5198.0,4.0,100483,3,3.9,1027.0,consumo,fijo,propiedad,medio,construccion,no,1
PRE000100,40,2741.0,927.0,9131,96,103.0,3.7,,1.7,1.6,1.0,0,0,35,648,610,5316.0,1.0,3663,0,9.3,,negocio,temporal,alquiler,superior,servicios,no,0
PRE000101,50,1972.0,0.0,15343,24,690.0,35.0,35.0,2.2,2.5,2.0,4,0,51,633,705,1478.0,4.0,8135,1,9.0,966.0,vivienda,fijo,hipoteca,basico,agrario,no,0
PRE000102,22,1854.0,35.0,5023,12,452.0,24.4,23.9,5.9,0.2,2.0,1,0,39,598,574,4030.0,2.0,32965,3,10.3,1010.0,consumo,funcionario,hipoteca,medio,construccion,no,0
PRE000103,33,1970.0,253.0,22028,96,248.0,12.6,11.1,2.2,0.6,1.0,0,0,28,535,451,,3.0,0,4,11.2,,negocio,fijo,propiedad,medio,construccion,si,1
PRE000104,37,1947.0,881.0,6279,24,283.0,14.5,10.0,0.8,4.0,4.0,0,0,46,717,730,5631.0,6.0,177598,0,5.2,471.0,vivienda,fijo,alquiler,medio,servicios,no,0
PRE000105,52,3040.0,359.0,2234,60,,1.3,,0.4,12.0,1.0,0,0,45,644,717,3314.0,3.0,99036,4,5.7,743.0,negocio,temporal,alquiler,medio,servicios,no,0
PRE000106,31,1815.0,1079.0,10412,120,94.0,5.2,3.2,11.7,4.3,2.0,1,1,12,680,625,,5.0,81652,3,,755.0,consumo,temporal,hipoteca,medio,publico,no,1
PRE000107,46,2948.0,1341.0,2410,84,31.0,1.1,0.7,10.5,2.1,0.0,1,0,10,718,740,5436.0,3.0,162463,0,6.0,1516.0,vivienda,funcionario,hipoteca,medio,agrario,no,0
PRE000108,46,2606.0,2054.0,9832,120,88.0,3.4,1.9,5.9,11.4,,0,1,33,589,530,3392.0,6.0,45885,1,10.2,1042.0,consumo,funcionario,alquiler,basico,industria,si,0
PRE000109,23,2558.0,2674.0,15385,48,346.0,13.5,6.6,,13.5,,3,0,8,665,664,2174.0,3.0,25923,1,7.0,,coche,temporal,hipoteca,medio,publico,no,0
PRE000110,55,3336.0,781.0,10250,60,185.0,5.5,4.5,9.7,1.1,0.0,3,0,13,647,618,,3.0,92744,2,8.1,334.0,vivienda,temporal,alquiler,basico,servicios,no,0
PRE000111,50,1161.0,237.0,5102,24,,19.8,16.4,3.0,5.5,2.0,1,0,34,570,574,305.0,3.0,47502,2,11.4,436.0,consumo,fijo,hipoteca,medio,construccion,no,0
PRE000112,39,4629.0,4183.0,7140,24,321.0,6.9,3.6,9.5,8.5,2.0,0,4,29,474,433,-2000.0,1.0,0,3,13.2,1196.0,coche,temporal,alquiler,medio,industria,no,1
PRE000113,48,1835.0,1419.0,7992,24,360.0,19.6,,,3.1,3.0,1,1,17,642,641,1979.0,4.0,72222,2,5.9,1021.0,estudios,fijo,hipoteca,medio,publico,no,0
PRE000114,36,2214.0,34.0,17434,84,224.0,10.1,10.0,0.1,0.3,1.0,0,0,0,784,709,8458.0,4.0,119835,0,3.6,983.0,coche,temporal,hipoteca,basico,servicios,no,0
PRE000115,56,2243.0,863.0,4351,24,196.0,8.7,6.3,4.4,0.0,1.0,1,1,27,662,634,4485.0,5.0,57954,1,,703.0,consumo,fijo,alquiler,medio,servicios,no,0
PRE000116,48,2577.0,0.0,6718,12,605.0,23.5,23.5,,1.9,2.0,0,1,20,646,622,,1.0,84470,0,8.7,1311.0,vivienda,temporal,hipoteca,medio,industria,no,0
PRE000117,44,,841.0,3486,48,78.0,6.7,3.9,1.1,0.6,2.0,1,0,40,567,615,1159.0,2.0,30713,5,9.6,216.0,estudios,fijo,alquiler,medio,servicios,si,0
PRE000118,28,1434.0,540.0,20932,24,942.0,65.6,47.7,4.5,2.8,2.0,1,0,32,518,429,-1754.0,5.0,0,5,16.2,439.0,coche,temporal,alquiler,basico,publico,no,0
PRE000119,50,2228.0,418.0,19113,36,573.0,25.7,21.7,1.7,10.0,2.0,1,0,13,634,526,1628.0,4.0,18003,3,11.2,842.0,negocio,temporal,propiedad,basico,servicios,no,0
PRE000120,48,1454.0,0.0,9087,24,409.0,28.1,28.1,4.5,16.3,,3,0,52,548,484,-1491.0,2.0,32267,3,14.0,481.0,consumo,funcionario,alquiler,medio,servicios,no,0
PRE000121,46,,863.0,13612,96,153.0,12.2,7.2,1.6,8.0,1.0,0,2,49,652,579,2296.0,3.0,42788,3,8.7,489.0,consumo,fijo,propiedad,medio,servicios,no,0
PRE000122,45,2527.0,303.0,16137,24,726.0,28.7,25.7,5.6,1.4,0.0,0,0,0,755,764,,6.0,135847,0,3.9,683.0,coche,autonomo,alquiler,superior,industria,no,0
PRE000123,40,2815.0,1165.0,11394,84,146.0,5.2,3.7,1.4,40.0,0.0,0,1,10,717,704,5895.0,3.0,95287,1,5.1,1221.0,negocio,fijo,propiedad,medio,industria,no,0
PRE000124,24,3735.0,879.0,6075,84,78.0,2.1,1.7,,8.3,0.0,2,0,0,814,830,9952.0,6.0,168462,0,4.7,2042.0,vivienda,funcionario,alquiler,medio,publico,no,0
PRE000125,47,,1857.0,7530,12,678.0,24.1,14.5,10.0,8.8,3.0,1,2,36,469,402,-1661.0,3.0,0,0,10.0,901.0,consumo,temporal,propiedad,superior,publico,no,0
PRE000126,35,2059.0,,12781,84,164.0,8.0,4.9,11.7,6.7,,1,1,76,633,540,2351.0,3.0,41550,1,7.3,787.0,negocio,autonomo,propiedad,superior,industria,no,0
PRE000127,40,1294.0,470.0,22842,36,685.0,52.9,38.8,5.6,7.3,1.0,0,0,67,528,495,-2000.0,3.0,0,2,13.9,129.0,consumo,temporal,hipoteca,basico,industria,no,1
PRE000128,33,1491.0,0.0,19506,72,,19.6,19.6,8.2,15.9,1.0,2,0,46,520,459,-2000.0,2.0,1628,1,,,coche,fijo,alquiler,superior,industria,no,0
PRE000129,52,2309.0,1198.0,37451,60,674.0,29.2,19.2,8.1,6.8,1.0,0,2,11,609,611,700.0,3.0,81718,2,8.3,1483.0,coche,temporal,hipoteca,medio,servicios,no,0
PRE000130,38,2260.0,1294.0,14000,96,158.0,7.0,4.4,13.0,0.9,2.0,1,0,13,596,552,314.0,3.0,7226,0,10.5,,negocio,temporal,hipoteca,medio,publico,no,1
PRE000131,57,2402.0,1078.0,6787,84,87.0,3.6,2.5,3.7,1.3,2.0,1,0,24,640,627,3517.0,5.0,76475,1,8.4,919.0,estudios,temporal,hipoteca,basico,construccion,no,0
PRE000132,45,3910.0,2582.0,29914,60,538.0,13.8,8.3,5.6,3.9,1.0,1,0,10,653,680,4030.0,,31192,4,9.2,804.0,consumo,fijo,propiedad,superior,publico,no,0
PRE000133,54,1855.0,1610.0,13192,96,148.0,8.0,4.3,8.9,9.1,2.0,1,1,48,579,476,1501.0,4.0,0,1,,,coche,funcionario,alquiler,basico,industria,no,0
