id_estacion,no2_ugm3,no2_max_ugm3,nox_ugm3,pm10_ugm3,pm10_max_ugm3,pm25_ugm3,pm25_max_ugm3,o3_ugm3,o3_max_ugm3,so2_ugm3,co_mgm3,benceno_ugm3,nh3_ugm3,ruido_db,trafico_indice,intensidad_trafico,pct_vehiculos_pesados,densidad_poblacion,dist_industria_km,dist_via_principal_m,superficie_verde_pct,temp_media_c,humedad_pct,viento_kmh,precipitacion_mm,radiacion_solar,altitud_m,num_dias_superacion,entorno
EST000010,26.0,37,58.0,21,47,12,20.0,38.0,69,2.8,0.57,1.38,7.6,47.9,50,,6.2,4567,8.9,211,15.6,13.0,59.0,8.0,681,458,687,2,interior
EST000011,15.0,52,29.0,19,41,21,38.0,,182,0.4,0.1,0.1,17.5,44.9,46,3450.0,5.5,1441,8.2,297,31.1,18.5,82.0,17.6,339,518,770,5,interior
EST000012,14.0,29,16.0,22,59,16,38.0,67.0,119,4.1,0.1,0.1,,46.6,4,100.0,3.6,20,13.0,345,41.0,16.9,93.0,18.7,542,460,562,0,costa
EST000013,19.0,65,16.0,17,45,8,22.0,100.0,168,1.4,0.1,,18.2,39.4,0,1663.0,1.0,20,7.8,476,45.2,16.1,45.0,13.8,380,515,674,13,costa
EST000014,24.0,53,31.0,25,49,21,47.0,54.0,104,0.0,0.45,0.45,16.4,48.7,38,7015.0,4.3,2075,12.1,324,34.5,14.5,49.0,12.8,799,366,253,3,interior
EST000015,21.0,59,31.0,34,94,22,45.0,75.0,180,8.8,0.1,0.31,14.0,50.1,21,100.0,9.6,808,4.3,432,44.2,15.0,51.0,16.8,314,373,218,22,interior
EST000016,49.0,127,,39,87,23,49.0,53.0,102,5.7,0.82,,2.4,60.2,78,27976.0,6.9,6527,7.9,130,10.6,17.1,,12.1,825,522,636,23,costa
EST000017,54.0,122,96.0,28,77,17,47.0,52.0,112,6.2,0.81,2.19,4.0,70.1,71,29890.0,9.3,5729,8.2,298,0.6,21.4,70.0,14.4,482,347,234,31,costa
EST000018,24.0,57,,24,35,14,39.0,39.0,58,3.9,0.45,0.47,7.0,53.0,47,18514.0,,3726,4.9,196,17.7,17.3,70.0,16.1,748,246,255,8,costa
EST000019,13.0,25,25.0,31,64,17,,65.0,148,23.3,0.23,1.92,4.8,46.8,24,7703.0,14.5,524,5.8,371,9.9,16.5,63.0,10.1,474,446,260,23,interior
EST000020,25.0,79,56.0,23,65,18,41.0,53.0,90,2.5,,1.03,4.0,51.8,44,11457.0,7.8,3223,5.4,366,20.3,17.2,71.0,12.9,963,357,640,4,costa
EST000021,49.0,131,78.0,33,78,22,55.0,47.0,45,6.8,,1.4,5.5,64.5,66,27003.0,8.4,6051,8.5,175,12.6,11.9,66.0,13.7,381,384,577,23,interior
EST000022,30.0,92,66.0,36,64,25,65.0,,137,23.6,0.74,1.76,1.1,53.6,58,19926.0,11.4,3178,2.6,188,18.2,18.9,82.0,6.0,323,508,0,46,costa
EST000023,38.0,87,64.0,22,66,16,47.0,61.0,114,0.3,0.57,0.37,3.0,,66,22895.0,,4061,8.3,294,11.8,18.8,66.0,13.1,619,433,0,12,interior
EST000024,37.0,115,74.0,27,55,19,46.0,47.0,94,0.3,1.04,1.36,1.9,58.7,74,26764.0,6.9,8173,7.4,190,16.6,21.0,72.0,12.5,750,446,0,17,costa
EST000025,39.0,109,56.0,30,64,15,46.0,68.0,136,0.0,0.6,0.5,8.9,59.8,65,13128.0,5.6,3745,6.6,229,13.8,11.0,60.0,14.9,302,620,91,18,costa
EST000026,53.0,155,83.0,28,58,14,41.0,53.0,67,0.3,0.89,1.5,0.5,67.4,89,29651.0,11.0,6324,7.0,177,12.8,20.2,43.0,15.8,264,452,665,10,interior
EST000027,40.0,92,69.0,26,42,13,21.0,60.0,87,2.4,0.77,,3.8,62.3,81,27672.0,8.2,4592,10.2,245,8.4,17.7,84.0,12.4,559,611,14,11,costa
EST000028,32.0,71,65.0,20,59,15,30.0,31.0,54,5.5,0.59,1.14,2.2,55.4,62,24895.0,,3347,9.9,139,19.1,16.2,73.0,11.5,666,384,413,1,costa
EST000029,37.0,101,72.0,21,47,19,41.0,27.0,43,0.0,0.72,0.95,3.0,57.0,64,21009.0,6.1,4001,9.0,206,9.9,15.1,80.0,10.7,527,571,563,5,costa
EST000030,34.0,70,,15,37,4,11.0,37.0,66,0.0,0.73,1.47,4.6,59.4,75,25119.0,6.2,5645,10.7,147,5.1,10.9,60.0,11.0,522,397,295,4,interior
EST000031,18.0,34,39.0,36,83,21,36.0,53.0,66,23.0,0.51,1.87,3.4,60.8,49,10244.0,10.1,1812,1.1,303,17.5,14.7,85.0,13.3,439,385,833,46,costa
EST000032,50.0,162,84.0,38,84,19,48.0,49.0,86,0.0,0.74,1.33,0.8,68.7,84,26056.0,8.6,5294,13.2,129,12.8,16.2,65.0,12.9,396,402,162,25,costa
EST000033,,10,7.0,24,56,13,43.0,71.0,164,0.5,0.1,0.1,13.3,43.5,13,100.0,0.0,20,9.0,335,51.1,13.7,69.0,6.2,431,227,138,2,interior
EST000034,34.0,104,68.0,37,110,24,69.0,60.0,105,3.0,0.93,1.62,3.6,70.4,63,23621.0,,3896,4.6,279,22.7,13.6,,16.0,302,438,0,26,interior
EST000035,36.0,92,66.0,28,65,13,53.0,79.0,157,0.0,0.76,1.54,2.3,63.9,65,22022.0,7.9,4847,12.1,112,0.0,10.4,50.0,11.9,462,420,22,18,costa
EST000036,14.0,41,15.0,25,65,19,42.0,90.0,188,2.7,0.14,0.1,14.9,46.3,14,100.0,6.6,20,6.7,270,39.2,18.2,,,867,468,247,8,interior
EST000037,29.0,91,51.0,35,91,21,65.0,45.0,77,27.1,0.31,1.54,6.7,54.8,38,,11.7,966,1.5,408,19.6,17.5,57.0,11.9,408,412,735,52,interior
EST000038,11.0,33,18.0,30,83,19,40.0,85.0,160,3.2,0.1,0.23,14.1,53.7,11,3421.0,3.0,20,9.3,416,40.6,14.2,72.0,10.7,411,427,267,12,costa
EST000039,21.0,67,42.0,18,40,5,10.0,60.0,111,8.8,0.19,0.84,8.1,47.6,36,13851.0,7.4,2134,5.4,176,31.2,14.2,55.0,15.2,685,320,267,12,costa
EST000040,32.0,103,57.0,28,66,19,48.0,,94,0.7,0.55,0.84,7.2,47.4,45,21599.0,5.8,1245,9.4,50,18.7,18.9,93.0,18.0,395,167,350,3,costa
EST000041,17.0,46,45.0,43,94,29,68.0,46.0,96,27.5,0.58,,6.3,53.3,51,17243.0,20.1,3903,2.5,285,27.7,14.6,,9.3,507,313,919,51,interior
EST000042,49.0,164,,38,99,26,61.0,58.0,107,13.3,,2.2,,,71,32552.0,12.1,4529,4.0,39,0.9,12.2,58.0,8.7,625,360,0,35,interior
EST000043,39.0,114,61.0,17,23,5,11.0,57.0,119,0.0,0.74,0.43,4.0,57.2,50,20254.0,3.7,5036,11.6,200,11.3,16.5,69.0,8.1,587,436,739,0,interior
EST000044,10.0,24,4.0,18,54,7,24.0,88.0,212,1.5,0.12,0.1,16.3,36.5,20,100.0,2.0,20,8.1,335,47.0,20.9,65.0,16.4,420,431,189,4,interior
EST000045,40.0,125,62.0,30,59,22,57.0,60.0,119,1.3,0.82,0.82,4.0,60.5,55,23937.0,4.9,3924,7.9,103,8.6,15.4,53.0,16.0,621,416,0,10,interior
EST000046,48.0,102,,25,61,15,37.0,53.0,134,2.1,0.81,1.58,7.6,,88,31780.0,7.0,6462,6.6,53,9.2,15.8,55.0,12.9,271,388,291,1,interior
EST000047,56.0,178,110.0,33,88,22,58.0,35.0,50,2.4,1.01,1.88,2.1,62.3,92,31972.0,10.3,6337,8.2,5,6.3,15.3,82.0,15.2,498,371,89,15,costa
EST000048,41.0,132,78.0,23,50,16,,35.0,75,6.8,0.77,1.68,,,71,28226.0,10.8,4830,10.2,185,17.4,12.5,75.0,14.7,716,488,282,8,costa
EST000049,20.0,35,37.0,11,13,3,16.0,76.0,167,0.0,0.29,0.1,13.9,49.9,38,8592.0,6.1,602,9.8,422,49.4,13.1,87.0,15.3,590,330,1097,1,costa
EST000050,31.0,85,56.0,32,68,15,,49.0,95,20.2,0.66,1.81,7.3,52.6,55,19785.0,14.5,2826,2.4,280,10.8,13.5,,13.2,981,330,984,43,costa
EST000051,35.0,96,65.0,24,41,11,23.0,50.0,73,2.7,,1.1,4.3,57.4,58,17373.0,8.8,4857,9.6,260,26.3,15.4,75.0,13.4,569,395,54,11,costa
EST000052,51.0,136,99.0,33,85,20,47.0,53.0,92,4.2,1.05,1.96,0.5,65.9,80,33006.0,9.0,7274,7.2,70,4.0,15.8,74.0,10.9,527,545,0,16,costa
EST000053,57.0,151,95.0,33,66,21,53.0,29.0,72,6.1,1.12,1.76,,72.4,95,38952.0,13.5,8558,4.7,234,11.6,13.7,61.0,13.4,243,442,219,26,interior
EST000054,32.0,116,62.0,37,74,25,54.0,,115,18.5,0.6,2.21,7.5,59.5,61,26618.0,13.1,4861,0.1,168,21.3,16.5,,15.6,643,366,612,28,costa
EST000055,46.0,127,89.0,37,105,25,65.0,40.0,57,4.7,0.94,2.15,4.4,73.4,83,36154.0,12.3,8854,7.9,7,8.2,20.8,71.0,10.4,390,506,184,19,costa
EST000056,21.0,94,35.0,13,37,3,8.0,67.0,121,11.9,0.41,0.87,3.4,53.5,45,11870.0,6.0,1836,7.3,188,21.3,15.4,74.0,8.7,673,554,667,18,interior
EST000057,8.0,57,,14,13,9,17.0,75.0,152,8.0,0.1,,17.4,44.7,9,100.0,5.4,20,10.6,395,41.0,15.9,59.0,8.2,448,451,185,15,costa
EST000058,3.0,10,10.0,16,44,7,19.0,67.0,133,3.0,0.1,0.1,15.9,45.6,3,100.0,3.5,20,9.8,516,43.5,18.4,47.0,7.7,474,554,632,0,interior
EST000059,58.0,167,98.0,35,86,24,50.0,41.0,71,4.0,,2.1,4.2,,95,34664.0,12.5,8563,8.4,5,0.0,11.5,54.0,16.3,266,482,219,36,interior
EST000060,40.0,141,70.0,22,42,12,28.0,40.0,92,0.0,0.64,0.1,,67.3,69,23589.0,1.9,1956,14.2,262,16.8,11.3,87.0,17.4,129,300,510,0,interior
EST000061,16.0,17,,30,63,19,45.0,69.0,138,4.0,0.49,0.63,4.4,48.6,42,10809.0,4.9,469,6.4,280,29.4,15.2,55.0,11.9,689,622,854,14,interior
EST000062,14.0,49,18.0,17,40,12,36.0,81.0,174,0.0,0.14,,15.9,42.8,18,2022.0,,20,11.0,529,32.1,14.6,66.0,13.5,747,532,38,8,costa
EST000063,14.0,30,34.0,33,80,18,45.0,58.0,110,12.6,0.59,1.16,7.6,50.5,50,12257.0,13.3,2620,4.2,326,22.5,13.5,64.0,12.0,333,703,299,34,costa
EST000064,31.0,106,54.0,29,68,20,45.0,64.0,139,5.1,0.51,1.08,4.0,58.4,53,18177.0,8.3,3636,7.6,263,7.0,12.8,85.0,15.8,545,465,364,22,costa
EST000065,7.0,10,8.0,12,55,8,10.0,89.0,199,1.9,0.1,0.1,19.3,41.8,12,100.0,4.5,20,7.4,489,34.2,13.5,79.0,7.4,676,377,596,7,costa
EST000066,46.0,120,85.0,36,60,24,52.0,54.0,124,9.2,0.96,1.63,4.6,62.4,69,25600.0,,5621,7.9,245,14.1,9.2,65.0,14.5,776,463,519,26,costa
EST000067,27.0,88,48.0,16,56,11,,84.0,185,2.3,0.38,0.47,7.0,54.3,32,8319.0,6.4,2387,9.1,353,24.4,14.6,55.0,14.5,621,354,562,6,costa
EST000068,33.0,119,64.0,38,77,23,57.0,41.0,88,18.9,0.58,1.96,,48.0,74,12710.0,,3881,3.7,238,19.7,11.3,86.0,19.1,777,525,388,38,costa
EST000069,3.0,10,3.0,22,67,16,33.0,78.0,116,0.0,0.1,0.1,17.3,37.5,0,,0.0,20,11.7,545,47.6,18.4,88.0,14.3,917,426,383,12,costa
EST000070,51.0,159,99.0,26,42,19,37.0,44.0,74,0.0,1.03,1.16,5.3,63.8,87,35585.0,6.7,6331,6.3,107,9.4,13.2,56.0,9.8,520,511,607,18,interior
EST000071,29.0,71,46.0,32,84,18,43.0,60.0,139,21.1,0.51,2.38,9.8,,50,18532.0,17.4,3834,3.1,289,19.4,10.2,64.0,14.5,812,431,474,47,costa
EST000072,49.0,122,88.0,24,48,11,,43.0,72,0.0,0.72,1.4,2.6,63.7,73,23332.0,6.4,4981,8.8,227,0.0,13.8,57.0,14.7,611,310,531,2,interior
EST000073,,46,25.0,30,96,23,67.0,91.0,179,9.4,0.42,0.33,9.4,51.3,15,4580.0,4.1,775,9.3,420,44.2,17.1,48.0,7.0,715,391,256,22,interior
EST000074,42.0,121,71.0,25,73,17,37.0,59.0,85,1.8,0.72,1.1,3.9,61.4,57,19773.0,7.3,4175,9.0,122,12.5,15.0,83.0,11.9,393,522,356,18,costa
EST000075,46.0,118,79.0,38,92,27,53.0,56.0,94,6.2,0.77,1.37,0.5,65.4,79,26423.0,,6204,4.7,282,2.7,21.5,58.0,18.4,651,544,669,27,costa
EST000076,49.0,130,97.0,26,55,14,28.0,34.0,57,4.0,0.98,1.77,2.4,65.8,94,29373.0,9.2,6034,7.1,186,6.2,19.4,87.0,,366,501,258,15,costa
EST000077,55.0,150,103.0,34,68,20,56.0,38.0,43,8.1,0.93,2.17,5.4,69.9,86,38209.0,13.4,6771,6.3,140,0.0,18.4,75.0,16.5,540,442,13,19,costa
EST000078,,23,22.0,20,53,15,34.0,83.0,138,4.2,0.1,0.71,15.5,43.6,11,129.0,6.0,44,8.8,358,43.0,12.4,77.0,,535,613,235,15,costa
EST000079,22.0,59,38.0,20,52,12,23.0,80.0,159,0.0,0.38,0.28,15.4,44.2,38,4687.0,2.4,1698,6.5,376,39.1,15.9,62.0,11.5,616,328,566,14,interior
EST000080,34.0,85,59.0,29,74,18,29.0,48.0,70,2.0,0.63,1.05,6.6,59.7,54,19905.0,12.1,4522,6.6,39,9.4,18.7,76.0,13.5,876,430,250,9,costa
EST000081,29.0,106,52.0,12,10,8,8.0,54.0,103,1.0,0.37,0.36,4.8,43.8,43,,4.3,302,7.7,197,26.2,13.5,69.0,10.7,539,514,175,0,costa
EST000082,5.0,11,10.0,20,47,14,,102.0,200,3.7,0.1,0.1,17.9,41.1,0,,,20,7.5,620,52.1,12.9,65.0,17.6,593,523,68,7,costa
EST000083,11.0,24,10.0,12,32,6,5.0,80.0,140,0.0,0.22,0.2,13.5,41.7,27,6837.0,2.7,986,8.8,400,40.3,13.7,72.0,12.0,744,409,528,3,interior
EST000084,19.0,40,33.0,32,74,19,42.0,75.0,124,23.9,0.42,1.41,,57.3,32,100.0,12.4,1914,3.4,302,32.4,18.5,70.0,11.0,994,341,660,43,interior
EST000085,3.0,20,6.0,8,30,9,20.0,,177,0.0,0.1,0.16,14.7,42.5,3,100.0,3.3,20,4.9,377,52.0,11.8,61.0,9.2,604,487,268,0,interior
EST000086,27.0,91,72.0,29,83,14,47.0,30.0,70,0.0,0.73,,5.3,50.9,60,23155.0,7.6,4356,8.3,218,17.7,22.9,,19.4,502,472,451,0,costa
EST000087,15.0,54,25.0,19,41,14,34.0,62.0,110,0.0,0.22,0.1,12.6,59.1,21,100.0,5.2,1001,8.0,354,45.9,14.3,66.0,17.8,205,503,22,0,interior
EST000088,,124,86.0,35,73,26,62.0,52.0,81,16.4,0.91,2.28,2.0,65.7,85,24993.0,,4955,6.0,103,7.8,19.6,64.0,6.9,648,413,700,40,interior
EST000089,31.0,81,50.0,28,72,24,67.0,56.0,111,0.8,0.5,1.25,4.1,59.3,50,8911.0,5.6,2583,8.3,366,20.3,23.4,87.0,18.9,694,252,573,14,costa
EST000090,26.0,95,48.0,25,63,15,22.0,54.0,78,20.1,0.42,1.42,5.4,54.7,68,15935.0,12.6,2387,1.4,281,21.9,14.2,56.0,12.2,453,468,466,35,costa
EST000091,30.0,88,,35,66,21,,58.0,71,6.9,0.7,1.27,4.7,59.0,58,18911.0,6.4,4038,6.7,101,17.9,13.4,63.0,18.0,500,492,675,21,interior
EST000092,,114,70.0,25,45,9,14.0,47.0,82,3.8,,1.17,4.7,,55,,10.5,4727,7.3,117,13.3,16.6,57.0,6.0,586,427,403,16,interior
EST000093,8.0,31,11.0,7,10,2,18.0,86.0,195,0.0,0.1,0.1,15.7,47.7,0,100.0,0.0,20,13.0,505,36.6,17.3,68.0,17.9,785,483,357,0,interior
EST000094,21.0,81,19.0,20,37,9,28.0,71.0,140,0.6,0.16,0.1,15.6,51.2,28,4896.0,3.3,546,8.9,287,,14.5,59.0,7.6,741,402,668,5,interior
EST000095,38.0,107,72.0,23,65,13,48.0,52.0,117,4.2,,1.51,2.6,,59,16314.0,,4011,9.2,216,17.8,16.8,53.0,15.5,552,340,619,24,interior
EST000096,19.0,49,38.0,37,85,22,60.0,59.0,100,26.0,,,7.3,,35,11044.0,12.6,1370,0.1,370,15.5,18.8,57.0,14.4,538,362,431,46,interior
EST000097,9.0,30,20.0,22,71,18,48.0,59.0,132,18.2,0.24,1.65,3.8,47.7,32,2023.0,11.7,277,2.7,221,21.8,16.0,63.0,20.0,479,562,292,11,costa
EST000098,41.0,151,74.0,22,76,19,,54.0,103,0.9,1.0,1.55,3.2,60.8,69,25363.0,7.5,6010,10.3,152,20.5,16.5,68.0,11.2,802,364,804,17,costa
EST000099,52.0,132,99.0,24,45,11,14.0,,87,1.9,0.86,0.75,2.7,69.4,68,32660.0,9.4,6131,11.7,132,7.3,18.6,53.0,,358,374,280,13,interior
EST000100,23.0,57,45.0,14,22,7,,60.0,123,0.0,0.62,1.15,,49.4,45,12341.0,2.0,1956,6.1,234,32.8,17.8,77.0,20.2,624,335,403,4,costa
EST000101,17.0,63,35.0,23,61,13,35.0,72.0,135,26.0,0.39,2.07,2.6,50.2,37,7777.0,16.0,2975,0.1,148,22.1,15.3,51.0,8.6,456,306,262,45,interior
EST000102,49.0,124,,17,33,14,23.0,,39,0.0,0.78,0.23,1.5,63.6,62,23803.0,3.1,3730,11.8,269,14.5,16.8,,,712,482,0,0,costa
EST000103,45.0,126,86.0,20,46,13,41.0,61.0,90,1.1,0.86,1.61,5.6,,85,29865.0,7.4,7353,10.3,143,5.8,13.1,77.0,15.6,459,548,495,21,costa
EST000104,47.0,142,85.0,35,74,28,58.0,28.0,55,5.8,0.91,,0.5,69.9,73,24511.0,12.2,6755,4.7,217,20.7,16.7,66.0,,542,409,105,28,costa
EST000105,2.0,24,3.0,8,37,7,33.0,95.0,173,0.0,0.1,0.1,16.4,44.7,1,100.0,0.0,20,9.0,526,39.9,14.2,66.0,10.6,474,467,105,3,interior
EST000106,,141,97.0,23,34,11,38.0,36.0,77,0.0,1.04,0.74,,,77,28690.0,5.5,7036,11.2,213,8.8,16.0,81.0,,368,355,146,2,costa
EST000107,37.0,81,65.0,39,87,18,42.0,49.0,95,6.1,0.58,1.23,4.8,52.0,58,23615.0,10.3,5240,6.5,275,9.1,11.9,79.0,8.9,502,438,825,19,costa
EST000108,39.0,117,74.0,31,91,21,,,57,8.4,1.01,0.88,,61.2,66,25710.0,,6017,9.5,172,11.3,15.6,77.0,17.6,328,285,659,28,interior
EST000109,39.0,118,69.0,22,65,15,31.0,65.0,116,6.4,0.69,,2.8,61.5,54,19257.0,10.6,3023,4.8,123,18.3,16.1,74.0,9.7,801,366,99,30,interior
EST000110,26.0,66,41.0,24,71,20,45.0,58.0,109,1.8,0.33,,6.5,61.6,44,11265.0,,1753,6.2,319,9.9,14.3,,7.2,486,379,0,16,costa
EST000111,10.0,10,20.0,28,78,20,44.0,78.0,175,2.7,0.1,0.4,13.0,,5,100.0,5.1,20,13.3,369,39.3,18.3,51.0,16.3,664,322,0,15,interior
EST000112,30.0,85,72.0,29,55,18,57.0,58.0,106,17.5,0.79,2.39,5.1,55.3,75,21986.0,15.2,5061,6.2,67,12.8,17.9,56.0,11.0,596,408,464,43,interior
EST000113,,68,37.0,15,42,9,5.0,65.0,88,0.0,0.56,0.45,3.9,,40,14651.0,,2741,12.3,248,21.6,12.6,72.0,5.6,711,414,353,0,costa
EST000114,43.0,127,81.0,28,56,17,41.0,53.0,100,10.0,0.58,1.39,3.5,55.5,58,26788.0,,5236,3.3,159,16.5,16.7,67.0,13.5,701,459,204,29,costa
EST000115,,10,3.0,6,17,8,,95.0,177,0.0,0.1,0.1,17.4,44.3,0,,0.8,20,12.4,553,52.1,17.5,67.0,10.4,935,473,227,0,costa
EST000116,11.0,45,21.0,16,48,9,29.0,86.0,178,0.0,0.26,0.13,18.5,48.7,8,1548.0,0.2,615,14.0,359,40.2,17.0,54.0,15.9,627,540,242,5,interior
EST000117,18.0,44,43.0,19,38,8,6.0,78.0,140,2.1,,0.1,15.3,,22,5840.0,2.9,20,12.9,495,33.4,13.4,64.0,15.3,978,371,678,0,costa
EST000118,39.0,93,80.0,27,62,14,31.0,63.0,132,8.2,0.63,1.58,4.7,69.2,70,28750.0,8.5,5560,7.1,153,32.4,12.3,65.0,19.0,742,352,426,30,costa
EST000119,24.0,96,37.0,8,24,5,6.0,74.0,140,0.0,0.21,0.1,15.5,49.1,10,100.0,0.2,198,5.8,444,37.2,23.1,76.0,16.9,654,403,107,0,costa
EST000120,49.0,134,80.0,18,40,13,41.0,45.0,86,0.0,0.85,,3.3,63.6,80,24735.0,3.0,5501,13.4,151,19.2,12.5,76.0,,984,519,548,4,interior
EST000121,41.0,111,82.0,26,63,23,51.0,60.0,83,3.7,0.5,0.99,4.9,59.8,53,17325.0,8.0,3315,5.5,281,5.6,15.8,60.0,5.6,742,476,39,24,interior
EST000122,24.0,59,35.0,32,75,19,44.0,47.0,69,15.7,0.62,1.19,6.8,54.3,36,9585.0,12.6,2254,1.0,306,22.7,12.0,65.0,6.0,730,391,591,32,interior
EST000123,52.0,118,89.0,24,59,11,,35.0,69,11.0,1.01,1.35,3.6,58.5,82,32811.0,,5185,7.0,151,9.7,17.6,69.0,7.7,548,449,614,9,interior
EST000124,36.0,96,71.0,18,28,7,20.0,,119,0.0,0.78,1.3,5.2,66.4,71,29970.0,8.6,6130,10.9,161,6.0,17.3,64.0,15.4,312,407,557,2,costa
EST000125,28.0,88,51.0,32,53,21,42.0,63.0,106,26.2,0.32,2.28,5.8,55.2,36,9063.0,16.7,1490,0.1,256,23.2,13.6,85.0,10.0,501,316,464,51,costa
EST000126,53.0,169,103.0,36,80,22,67.0,43.0,85,9.5,0.97,1.78,,59.6,95,28670.0,,6435,8.7,175,15.6,14.9,69.0,11.9,598,595,154,29,costa
EST000127,17.0,44,39.0,13,39,7,24.0,88.0,159,5.6,0.16,0.18,17.0,53.4,23,7481.0,2.1,328,7.3,308,34.1,20.1,78.0,17.9,217,193,438,10,interior
EST000128,31.0,98,59.0,40,100,28,64.0,49.0,52,15.4,0.57,,4.3,,42,16557.0,14.3,2853,2.7,238,26.2,14.3,59.0,13.0,381,350,900,49,interior
EST000129,36.0,99,62.0,27,53,17,38.0,55.0,125,4.9,0.92,1.5,0.5,68.8,77,21933.0,12.0,5103,8.0,239,13.6,13.5,49.0,9.8,549,492,105,24,interior
EST000130,27.0,68,55.0,23,49,12,16.0,77.0,137,0.0,0.66,1.01,5.2,56.4,38,17141.0,7.3,3299,11.0,331,21.5,14.1,83.0,10.9,519,438,464,19,costa
EST000131,57.0,154,90.0,39,105,26,59.0,56.0,103,6.6,0.8,1.41,3.0,58.7,69,29341.0,11.7,6695,5.7,101,2.0,16.1,62.0,15.1,642,542,309,33,interior
EST000132,40.0,117,62.0,31,52,21,51.0,45.0,54,8.6,1.02,1.71,4.1,63.8,77,27149.0,10.8,4751,7.3,273,6.7,12.4,67.0,5.3,489,360,438,25,interior
EST000133,21.0,32,29.0,13,13,2,5.0,73.0,136,0.6,0.1,0.12,16.1,46.5,15,100.0,3.1,20,6.6,318,49.5,17.9,66.0,5.6,396,343,588,8,interior
EST000134,15.0,37,,22,43,10,22.0,84.0,166,3.4,0.23,0.1,19.4,39.1,21,,1.3,1302,8.2,321,27.9,16.7,49.0,,364,593,626,8,costa
EST000135,25.0,59,45.0,31,73,21,52.0,48.0,86,13.6,0.49,1.46,8.8,55.8,37,10937.0,11.7,1761,5.9,359,16.0,17.7,58.0,9.6,500,310,750,33,costa
EST000136,14.0,10,,10,40,11,,78.0,156,0.0,,0.64,8.3,40.5,22,100.0,1.7,476,7.9,453,25.1,16.7,69.0,18.0,583,433,174,1,costa
EST000137,35.0,126,75.0,30,65,16,38.0,69.0,100,16.2,0.53,1.87,6.7,56.8,44,22537.0,10.3,4406,4.6,224,14.8,15.5,67.0,17.3,406,503,249,38,costa
EST000138,23.0,84,48.0,31,59,16,,56.0,96,16.9,0.32,2.4,5.2,57.4,37,10028.0,9.4,1296,4.4,283,19.0,15.1,87.0,3.6,631,452,432,34,costa
EST000139,36.0,95,63.0,21,56,13,40.0,65.0,147,10.3,0.5,,6.4,48.6,41,17067.0,9.5,2951,2.5,325,9.8,15.0,76.0,10.7,721,548,0,20,costa
EST000140,34.0,99,58.0,37,104,27,69.0,50.0,101,16.9,0.65,1.61,2.7,54.4,56,20364.0,15.5,4200,3.0,303,27.6,15.4,55.0,,460,467,172,43,costa
EST000141,57.0,144,94.0,35,81,21,44.0,45.0,63,3.3,0.82,1.55,0.5,63.9,71,29001.0,,5488,8.6,60,5.7,18.8,59.0,12.3,510,415,389,23,interior
