id_registro,temp_max_c,temp_min_c,temp_media_c,amplitud_termica_c,radiacion_solar_wm2,radiacion_uv_indice,horas_sol,humedad_pct,humedad_min_pct,viento_kmh,viento_max_kmh,direccion_viento_deg,presion_atm_hpa,no2_ugm3,no_ugm3,nox_ugm3,cov_precursores,co_mgm3,so2_ugm3,pm10_ugm3,o3_dia_previo_ugm3,o3_media_movil_3d,temp_dia_previo_c,gradiente_temp_c,altura_capa_mezcla_m,indice_estabilidad,precipitacion_mm,horas_desde_lluvia,alerta_ozono
OZN000020,44.5,23.7,34.1,20.8,1027,12,14.0,27.0,5,2.1,,274,1019,38,20,63.0,87.0,0.43,2.5,38.0,132,147,46.0,0.79,2123,5.9,0.0,93.0,0
OZN000021,28.3,12.9,20.6,15.4,510,3,4.0,64.0,44,17.8,38.0,302,1008,16,1,23.0,,0.1,0.2,22.0,63,69,26.7,0.58,820,-3.2,9.7,59.0,0
OZN000022,26.5,12.1,19.3,14.4,557,6,7.8,48.0,46,13.8,34.0,338,1011,28,11,46.0,44.0,0.6,2.2,21.0,56,50,24.8,0.52,1119,-0.0,7.4,89.0,0
OZN000023,26.8,13.3,20.0,13.5,435,6,6.7,44.0,36,14.0,39.0,322,1024,33,11,,40.0,0.44,11.1,,84,64,26.9,0.55,1425,1.5,3.7,29.0,0
OZN000024,24.7,12.3,18.5,12.4,553,4,8.1,,38,9.0,20.0,1,1013,41,23,69.0,56.0,0.52,5.5,28.0,103,91,21.4,0.56,1251,1.7,17.5,77.0,0
OZN000025,33.2,14.3,23.8,18.9,690,6,10.2,45.0,26,9.6,16.0,139,1015,32,16,57.0,45.0,0.3,10.4,21.0,134,128,35.2,0.6,1694,-0.2,5.3,108.0,0
OZN000026,16.1,7.9,12.0,8.2,377,2,4.4,75.0,40,24.6,55.0,115,1016,33,15,51.0,9.0,0.46,5.7,19.0,123,134,5.0,0.15,1135,-5.3,10.8,54.0,0
OZN000027,20.0,11.5,15.8,8.5,435,3,6.0,74.0,42,14.7,38.0,355,1011,35,16,54.0,,0.28,0.0,39.0,15,5,14.9,0.26,1071,-3.4,6.7,78.0,0
OZN000028,34.3,20.0,27.2,14.3,741,10,11.6,54.0,25,9.3,23.0,111,1025,29,2,21.0,57.0,0.4,7.4,27.0,108,113,36.7,1.02,2027,2.7,,,1
OZN000029,30.5,18.1,24.3,,726,7,8.9,56.0,36,,24.0,146,1010,22,10,32.0,38.0,0.31,5.3,23.0,44,32,29.7,0.21,1103,-0.6,6.3,83.0,0
OZN000030,10.6,6.6,8.6,4.0,214,1,1.7,90.0,58,25.2,62.0,89,1007,23,6,34.0,2.0,0.4,5.3,17.0,38,39,5.0,0.23,388,-0.6,12.1,34.0,0
OZN000031,24.1,10.7,17.4,13.4,457,4,7.9,74.0,41,17.3,41.0,89,1009,48,25,85.0,66.0,0.82,3.5,45.0,41,44,20.0,0.35,902,-1.3,8.9,25.0,0
OZN000032,37.7,23.0,30.4,,917,10,13.1,38.0,5,3.6,12.0,338,1026,41,19,68.0,64.0,0.56,3.5,15.0,68,69,41.2,0.91,1799,4.7,,115.0,0
OZN000033,22.5,14.3,18.4,,523,6,6.8,57.0,37,10.6,,276,1011,33,8,47.0,31.0,0.32,6.7,39.0,94,87,21.7,0.52,900,2.4,22.8,93.0,0
OZN000034,22.0,8.6,15.3,13.4,511,5,5.7,64.0,35,18.0,35.0,49,1015,21,8,40.0,22.0,0.49,2.4,33.0,59,40,18.8,0.18,519,-1.0,9.4,8.0,0
OZN000035,30.3,18.1,24.2,,702,7,10.9,38.0,30,9.3,28.0,200,1017,20,10,35.0,42.0,0.24,0.0,27.0,86,93,29.1,0.95,1451,-2.5,4.6,24.0,1
OZN000036,12.1,0.2,6.1,11.9,151,0,0.6,92.0,75,21.0,46.0,320,1009,41,20,68.0,,0.85,8.3,25.0,38,38,5.0,0.43,536,-3.9,24.4,0.0,0
OZN000037,29.4,16.9,23.2,12.5,665,7,8.8,65.0,46,11.4,31.0,64,1008,11,1,9.0,23.0,0.1,5.6,18.0,76,69,24.9,0.95,1337,-0.8,2.8,106.0,0
OZN000038,,14.5,17.4,5.9,485,5,5.9,71.0,51,13.8,23.0,359,1012,33,19,53.0,18.0,0.62,11.6,,81,58,16.3,0.21,911,-3.7,5.8,62.0,0
OZN000039,25.9,16.5,21.2,,487,6,7.3,48.0,39,8.5,25.0,113,1004,34,19,62.0,42.0,0.31,9.0,27.0,107,91,26.6,1.02,850,-0.6,8.1,81.0,0
OZN000040,21.7,13.5,17.6,8.2,453,2,6.0,76.0,46,14.9,31.0,259,1006,25,9,42.0,14.0,0.37,1.6,23.0,79,74,14.3,0.74,579,-4.1,10.5,18.0,0
OZN000041,26.0,14.4,20.2,,571,6,,57.0,31,,31.0,277,1011,44,23,84.0,52.0,0.91,8.2,31.0,33,21,26.1,0.64,613,4.3,6.3,93.0,0
OZN000042,29.2,17.2,23.2,12.0,619,9,9.8,48.0,8,8.8,14.0,280,1009,43,21,62.0,66.0,,9.2,41.0,67,56,29.3,0.7,1292,-1.2,4.9,,0
OZN000043,26.3,13.0,19.6,13.3,428,5,6.8,67.0,40,13.5,32.0,170,1008,28,15,46.0,39.0,0.57,9.9,36.0,92,91,25.0,1.12,1035,-1.1,5.7,59.0,0
OZN000044,33.9,18.6,26.2,15.3,670,9,10.2,43.0,28,6.0,15.0,90,1018,51,26,94.0,59.0,0.7,4.3,21.0,119,103,36.5,1.12,1145,2.7,3.5,40.0,0
OZN000045,,,9.8,11.1,286,1,5.7,80.0,57,14.1,34.0,315,1007,52,32,95.0,27.0,0.8,0.0,32.0,87,95,7.3,0.6,974,-3.1,14.4,76.0,0
OZN000046,34.3,18.8,26.6,15.5,741,9,10.4,,28,11.1,26.0,260,1020,47,20,63.0,,0.55,3.0,26.0,52,50,36.0,0.65,1533,-1.3,1.2,121.0,0
OZN000047,21.5,15.5,18.5,6.0,543,6,8.8,60.0,27,20.8,55.0,239,1005,27,15,40.0,,0.35,6.8,29.0,116,118,20.6,0.67,1231,-1.2,3.8,80.0,0
OZN000048,29.5,13.7,21.6,15.8,550,8,9.0,41.0,27,13.2,35.0,70,1021,43,24,73.0,75.0,0.75,6.6,42.0,119,119,32.8,0.5,1181,1.5,6.3,106.0,0
OZN000049,26.5,13.4,20.0,13.1,560,7,7.4,55.0,47,14.3,38.0,183,1014,13,1,12.0,25.0,0.12,11.5,26.0,68,68,26.0,0.52,1311,-2.1,4.3,52.0,0
OZN000050,24.9,15.1,20.0,9.8,537,7,,58.0,41,15.1,,338,1018,50,28,91.0,58.0,0.76,2.7,23.0,49,26,23.1,0.14,1396,0.2,9.8,64.0,0
OZN000051,31.3,20.2,25.8,11.1,724,7,8.7,54.0,24,11.2,,2,1024,42,24,78.0,65.0,0.56,12.8,27.0,36,37,32.9,0.57,2144,-0.8,10.1,32.0,0
OZN000052,32.2,,24.5,15.4,620,8,10.2,49.0,22,7.3,15.0,161,1012,33,9,40.0,55.0,0.48,12.0,36.0,48,44,32.2,1.1,1580,0.6,4.2,30.0,0
OZN000053,22.4,10.7,16.5,11.7,438,2,5.3,62.0,57,17.8,,201,1007,42,6,49.0,26.0,0.29,9.1,20.0,39,34,14.7,0.25,918,0.1,6.8,72.0,0
OZN000054,32.3,22.4,27.4,9.9,751,8,11.1,,35,14.3,23.0,32,1019,44,23,82.0,54.0,0.73,6.5,19.0,35,27,38.9,0.7,1310,1.0,2.5,79.0,0
OZN000055,,17.2,22.8,11.3,615,7,9.8,54.0,39,6.0,11.0,288,1019,38,22,73.0,54.0,0.5,2.7,30.0,54,53,27.9,1.02,1096,-0.9,1.7,0.0,0
OZN000056,28.6,17.3,23.0,11.3,570,7,9.3,44.0,39,,15.0,317,1009,28,11,43.0,35.0,0.34,6.5,12.0,97,95,29.5,1.27,1437,3.3,4.7,100.0,0
OZN000057,19.7,10.0,14.8,,290,4,6.3,61.0,58,17.1,,151,1001,41,19,67.0,23.0,0.67,9.1,16.0,24,5,15.4,0.33,1245,-0.7,6.9,43.0,0
OZN000058,,10.9,17.2,12.6,406,4,6.2,63.0,46,12.6,32.0,139,1007,32,16,55.0,40.0,0.5,3.2,,71,55,18.6,0.09,919,-0.5,6.6,53.0,0
OZN000059,26.9,16.2,21.5,10.7,537,5,9.2,61.0,23,9.0,29.0,125,1015,22,8,27.0,25.0,0.17,7.0,21.0,91,109,22.6,0.2,1729,4.8,4.0,0.0,0
OZN000060,21.9,14.4,18.2,7.5,555,5,7.1,65.0,45,10.1,20.0,301,1015,38,22,70.0,49.0,0.67,9.4,30.0,33,21,22.6,0.83,1072,-2.5,8.7,5.0,0
OZN000061,20.9,11.6,16.2,9.3,453,5,6.6,67.0,47,10.9,19.0,129,1020,17,1,20.0,,0.1,9.3,14.0,93,91,15.3,0.46,682,0.7,5.9,0.0,0
OZN000062,24.7,12.9,18.8,,513,7,11.4,60.0,30,13.8,29.0,326,1013,51,26,94.0,61.0,0.86,10.9,16.0,60,38,22.8,0.2,1465,-0.8,7.9,43.0,0
OZN000063,26.4,15.4,20.9,11.0,550,7,9.6,42.0,41,11.3,27.0,344,1014,38,18,66.0,,0.62,7.3,24.0,28,30,27.4,0.43,1184,0.0,7.1,112.0,0
OZN000064,34.8,23.0,28.9,11.8,834,8,11.1,45.0,16,12.3,34.0,86,1024,18,4,23.0,34.0,0.28,0.0,19.0,90,99,36.5,0.58,1212,3.5,4.6,129.0,0
OZN000065,22.3,10.3,16.3,,535,5,7.7,58.0,33,10.9,24.0,318,1021,18,6,,28.0,,10.0,,58,58,22.3,0.51,1059,1.4,5.0,35.0,0
OZN000066,15.9,6.8,11.4,,416,2,5.6,83.0,64,23.1,56.0,140,1015,19,8,28.0,3.0,0.22,9.7,13.0,5,5,8.2,0.18,362,-5.5,8.3,0.0,0
OZN000067,21.0,8.7,14.8,12.3,356,4,5.6,69.0,49,17.7,,233,1014,17,5,19.0,,0.22,5.7,3.0,93,92,16.0,0.89,898,-5.7,7.2,33.0,0
OZN000068,29.8,19.5,24.6,,772,9,11.6,37.0,29,7.6,20.0,223,1012,23,8,35.0,55.0,0.34,10.2,31.0,157,174,31.3,1.03,1424,2.3,0.0,48.0,1
OZN000069,20.5,,14.0,13.1,274,3,4.5,82.0,52,20.3,47.0,249,1014,20,9,38.0,,0.27,14.5,,105,90,11.3,0.37,1090,-4.4,8.4,55.0,0
OZN000070,30.0,,22.6,14.8,554,7,7.1,,37,17.1,40.0,129,1015,30,7,45.0,44.0,0.4,4.4,18.0,96,97,29.0,0.77,1723,1.3,5.5,16.0,0
OZN000071,23.7,13.0,18.4,,439,5,6.4,63.0,40,11.2,,213,1022,26,16,44.0,46.0,0.53,5.7,27.0,65,64,18.5,0.12,894,-0.7,9.1,25.0,0
OZN000072,27.7,14.7,21.2,13.0,617,6,7.9,61.0,39,10.4,21.0,13,1017,34,14,,26.0,0.51,0.0,29.0,72,78,27.1,0.15,1260,2.2,7.4,45.0,0
OZN000073,23.3,15.9,19.6,7.4,460,5,7.9,54.0,24,14.0,40.0,280,1013,37,21,66.0,47.0,0.65,10.7,15.0,32,15,22.6,1.05,638,1.2,5.9,86.0,0
OZN000074,27.9,11.9,19.9,16.0,574,6,7.8,58.0,32,11.3,30.0,238,1010,24,7,25.0,22.0,0.31,6.0,17.0,66,54,28.1,0.86,1424,3.6,3.4,,0
OZN000075,11.6,3.6,7.6,8.0,50,1,3.0,88.0,65,20.2,40.0,158,1011,76,39,137.0,28.0,0.92,0.0,39.0,5,5,5.0,-0.06,467,-3.5,11.1,103.0,0
OZN000076,18.2,9.7,14.0,8.5,331,2,4.8,66.0,61,21.7,46.0,115,1010,45,17,65.0,39.0,0.84,11.2,25.0,49,53,15.2,0.3,847,-0.5,13.7,37.0,0
OZN000077,,13.6,23.4,19.7,564,6,9.6,58.0,31,10.5,18.0,355,1018,28,12,48.0,,0.41,4.3,36.0,48,44,33.8,0.6,1571,3.4,4.1,76.0,0
OZN000078,32.0,18.0,25.0,,669,6,9.0,45.0,34,7.9,17.0,297,1019,31,8,40.0,49.0,0.24,7.5,10.0,93,93,36.4,0.56,1426,3.0,11.6,101.0,0
OZN000079,32.4,16.8,24.6,15.6,715,8,10.8,37.0,25,12.3,29.0,47,1018,34,18,63.0,54.0,0.39,9.8,43.0,139,142,31.9,1.15,1039,-2.4,0.2,122.0,0
OZN000080,22.5,9.8,16.2,12.7,471,3,6.4,65.0,39,18.0,50.0,126,1006,26,6,33.0,23.0,0.1,7.2,,106,95,16.0,0.68,1362,-0.4,6.3,73.0,0
OZN000081,24.8,16.6,20.7,8.2,511,6,7.3,54.0,29,10.6,24.0,238,1008,36,8,45.0,36.0,0.38,12.0,21.0,5,11,21.2,0.91,1251,-0.6,4.0,43.0,0
OZN000082,,11.1,17.0,11.8,391,4,6.1,56.0,33,13.0,28.0,323,1021,51,26,87.0,39.0,0.79,9.8,40.0,30,23,19.8,0.71,1032,-0.9,7.9,8.0,0
OZN000083,29.3,18.2,23.8,11.1,635,6,8.8,43.0,32,6.1,15.0,136,1027,35,16,,54.0,0.54,2.2,26.0,77,83,34.1,0.62,1450,0.7,2.5,104.0,0
OZN000084,23.7,,18.4,10.5,509,5,5.7,67.0,34,15.3,35.0,243,1012,29,7,41.0,34.0,0.31,9.0,30.0,137,159,20.2,0.56,1254,0.7,8.6,30.0,0
OZN000085,26.7,17.2,22.0,9.5,568,7,10.6,42.0,30,4.7,9.0,304,1025,76,49,141.0,77.0,1.36,8.3,45.0,59,39,23.7,0.89,1713,2.4,4.3,,0
OZN000086,39.2,20.2,29.7,19.0,712,9,12.3,49.0,15,14.6,34.0,20,1019,40,19,69.0,62.0,0.49,7.9,46.0,78,67,46.0,0.59,1898,0.9,1.6,107.0,0
OZN000087,31.8,15.7,23.8,16.1,642,9,11.0,39.0,19,9.1,13.0,70,1024,26,9,48.0,31.0,0.3,7.5,25.0,113,96,34.5,0.72,1512,2.8,5.0,86.0,0
OZN000088,14.9,7.2,11.0,7.7,253,4,3.9,78.0,55,13.0,30.0,288,1008,25,15,,20.0,0.52,16.8,31.0,17,5,7.2,0.29,1001,-4.9,9.2,11.0,0
OZN000089,22.6,11.9,17.2,10.7,538,4,6.2,59.0,49,10.9,21.0,58,1008,48,18,79.0,46.0,0.8,3.4,28.0,78,66,18.4,0.62,1190,-1.8,6.8,37.0,0
OZN000090,,13.1,19.2,12.3,427,5,7.7,74.0,50,12.1,18.0,76,1014,52,34,98.0,37.0,0.98,4.1,39.0,62,63,21.9,1.1,632,-3.2,6.9,88.0,0
OZN000091,22.5,13.0,17.8,9.5,535,6,8.2,50.0,39,14.0,31.0,269,1009,36,17,59.0,35.0,0.51,14.5,39.0,5,5,17.7,0.38,1071,-3.1,9.2,90.0,0
OZN000092,30.6,17.6,24.1,13.0,649,9,12.9,39.0,33,10.5,20.0,178,1007,31,10,40.0,,0.42,11.7,21.0,71,67,33.5,0.36,1472,2.2,0.9,50.0,0
OZN000093,23.7,17.5,20.6,6.2,472,7,,64.0,37,15.5,39.0,90,1004,62,41,126.0,50.0,1.13,10.0,,100,120,21.9,0.12,1546,-0.8,16.2,38.0,0
OZN000094,27.6,16.4,22.0,11.2,563,7,8.8,59.0,32,10.5,27.0,263,1019,21,9,,29.0,0.39,5.2,21.0,92,90,25.3,0.66,819,1.4,3.0,27.0,0
OZN000095,23.9,11.8,17.8,12.1,504,4,8.0,47.0,47,8.7,29.0,51,1011,21,15,43.0,33.0,0.47,9.0,20.0,144,146,17.9,0.76,1228,-3.6,,15.0,0
OZN000096,36.5,17.6,27.0,18.9,691,8,10.4,46.0,32,5.9,12.0,69,1006,49,24,,72.0,0.71,7.6,,22,12,37.1,0.48,1286,2.6,8.4,58.0,0
OZN000097,19.6,10.8,15.2,8.8,319,4,4.9,55.0,51,13.7,27.0,192,1011,13,1,15.0,11.0,0.1,1.3,6.0,80,93,12.2,0.1,1138,-1.0,8.3,18.0,0
OZN000098,36.3,18.7,27.5,,705,8,11.8,46.0,18,13.0,16.0,173,1023,8,3,13.0,41.0,0.18,7.2,9.0,146,168,40.3,1.17,1469,2.1,0.0,73.0,0
OZN000099,34.1,17.9,26.0,16.2,678,8,,47.0,21,10.1,,127,1010,36,16,,67.0,0.56,2.5,32.0,67,51,36.9,0.9,1266,1.6,2.6,134.0,0
OZN000100,,,23.2,15.1,635,6,9.9,51.0,35,15.2,36.0,16,1028,18,1,,27.0,0.11,4.4,28.0,53,38,30.4,0.97,1396,-2.8,3.2,17.0,0
OZN000101,36.3,21.8,29.0,14.5,842,7,10.3,30.0,13,8.3,21.0,113,1025,18,10,25.0,,0.14,11.8,16.0,104,109,39.7,1.28,1472,1.5,1.4,89.0,1
OZN000102,23.7,14.7,19.2,9.0,533,4,7.1,65.0,35,9.7,22.0,131,1014,41,20,77.0,32.0,0.62,3.2,32.0,75,68,21.3,0.94,826,-3.0,9.0,155.0,0
OZN000103,31.7,20.1,25.9,11.6,672,6,9.2,46.0,33,15.8,35.0,279,1021,49,28,88.0,48.0,0.94,0.0,19.0,66,54,33.5,0.77,1625,-3.1,4.8,91.0,0
OZN000104,,,21.0,8.7,540,5,7.9,55.0,26,13.8,30.0,252,1018,24,7,,27.0,0.34,0.0,25.0,117,119,21.5,0.72,1266,-1.6,5.3,24.0,0
OZN000105,17.3,6.1,11.7,11.2,401,5,3.3,74.0,54,16.0,35.0,216,1016,34,17,62.0,32.0,0.39,3.0,36.0,84,89,12.6,0.21,238,-3.9,19.0,52.0,0
OZN000106,22.8,16.3,19.6,6.5,545,5,7.5,66.0,32,15.9,40.0,272,1018,48,19,,47.0,0.71,6.8,27.0,40,32,21.7,0.19,1602,0.2,8.4,105.0,0
OZN000107,23.4,12.3,17.8,11.1,589,6,5.6,51.0,38,9.9,22.0,265,1011,52,25,86.0,,0.84,2.3,37.0,95,97,18.3,1.25,931,-3.1,4.5,111.0,0
OZN000108,22.2,12.4,17.3,9.8,487,5,6.9,71.0,33,9.9,29.0,253,1021,36,13,52.0,43.0,0.41,2.5,25.0,73,77,18.9,0.73,733,-5.2,,56.0,0
OZN000109,32.1,17.2,24.6,14.9,637,6,,46.0,27,7.6,22.0,356,1017,25,11,,50.0,0.3,9.0,16.0,126,120,32.3,0.71,1735,-2.3,8.4,82.0,0
OZN000110,30.3,15.4,22.8,14.9,624,6,11.0,41.0,23,10.3,29.0,127,1018,44,28,88.0,50.0,0.73,4.4,31.0,74,71,32.4,0.86,928,1.3,1.7,74.0,0
OZN000111,28.7,16.9,22.8,11.8,625,7,8.3,51.0,43,9.1,25.0,285,1014,36,7,42.0,,0.29,5.2,23.0,62,46,32.6,0.45,1286,-3.5,6.6,6.0,0
OZN000112,11.0,8.6,9.8,2.4,245,1,2.1,84.0,56,15.8,40.0,138,1003,45,27,91.0,14.0,0.66,5.3,32.0,5,5,5.0,0.06,974,-4.5,9.4,33.0,0
OZN000113,31.3,14.1,22.7,17.2,609,8,9.9,51.0,24,12.1,30.0,208,1017,38,16,66.0,58.0,,3.6,28.0,88,79,32.2,0.58,1623,3.2,5.1,62.0,1
OZN000114,27.8,,21.5,12.6,579,6,8.4,57.0,44,13.4,24.0,254,1012,39,15,60.0,45.0,0.48,8.7,16.0,80,71,29.5,0.24,1518,2.0,4.0,0.0,0
OZN000115,30.1,15.6,22.8,14.5,611,7,8.7,33.0,29,8.3,20.0,333,1020,7,1,10.0,24.0,0.1,5.9,35.0,104,108,28.9,0.81,1155,-1.5,3.8,26.0,0
OZN000116,22.6,8.4,15.5,14.2,274,4,5.2,64.0,61,18.5,53.0,139,1001,43,19,74.0,28.0,0.79,5.9,33.0,65,61,20.5,0.34,935,-2.9,15.2,132.0,0
OZN000117,20.1,12.7,16.4,7.4,420,4,4.7,58.0,45,15.5,,356,1022,50,21,78.0,27.0,0.53,0.0,27.0,105,107,18.5,0.14,1073,-0.3,13.5,12.0,0
OZN000118,41.5,24.5,33.0,17.0,936,11,14.0,19.0,9,4.3,12.0,126,1034,30,13,42.0,87.0,0.44,3.5,,87,101,46.0,1.29,1492,4.8,2.4,160.0,0
OZN000119,25.4,17.1,21.2,,587,6,,58.0,38,15.1,37.0,287,1010,56,29,104.0,45.0,0.78,12.1,39.0,40,24,25.4,0.48,1587,-0.7,4.0,29.0,0
OZN000120,,,18.6,,485,4,7.4,69.0,46,20.4,40.0,7,1014,53,27,99.0,48.0,0.82,4.2,42.0,73,81,17.8,0.74,601,-0.7,6.4,15.0,0
OZN000121,26.8,11.4,19.1,15.4,512,4,6.9,64.0,38,13.6,39.0,266,1015,16,1,9.0,20.0,0.1,6.7,24.0,46,39,22.0,0.69,1196,-3.4,4.9,74.0,0
OZN000122,27.6,15.9,21.8,,603,4,8.3,69.0,37,12.4,28.0,342,1011,36,14,53.0,19.0,0.44,0.0,,91,91,26.9,0.44,690,1.8,4.9,40.0,0
OZN000123,27.8,16.8,22.3,11.0,628,4,7.5,,44,13.3,34.0,33,1010,36,9,45.0,48.0,0.63,9.2,23.0,72,62,27.5,0.62,1520,-2.8,18.5,122.0,0
OZN000124,38.5,26.1,32.3,12.4,903,10,13.0,33.0,11,1.5,9.0,61,1025,39,14,60.0,64.0,0.47,2.7,30.0,66,59,45.4,1.03,1654,2.7,0.0,119.0,1
OZN000125,29.7,,23.9,11.6,673,8,8.8,45.0,35,11.7,23.0,200,1008,15,1,12.0,46.0,0.11,5.0,27.0,99,92,29.5,0.67,1135,5.8,2.2,20.0,0
OZN000126,31.5,16.8,24.2,14.7,620,7,,,24,7.9,21.0,278,1013,20,5,19.0,40.0,0.1,0.6,23.0,119,126,32.5,0.55,1386,1.3,3.7,120.0,1
OZN000127,26.1,13.1,19.6,13.0,498,4,9.2,75.0,44,12.1,24.0,85,1016,42,19,66.0,39.0,0.76,2.8,,48,45,24.3,0.77,750,-0.9,4.7,63.0,0
OZN000128,30.2,17.6,23.9,12.6,534,7,9.2,54.0,26,13.5,37.0,294,1015,47,19,79.0,67.0,0.75,12.2,34.0,98,116,29.2,0.17,1710,-0.9,2.8,65.0,0
OZN000129,29.0,16.2,22.6,12.8,487,7,8.2,54.0,26,11.5,,17,1019,26,5,33.0,35.0,0.24,2.2,32.0,95,79,30.1,0.75,1140,-5.1,4.0,,0
OZN000130,27.2,13.8,20.5,13.4,535,4,6.8,57.0,48,12.7,29.0,80,1017,49,26,90.0,47.0,0.78,2.6,,56,29,22.9,0.56,1486,-2.4,10.6,109.0,0
OZN000131,36.6,22.3,29.4,14.3,796,9,11.9,45.0,10,8.0,20.0,251,1026,44,18,,80.0,0.79,8.2,31.0,42,50,40.5,0.81,1959,2.1,0.0,75.0,1
OZN000132,23.9,,20.4,7.0,669,6,,64.0,45,9.2,8.0,163,1010,46,27,91.0,51.0,0.83,3.3,39.0,92,64,22.4,0.56,1646,-1.3,,15.0,0
OZN000133,27.1,18.2,22.6,8.9,553,6,7.5,43.0,25,8.4,21.0,272,1017,19,5,27.0,34.0,0.3,4.9,33.0,83,100,28.2,1.02,1012,0.2,4.0,74.0,0
OZN000134,31.7,16.7,24.2,,723,8,11.3,35.0,16,5.3,11.0,328,1014,34,16,56.0,70.0,0.55,2.3,31.0,104,106,35.5,0.71,1579,3.1,0.0,86.0,1
