id_parcela,temp_media_c,temp_max_c,temp_min_c,humedad_pct,humedad_suelo_pct,precipitacion_mm,precipitacion_acum_30d_mm,horas_humectacion_foliar,ndvi,ndwi,indice_estres_hidrico,dias_desde_tratamiento,num_tratamientos_campana,densidad_plantas_m2,ph_suelo,materia_organica_pct,nitrogeno_ppm,conductividad_suelo,altitud_m,pendiente_pct,dist_foco_plaga_km,trampas_capturas_num,grados_dia_acumulados,indice_presion_plaga,cobertura_vegetal_pct,edad_cultivo_dias,tipo_cultivo,sistema_riego,uso_fitosanitario,variedad_resistente,manejo,perdida_cosecha
CSC000015,16.2,22.3,6.9,49,16.9,15,84,0.6,0.62,-0.15,0.15,50,6,193,5.9,2.4,38,1.37,712,2.3,13.0,23,1087,27,62,83,olivo,goteo,si,no,integrado,0
CSC000016,28.9,41.8,23.3,80,30.6,54,79,14.4,0.67,0.7,0.49,18,4,193,7.8,2.1,14,1.22,209,6.2,6.8,24,1398,71,85,139,olivo,goteo,no,si,integrado,1
CSC000017,20.3,29.1,11.8,64,22.1,33,73,11.2,0.59,0.43,0.51,3,3,142,7.0,2.5,22,0.87,780,10.1,2.1,18,496,55,65,70,horticola,aspersion,si,si,convencional,0
CSC000018,20.7,30.0,12.7,59,22.9,33,45,5.9,0.7,-0.05,0.08,1,7,101,7.6,2.3,22,1.4,398,12.7,2.7,0,1012,24,93,153,vid,goteo,no,no,ecologico,0
CSC000019,23.0,32.0,15.0,44,25.0,7,84,6.4,0.63,-0.2,0.17,43,2,155,6.1,1.3,20,1.53,438,9.7,0.7,10,1045,23,72,105,citricos,aspersion,si,si,convencional,0
CSC000020,31.4,44.8,25.9,45,13.4,30,25,2.3,0.79,-0.2,0.0,6,4,179,6.5,2.4,23,1.28,536,6.9,25.9,0,1359,10,73,47,olivo,goteo,si,no,ecologico,0
CSC000021,14.0,20.5,3.4,45,27.4,24,57,5.2,0.74,-0.26,0.23,36,6,176,7.1,1.8,19,1.79,400,15.0,44.2,7,478,33,72,33,horticola,aspersion,si,no,convencional,0
CSC000022,18.2,28.5,11.7,73,25.9,69,108,4.3,0.63,0.13,0.37,8,2,155,6.8,2.3,28,0.86,854,9.7,0.6,8,940,51,90,66,trigo,aspersion,no,no,integrado,0
CSC000023,21.8,32.0,16.2,79,29.5,48,187,16.2,0.75,0.8,0.1,22,1,134,7.8,2.8,22,0.47,579,21.9,4.4,14,1050,28,44,150,citricos,goteo,si,si,integrado,0
CSC000024,18.7,26.6,11.6,43,21.2,23,40,1.2,0.65,-0.25,0.09,16,6,221,6.8,1.6,21,0.87,212,12.6,15.4,2,960,6,73,64,vid,aspersion,si,si,integrado,0
CSC000025,27.4,37.8,22.4,71,24.6,61,92,8.4,0.62,0.23,0.45,8,2,162,6.9,1.4,25,1.1,472,12.2,1.7,14,1305,50,81,60,horticola,secano,no,si,ecologico,0
CSC000026,12.6,16.6,4.5,56,16.9,34,70,5.8,0.68,0.16,0.35,18,3,160,7.3,1.6,24,1.03,403,5.3,31.4,24,382,49,66,67,citricos,secano,no,si,convencional,0
CSC000027,22.7,31.6,15.2,85,32.9,94,140,20.0,0.59,0.8,0.46,14,3,211,7.5,3.2,25,0.53,294,25.5,26.3,26,1059,41,75,127,citricos,aspersion,si,si,convencional,0
CSC000028,19.7,26.1,13.5,66,23.6,37,145,10.8,0.69,-0.06,0.09,14,1,246,5.5,2.8,33,1.06,219,1.8,0.3,0,980,21,72,197,trigo,secano,si,si,integrado,0
CSC000029,22.2,31.7,13.7,64,27.3,42,79,7.7,0.7,0.26,0.14,22,0,258,6.0,1.8,28,0.64,0,12.4,14.9,19,1201,34,96,93,trigo,goteo,si,no,convencional,0
CSC000030,18.6,28.5,10.7,78,25.4,50,117,8.5,0.63,0.41,0.53,13,2,206,6.1,3.4,17,0.75,704,8.6,28.7,23,1092,47,34,128,citricos,goteo,no,si,integrado,0
CSC000031,24.4,35.1,19.6,72,25.1,70,146,11.4,0.69,0.53,0.29,18,1,208,6.8,2.4,25,1.93,205,6.0,32.2,25,1090,31,53,53,trigo,goteo,si,no,convencional,0
CSC000032,19.9,27.6,12.1,65,21.3,28,7,8.4,0.59,-0.32,0.37,20,4,229,6.8,0.3,15,0.84,625,3.7,8.3,5,661,23,71,61,trigo,aspersion,si,no,convencional,0
CSC000033,12.1,16.6,3.4,51,23.3,29,66,3.8,0.72,-0.09,0.3,3,7,134,6.8,1.3,20,0.84,0,14.9,5.1,0,527,12,68,83,citricos,aspersion,si,no,convencional,0
CSC000034,22.3,28.7,15.1,56,16.9,25,79,4.8,0.67,0.11,0.35,76,1,215,7.4,1.1,27,0.83,500,10.1,16.9,7,601,45,80,65,olivo,secano,no,no,convencional,0
CSC000035,24.9,33.3,17.1,71,22.7,40,86,13.1,0.52,0.51,0.43,30,3,201,5.8,2.9,33,0.77,345,11.6,4.9,24,982,64,82,166,olivo,aspersion,si,no,ecologico,1
CSC000036,14.5,20.4,5.7,59,26.6,37,88,10.5,0.57,0.12,0.59,16,1,196,6.0,1.9,19,0.1,863,4.1,2.1,27,602,46,66,68,trigo,goteo,no,no,integrado,0
CSC000037,23.4,32.3,15.6,77,28.1,71,109,8.8,0.53,0.75,0.54,14,1,197,6.7,2.3,17,1.47,871,2.7,18.7,27,1012,52,78,55,olivo,goteo,si,no,convencional,0
CSC000038,23.8,32.9,18.3,76,34.0,77,126,14.7,0.5,0.71,0.37,17,1,258,6.6,2.3,21,0.53,468,10.7,5.2,38,1234,57,93,64,vid,secano,si,no,convencional,0
CSC000039,21.4,30.8,12.1,74,22.4,54,136,9.5,0.52,0.32,0.62,62,3,220,6.6,3.0,31,0.28,276,16.0,4.9,29,962,52,67,31,horticola,goteo,si,no,integrado,1
CSC000040,18.6,25.5,10.9,50,13.5,2,2,3.3,0.69,-0.16,0.35,40,1,139,6.8,4.9,26,0.37,480,14.2,10.9,10,940,20,83,43,citricos,secano,no,si,integrado,0
CSC000041,16.7,25.1,7.1,67,19.4,39,105,9.0,0.6,0.23,0.38,3,4,235,7.3,2.1,32,0.92,365,12.7,3.5,25,681,41,84,36,maiz,secano,si,no,ecologico,0
CSC000042,18.2,25.0,9.1,77,28.2,48,152,7.2,0.59,0.49,0.56,40,7,247,6.1,3.6,30,1.98,378,0.0,21.5,41,582,72,72,86,vid,secano,no,no,convencional,1
CSC000043,12.6,18.7,2.1,56,23.0,58,146,4.8,0.55,0.17,0.43,7,3,195,5.9,0.8,12,0.3,510,0.0,8.1,23,396,51,56,75,trigo,secano,no,no,integrado,0
CSC000044,19.8,28.3,12.3,87,18.4,29,58,12.6,0.54,0.54,0.5,11,0,124,6.2,2.8,21,1.32,726,14.5,4.9,26,942,41,82,58,vid,goteo,si,si,ecologico,0
CSC000045,15.1,21.6,7.1,43,19.7,29,21,3.8,0.51,-0.29,0.3,17,2,230,6.7,2.0,24,0.51,536,0.0,3.7,13,508,52,71,142,vid,secano,no,no,integrado,0
CSC000046,27.3,38.6,23.3,72,30.0,51,94,13.3,0.52,0.49,0.43,22,2,117,7.0,1.7,29,0.1,519,2.9,50.0,33,1114,57,83,33,citricos,aspersion,no,no,integrado,0
CSC000047,19.4,25.3,11.2,59,24.6,21,95,9.1,0.71,0.26,0.48,7,2,233,7.1,2.3,23,1.19,522,18.0,11.1,16,783,47,62,147,vid,goteo,si,si,integrado,0
CSC000048,17.4,26.7,7.6,70,24.1,14,107,3.5,0.63,-0.03,0.2,1,1,100,5.4,0.8,12,1.28,472,4.1,22.4,4,484,21,55,55,citricos,goteo,no,si,ecologico,0
CSC000049,14.7,19.0,2.6,53,20.0,0,31,2.1,0.85,-0.35,0.0,4,7,137,6.2,2.6,38,1.32,338,16.5,23.0,0,714,0,72,33,vid,goteo,no,si,convencional,0
CSC000050,19.8,28.6,13.1,63,28.6,58,147,10.6,0.57,0.37,0.43,21,4,261,6.2,3.2,13,1.66,311,0.8,1.6,34,642,48,45,50,olivo,secano,si,no,convencional,0
CSC000051,24.3,34.2,16.9,80,24.8,68,142,14.2,0.53,0.6,0.42,57,2,191,7.2,1.8,22,0.79,390,15.7,15.8,24,1090,42,85,121,citricos,secano,si,no,ecologico,0
CSC000052,28.0,36.9,22.0,91,30.0,69,172,15.5,0.64,0.58,0.46,19,7,193,6.9,2.5,20,1.24,197,13.3,1.0,28,1214,59,50,221,maiz,goteo,si,no,convencional,0
CSC000053,17.7,24.2,7.9,65,25.7,28,71,6.5,0.77,-0.1,0.17,27,3,92,6.1,1.9,32,0.1,625,12.1,50.0,8,794,12,65,191,olivo,aspersion,si,no,integrado,0
CSC000054,23.1,32.3,16.9,50,32.2,61,122,11.9,0.58,0.32,0.35,8,1,169,6.5,2.6,27,0.33,1006,0.0,22.6,30,1115,46,91,59,horticola,goteo,si,no,ecologico,0
CSC000055,10.2,12.5,-1.7,44,13.9,0,0,0.0,0.68,-0.5,0.0,13,5,173,6.1,1.7,29,1.08,302,0.0,50.0,0,302,5,78,75,citricos,goteo,si,no,convencional,0
CSC000056,22.2,29.1,14.3,68,21.2,45,81,8.6,0.72,0.22,0.13,24,2,172,6.5,2.7,18,0.47,472,16.7,14.0,10,987,26,64,86,maiz,secano,no,si,integrado,0
CSC000057,18.2,25.2,10.2,63,22.0,43,158,10.3,0.61,0.36,0.21,8,5,167,6.4,2.4,32,0.55,124,0.0,17.5,14,767,33,74,149,olivo,aspersion,si,no,ecologico,0
CSC000058,20.8,28.7,12.5,43,25.6,22,34,2.4,0.6,-0.11,0.28,5,2,179,7.0,2.4,22,1.66,215,15.4,16.7,12,738,32,70,172,vid,aspersion,si,no,convencional,0
CSC000059,19.1,29.4,10.2,60,16.8,53,44,9.0,0.69,0.0,0.34,3,1,180,6.2,3.9,17,0.75,464,9.7,7.6,11,802,29,84,94,trigo,secano,si,no,convencional,1
CSC000060,18.2,25.5,8.5,50,11.2,0,40,1.8,0.79,-0.47,0.0,15,4,209,7.3,2.6,27,1.03,797,9.0,50.0,0,933,0,74,99,vid,aspersion,no,si,convencional,0
CSC000061,26.5,37.5,21.3,70,25.5,65,73,9.8,0.77,0.06,0.22,1,3,231,6.5,2.3,5,0.33,0,15.6,22.6,5,1159,27,66,48,olivo,aspersion,no,no,ecologico,0
CSC000062,21.9,28.6,13.7,50,21.8,23,5,2.0,0.67,-0.32,0.35,23,4,155,7.1,2.0,10,0.86,140,0.0,5.3,9,859,25,83,160,vid,goteo,si,si,convencional,0
CSC000063,20.8,27.6,14.9,68,21.2,36,102,5.8,0.62,-0.03,0.34,34,4,176,7.1,1.6,23,1.36,471,10.3,47.0,17,873,31,69,114,horticola,aspersion,si,si,integrado,0
CSC000064,23.9,31.1,16.6,50,23.0,54,127,9.0,0.59,0.23,0.28,23,5,158,6.6,3.1,21,0.47,199,12.9,26.6,23,930,39,64,130,horticola,goteo,si,no,ecologico,0
CSC000065,19.9,28.5,11.5,65,23.6,32,103,9.4,0.68,0.15,0.34,3,2,191,7.0,2.2,22,1.38,629,9.0,13.5,23,745,30,58,144,citricos,secano,no,no,ecologico,0
CSC000066,15.3,23.6,5.0,60,14.2,27,20,4.8,0.78,0.02,0.16,11,2,166,6.9,2.7,26,0.85,510,4.0,11.5,7,670,20,39,146,maiz,secano,si,si,integrado,0
CSC000067,16.3,20.8,7.8,61,19.2,63,61,6.3,0.59,-0.07,0.43,12,3,125,6.7,2.0,21,2.01,95,0.0,23.7,12,533,47,71,26,vid,secano,si,no,integrado,0
CSC000068,19.8,27.6,12.6,68,13.4,29,60,4.6,0.55,-0.15,0.42,18,6,154,6.3,2.8,35,0.1,613,11.6,3.5,8,824,60,66,59,olivo,goteo,no,no,integrado,0
CSC000069,19.2,27.9,12.9,85,25.4,46,134,11.1,0.55,0.36,0.38,5,5,163,7.8,4.8,28,0.59,520,0.7,2.5,21,726,48,46,165,horticola,secano,no,no,integrado,0
CSC000070,25.2,35.1,17.7,59,24.4,35,88,9.6,0.64,0.33,0.29,17,2,173,7.5,3.1,17,1.09,206,15.4,35.0,20,983,49,61,45,citricos,secano,si,no,convencional,0
CSC000071,30.5,41.0,24.6,56,21.6,42,50,4.3,0.68,-0.16,0.16,27,2,238,7.2,2.5,13,0.85,567,8.9,37.6,10,1307,17,57,151,maiz,secano,no,no,ecologico,0
CSC000072,21.8,30.4,14.0,83,29.8,66,136,14.5,0.51,0.74,0.63,83,2,205,6.2,2.4,31,0.46,734,0.0,9.1,37,1130,62,62,119,horticola,goteo,no,si,ecologico,0
CSC000073,22.7,30.8,14.5,77,37.6,57,74,10.2,0.7,0.43,0.19,0,2,101,6.6,2.1,24,1.15,272,9.9,20.9,15,912,27,46,8,olivo,secano,no,no,integrado,0
CSC000074,22.6,30.6,13.5,67,33.0,76,116,11.6,0.54,0.51,0.3,20,4,123,7.1,1.1,28,0.1,312,8.3,1.2,39,1017,61,73,103,trigo,secano,no,no,convencional,0
CSC000075,17.0,25.6,9.9,68,25.4,33,82,6.4,0.62,0.09,0.33,11,1,199,6.8,1.0,28,0.81,467,7.9,11.2,9,693,38,67,35,horticola,goteo,si,no,convencional,0
CSC000076,17.8,25.2,10.4,88,27.3,45,110,14.2,0.52,0.37,0.53,45,1,157,7.3,1.4,36,0.97,719,22.0,20.3,40,693,65,84,80,citricos,aspersion,no,no,ecologico,0
CSC000077,17.3,25.5,9.4,56,16.0,19,51,5.2,0.55,-0.35,0.36,17,1,87,6.4,1.8,19,1.46,337,4.6,2.1,33,1013,54,95,124,citricos,aspersion,si,no,convencional,0
CSC000078,21.2,28.0,13.4,36,13.3,0,0,0.0,0.62,-0.5,0.24,22,4,194,6.5,3.5,18,0.82,345,14.1,3.4,17,937,40,46,88,olivo,goteo,no,no,integrado,0
CSC000079,19.6,29.0,11.6,67,25.1,50,105,12.6,0.68,0.31,0.27,24,2,155,6.4,3.7,31,1.34,90,3.8,19.5,14,808,26,33,95,maiz,aspersion,no,si,convencional,0
CSC000080,19.5,24.6,11.0,69,22.2,24,50,6.2,0.7,0.09,0.07,12,3,192,7.3,2.8,26,1.05,476,8.2,2.4,0,879,14,53,54,horticola,goteo,si,si,ecologico,0
CSC000081,21.3,29.6,13.9,72,27.4,77,79,14.4,0.49,0.44,0.49,25,1,201,7.4,2.2,22,0.64,318,25.2,3.0,37,976,51,68,115,vid,goteo,no,si,ecologico,1
CSC000082,22.9,30.4,16.3,56,29.4,6,51,4.2,0.53,-0.29,0.33,44,2,180,6.5,2.4,10,0.63,261,17.9,0.3,22,870,54,56,122,horticola,secano,si,no,integrado,0
CSC000083,16.8,23.1,7.3,50,14.3,17,43,0.1,0.67,-0.38,0.29,18,3,190,6.3,2.0,24,1.32,341,8.2,2.2,4,996,25,59,74,olivo,goteo,no,si,convencional,0
CSC000084,20.7,30.1,14.7,58,19.2,0,32,0.9,0.7,-0.5,0.01,31,2,136,7.2,2.5,16,1.49,693,5.2,19.8,0,835,10,44,141,olivo,goteo,no,no,integrado,0
CSC000085,24.2,33.8,17.0,73,35.3,65,160,8.7,0.72,0.43,0.35,2,6,197,6.3,2.2,15,1.36,518,4.3,18.9,7,933,50,82,108,trigo,goteo,si,no,integrado,0
CSC000086,23.1,30.8,16.4,75,24.6,48,87,14.4,0.61,0.45,0.39,15,6,190,5.1,2.4,2,1.3,425,5.9,9.1,24,766,27,81,123,trigo,goteo,si,no,integrado,1
CSC000087,19.2,26.0,11.1,52,14.6,17,15,0.0,0.76,-0.43,0.0,6,5,130,7.7,1.4,8,0.82,665,10.4,6.6,0,867,20,75,74,citricos,goteo,no,si,integrado,0
CSC000088,21.6,29.1,14.5,68,22.8,32,49,7.2,0.72,0.38,0.22,26,1,187,6.0,2.0,22,0.94,366,8.9,44.6,21,911,28,68,73,horticola,secano,si,no,convencional,0
CSC000089,16.6,23.0,6.4,68,22.8,56,96,6.7,0.79,0.24,0.18,6,7,138,6.6,3.2,25,1.2,110,6.8,19.0,4,601,22,71,37,horticola,goteo,si,si,integrado,0
CSC000090,20.5,29.6,12.7,47,16.6,23,26,1.8,0.68,-0.5,0.15,30,2,153,5.5,2.3,28,0.8,362,0.0,34.9,6,1065,25,79,116,olivo,goteo,no,no,convencional,0
CSC000091,31.0,40.5,25.0,68,26.4,40,102,8.3,0.61,0.39,0.55,33,3,229,6.4,2.6,18,1.02,260,0.0,11.6,6,1393,32,89,53,olivo,goteo,no,si,ecologico,1
CSC000092,25.2,37.9,19.0,59,19.7,26,123,3.5,0.55,0.15,0.63,84,3,134,6.4,2.3,12,0.22,523,0.0,7.0,29,1078,61,63,98,citricos,aspersion,no,no,convencional,1
CSC000093,23.9,32.8,16.5,79,27.3,55,112,11.8,0.63,0.61,0.33,7,2,194,6.5,3.5,24,0.65,276,8.8,7.4,17,1096,42,80,114,maiz,aspersion,no,no,convencional,0
CSC000094,23.4,32.7,15.7,73,29.8,72,145,8.8,0.48,0.52,0.33,14,3,179,8.2,0.8,17,0.74,999,0.0,1.6,25,948,56,78,102,trigo,secano,no,no,convencional,0
CSC000095,17.5,24.8,8.2,68,22.1,21,40,1.8,0.71,-0.04,0.31,13,2,151,6.4,1.7,13,1.22,691,1.3,10.9,14,792,36,83,127,maiz,goteo,si,si,integrado,0
CSC000096,25.7,35.4,18.1,90,34.3,95,223,18.7,0.51,0.8,0.62,66,3,139,6.3,1.4,8,1.06,518,15.1,19.5,48,1005,72,58,40,horticola,secano,si,no,integrado,1
CSC000097,22.3,30.6,14.3,49,16.0,32,18,2.0,0.6,-0.21,0.24,16,4,215,7.6,1.4,23,1.54,446,12.7,40.4,18,1040,32,67,112,vid,aspersion,si,no,integrado,0
CSC000098,22.2,32.5,14.6,82,30.0,66,141,12.6,0.54,0.79,0.55,8,3,244,5.8,3.0,12,1.08,487,8.4,3.0,38,1012,53,62,106,horticola,goteo,si,no,convencional,1
CSC000099,13.1,19.1,2.9,49,17.6,0,0,0.8,0.64,-0.5,0.22,15,1,221,6.3,3.9,10,0.73,704,19.4,15.9,4,209,24,59,92,trigo,secano,no,si,ecologico,0
CSC000100,21.9,30.0,14.1,66,22.2,50,86,7.1,0.65,0.08,0.15,3,1,117,6.0,1.6,28,1.48,729,3.3,13.0,5,942,30,99,90,olivo,goteo,si,no,integrado,0
CSC000101,22.0,29.5,16.1,51,14.1,6,15,0.0,0.59,-0.35,0.37,31,3,281,5.5,3.6,27,0.37,283,7.3,3.6,11,770,38,68,155,trigo,aspersion,si,no,convencional,1
CSC000102,21.8,29.4,13.4,73,19.9,56,131,9.9,0.81,0.28,0.2,14,2,94,6.1,3.8,21,1.18,572,15.4,35.3,0,979,7,62,141,maiz,secano,si,si,integrado,0
CSC000103,19.1,26.4,10.8,69,30.1,47,88,6.7,0.79,0.15,0.22,18,1,161,6.5,2.5,29,0.32,406,7.4,13.9,8,793,15,63,128,maiz,goteo,si,no,ecologico,0
CSC000104,15.8,24.2,8.2,65,25.3,32,52,5.5,0.66,-0.01,0.31,7,1,137,7.3,3.7,12,0.79,532,12.0,9.6,14,616,21,67,108,horticola,secano,no,no,integrado,0
CSC000105,25.7,35.1,18.7,76,27.8,71,107,12.1,0.55,0.76,0.47,24,2,133,5.8,2.6,24,0.67,424,2.4,1.4,20,819,60,74,71,olivo,goteo,si,no,convencional,1
CSC000106,14.8,21.4,5.2,73,15.9,44,98,9.8,0.71,0.14,0.18,1,0,212,6.6,2.5,17,0.68,437,0.0,16.7,8,875,14,83,96,trigo,secano,si,si,integrado,0
CSC000107,20.3,28.3,13.7,66,18.9,10,106,9.1,0.63,0.26,0.27,4,5,165,6.8,3.6,38,0.67,0,20.2,4.0,16,736,37,82,35,maiz,goteo,no,no,convencional,0
CSC000108,21.3,28.7,12.0,42,19.3,0,50,0.3,0.75,-0.36,0.08,7,2,137,6.2,3.0,24,0.71,463,6.7,40.3,0,775,4,74,115,vid,aspersion,si,no,integrado,0
CSC000109,24.5,33.7,17.2,91,40.0,98,128,13.5,0.5,0.8,0.68,35,2,144,8.1,0.9,31,1.46,263,0.0,10.8,43,980,65,93,116,horticola,secano,si,no,convencional,0
CSC000110,16.4,21.8,7.9,36,6.9,0,63,0.0,0.72,-0.5,0.09,0,2,193,7.5,2.1,27,1.59,116,6.5,19.5,0,564,12,72,46,vid,secano,no,no,convencional,0
CSC000111,15.5,22.1,6.7,63,22.0,45,26,5.8,0.7,-0.08,0.4,33,3,145,6.7,5.0,22,2.17,475,12.5,9.9,2,604,24,82,63,vid,goteo,si,no,integrado,0
CSC000112,17.4,26.8,8.8,86,24.3,43,108,12.6,0.68,0.17,0.31,9,4,145,6.0,3.6,19,0.52,193,11.2,20.8,17,883,37,81,40,maiz,secano,no,no,integrado,0
CSC000113,16.6,20.8,5.8,52,17.4,30,77,0.0,0.67,-0.39,0.07,24,5,155,7.7,3.4,43,1.29,286,30.7,23.6,1,689,26,85,163,citricos,aspersion,si,no,convencional,0
CSC000114,15.5,22.0,7.8,47,33.1,43,86,3.1,0.48,-0.1,0.47,53,2,230,7.2,1.1,26,1.6,869,0.0,6.6,30,509,72,94,89,vid,secano,no,no,integrado,0
CSC000115,22.4,29.5,13.5,74,24.2,44,159,9.3,0.59,0.57,0.57,9,2,212,6.1,1.4,17,1.17,640,0.3,3.3,23,875,50,45,70,trigo,goteo,no,no,integrado,1
CSC000116,24.8,34.9,18.2,76,34.4,51,122,9.2,0.55,0.46,0.4,59,3,195,6.4,2.8,20,0.72,297,17.4,30.0,31,1308,34,92,80,horticola,aspersion,si,no,integrado,0
CSC000117,17.3,23.9,9.0,91,34.8,79,136,9.9,0.68,0.61,0.31,2,7,151,7.0,2.4,17,0.51,369,7.3,17.1,8,938,38,75,86,trigo,goteo,no,no,convencional,0
CSC000118,23.4,33.9,15.8,73,23.6,66,150,11.5,0.68,0.64,0.41,6,2,142,5.8,2.5,32,0.58,612,12.8,9.5,19,1000,62,67,158,trigo,aspersion,no,si,ecologico,1
CSC000119,24.8,35.3,17.5,78,28.5,37,140,10.3,0.67,0.26,0.29,0,2,197,6.4,4.2,18,0.62,203,0.0,9.9,13,1005,39,68,195,trigo,goteo,si,no,convencional,0
CSC000120,21.7,31.5,13.2,89,20.4,53,87,11.4,0.59,0.46,0.53,32,1,101,7.3,3.3,8,1.35,681,0.0,3.9,23,846,50,62,253,vid,aspersion,si,no,convencional,0
CSC000121,22.1,30.5,15.2,47,14.5,35,95,5.3,0.49,-0.13,0.47,77,2,161,7.0,1.4,28,0.1,248,0.0,2.5,27,1137,51,55,120,citricos,secano,no,no,convencional,0
CSC000122,29.5,40.5,22.8,76,21.8,92,88,14.9,0.48,0.4,0.61,30,3,235,5.9,2.0,33,0.39,82,1.0,14.4,33,1351,69,75,101,citricos,aspersion,no,si,convencional,0
CSC000123,23.1,33.0,14.5,59,20.5,30,53,4.8,0.56,-0.37,0.33,9,4,205,8.1,2.6,21,1.34,658,0.9,23.1,13,1132,19,68,187,vid,goteo,si,no,integrado,0
CSC000124,22.4,30.8,14.2,90,29.3,68,99,15.1,0.56,0.8,0.49,16,2,234,7.1,1.7,23,0.43,45,12.6,38.6,31,827,60,69,111,olivo,goteo,si,no,convencional,0
CSC000125,19.1,25.2,9.6,53,17.4,30,12,4.8,0.67,-0.19,0.24,9,1,184,7.5,2.0,12,0.72,358,3.8,13.4,4,888,27,81,60,trigo,secano,no,no,convencional,0
CSC000126,23.6,32.4,15.8,51,11.9,0,7,0.0,0.48,-0.32,0.57,83,6,216,7.2,2.8,25,1.33,361,5.6,0.3,32,1236,52,67,22,horticola,secano,si,no,integrado,1
CSC000127,18.6,24.8,9.9,72,28.7,23,70,9.8,0.72,0.22,0.11,16,1,196,6.3,2.7,26,1.53,586,12.2,0.5,0,729,16,59,72,citricos,goteo,no,si,convencional,0
CSC000128,19.9,27.7,10.9,76,27.5,46,119,8.4,0.57,0.18,0.4,15,2,239,6.2,0.8,25,0.36,428,9.5,1.1,31,629,28,82,92,trigo,goteo,si,si,convencional,1
CSC000129,18.2,27.7,11.3,72,23.3,46,99,6.5,0.48,0.41,0.65,4,1,171,6.9,3.1,16,1.03,690,8.7,2.7,30,610,60,100,145,horticola,secano,si,si,convencional,0
