id_zona,ndvi,ndre,ndwi,indice_clorofila_spad,temp_canopia_c,humedad_suelo_pct,indice_estres_hidrico,nitrogeno_foliar_pct,fosforo_suelo_ppm,potasio_suelo_ppm,capturas_trampa_num,dist_foco_plaga_m,horas_humectacion_foliar,tipo_cultivo,fase_fenologica,sistema_riego,tipo_estres_dominante
EST000019,0.73,0.298,0.36,34.5,24.2,35.7,0.36,2.44,15,191,6,311,4.6,citricos,floracion,goteo,nutricional
EST000020,0.88,,0.38,64.6,22.3,27.6,0.39,4.23,21,217,6,243,6.5,citricos,vegetativo,secano,sin_estres
EST000021,,0.373,0.38,46.3,14.3,41.4,0.22,3.08,24,145,13,291,10.7,vid,vegetativo,goteo,sin_estres
EST000022,0.64,0.295,0.34,37.6,25.1,34.9,0.32,2.66,17,154,16,163,11.5,maiz,germinacion,aspersion,biotico
EST000023,0.84,,0.34,44.5,19.4,32.5,0.34,3.08,20,195,0,389,2.6,horticola,germinacion,aspersion,sin_estres
EST000024,,0.276,0.48,35.4,17.1,31.5,0.32,2.97,17,171,7,289,6.6,trigo,floracion,aspersion,nutricional
EST000025,0.6,0.313,-0.09,54.9,31.3,16.2,0.61,4.0,26,240,35,227,16.5,citricos,maduracion,secano,hidrico
EST000026,0.61,0.262,0.14,38.6,26.7,19.7,0.63,3.07,19,141,13,220,13.4,horticola,floracion,secano,hidrico
EST000027,,0.32,0.2,55.6,22.6,30.6,0.25,3.29,20,152,17,188,15.8,maiz,vegetativo,secano,biotico
EST000028,0.84,0.404,,45.3,20.7,34.4,0.31,3.96,24,230,19,385,11.7,horticola,germinacion,goteo,sin_estres
EST000029,0.75,0.409,0.26,64.8,24.6,29.6,0.56,4.15,27,211,10,227,9.7,horticola,maduracion,goteo,hidrico
EST000030,0.75,0.303,0.21,46.1,32.8,24.8,0.46,2.56,27,181,11,300,9.2,vid,maduracion,secano,hidrico
EST000031,0.72,0.32,0.17,50.7,30.4,26.3,0.44,3.11,23,152,1,274,5.2,trigo,germinacion,aspersion,hidrico
EST000032,0.64,0.229,0.2,,32.3,25.0,0.54,2.17,10,125,11,244,8.6,citricos,germinacion,aspersion,nutricional
EST000033,0.95,0.339,0.54,45.6,13.4,46.0,0.07,,19,187,6,321,10.8,maiz,floracion,aspersion,sin_estres
EST000034,0.53,0.188,0.2,37.9,28.8,32.1,0.39,2.42,15,148,14,462,10.2,vid,floracion,goteo,nutricional
EST000035,0.64,0.323,0.12,40.9,27.2,22.2,0.39,2.89,18,185,0,321,2.3,horticola,germinacion,secano,sin_estres
EST000036,0.66,0.251,0.09,42.3,34.7,19.5,0.59,2.21,21,164,5,365,5.9,horticola,vegetativo,secano,hidrico
EST000037,0.95,0.452,0.42,55.8,16.8,42.3,0.11,3.81,28,200,6,220,11.6,maiz,maduracion,secano,sin_estres
EST000038,0.67,0.334,0.38,51.3,27.7,26.4,0.26,2.77,26,197,11,242,8.8,vid,vegetativo,secano,hidrico
EST000039,0.52,0.198,0.24,28.9,28.6,31.6,0.44,2.07,9,86,16,233,11.1,maiz,germinacion,goteo,nutricional
EST000040,0.78,0.354,0.35,48.3,30.0,22.0,0.27,3.33,21,195,20,326,15.1,maiz,germinacion,goteo,biotico
EST000041,,0.414,0.62,49.0,12.1,47.3,0.05,3.28,21,198,12,224,13.4,citricos,maduracion,goteo,sin_estres
EST000042,0.78,0.423,0.35,60.1,22.2,24.9,0.53,3.3,30,245,5,220,7.5,horticola,floracion,secano,sin_estres
EST000043,0.62,0.19,0.48,,16.1,41.8,0.06,1.28,2,75,13,227,13.2,citricos,floracion,aspersion,nutricional
EST000044,0.92,0.412,0.5,49.3,21.8,46.3,0.22,3.34,24,199,6,275,9.8,horticola,vegetativo,goteo,sin_estres
EST000045,,0.289,0.29,38.6,27.6,20.9,0.51,3.74,18,182,0,288,4.7,maiz,floracion,goteo,hidrico
EST000046,,0.337,0.07,39.1,27.2,19.7,0.58,2.93,18,183,7,322,6.5,maiz,germinacion,secano,hidrico
EST000047,0.71,0.45,0.12,64.9,36.3,17.4,0.53,4.06,28,216,21,212,8.9,vid,germinacion,secano,hidrico
EST000048,0.63,0.199,0.37,27.7,18.0,32.5,0.33,2.31,15,145,12,182,13.6,horticola,floracion,goteo,nutricional
EST000049,0.77,0.302,,29.2,20.4,25.5,0.27,1.81,12,118,0,393,6.2,trigo,maduracion,secano,nutricional
EST000050,0.6,,,35.6,31.1,19.5,0.6,2.22,13,156,10,230,0.8,horticola,vegetativo,secano,nutricional
EST000051,0.59,0.312,0.05,42.7,29.8,14.9,0.58,2.67,22,182,16,299,9.7,trigo,maduracion,secano,hidrico
EST000052,0.59,0.274,0.31,42.0,31.0,18.9,0.45,2.86,15,213,14,194,11.9,trigo,floracion,secano,sin_estres
EST000053,0.86,0.293,0.12,53.0,23.3,14.2,0.65,2.83,18,164,0,315,2.4,horticola,vegetativo,secano,hidrico
EST000054,0.63,0.295,0.28,46.1,20.1,24.3,0.48,3.41,12,174,7,301,6.2,vid,vegetativo,secano,nutricional
EST000055,0.76,0.382,0.3,57.1,21.1,31.1,0.27,3.26,15,230,19,243,7.6,maiz,germinacion,secano,sin_estres
EST000056,0.64,0.274,,38.1,25.4,35.4,0.39,2.04,12,62,18,177,9.4,horticola,vegetativo,goteo,nutricional
EST000057,0.75,0.286,0.59,37.8,18.5,36.4,0.06,2.8,14,96,4,333,9.9,citricos,germinacion,secano,nutricional
EST000058,0.74,0.336,0.1,47.7,25.3,16.6,0.66,2.88,17,174,8,245,3.6,vid,maduracion,secano,hidrico
EST000059,0.87,0.339,0.26,46.1,30.2,23.5,0.4,,23,175,0,372,4.6,vid,germinacion,goteo,sin_estres
EST000060,0.49,0.238,0.34,37.5,28.9,37.0,0.51,2.33,13,152,25,161,15.9,vid,maduracion,goteo,biotico
EST000061,0.81,0.263,0.42,33.8,15.1,32.5,0.36,2.5,12,170,11,261,8.3,horticola,vegetativo,aspersion,sin_estres
EST000062,0.77,0.338,0.21,46.0,30.1,22.4,0.46,3.58,19,222,3,292,2.1,maiz,vegetativo,secano,hidrico
EST000063,0.62,0.356,0.05,41.5,34.5,14.0,0.71,,22,203,18,206,6.9,horticola,floracion,secano,hidrico
EST000064,0.53,0.271,0.04,37.0,40.2,8.6,0.72,2.87,17,192,16,200,6.5,trigo,floracion,secano,hidrico
EST000065,0.72,0.282,0.28,38.4,25.5,22.1,0.46,2.95,16,85,17,283,5.8,trigo,floracion,secano,sin_estres
EST000066,0.79,0.324,0.38,49.9,21.8,29.5,0.38,3.33,25,169,9,263,8.2,citricos,germinacion,secano,sin_estres
EST000067,0.68,0.307,0.41,34.1,29.5,32.5,0.5,2.5,16,140,15,238,9.7,trigo,vegetativo,aspersion,sin_estres
EST000068,0.8,0.402,0.35,49.2,22.5,36.4,0.35,2.84,20,233,20,163,13.1,citricos,vegetativo,secano,biotico
EST000069,0.73,0.308,0.27,42.8,29.0,22.8,0.57,2.92,25,186,10,228,7.6,vid,vegetativo,secano,sin_estres
EST000070,0.71,0.296,,42.8,14.1,41.5,0.15,2.23,20,109,23,166,12.4,maiz,floracion,goteo,sin_estres
EST000071,0.82,0.322,0.53,37.2,17.0,36.3,0.18,2.89,17,190,4,269,11.5,citricos,maduracion,goteo,sin_estres
EST000072,,0.441,0.07,55.1,20.2,22.4,0.67,4.45,31,284,23,278,11.7,trigo,floracion,secano,hidrico
EST000073,0.59,0.29,0.33,39.6,19.3,32.3,0.34,2.11,14,163,15,308,7.5,maiz,floracion,goteo,nutricional
EST000074,0.86,0.281,,42.3,26.1,29.0,0.4,2.15,12,112,4,290,5.0,horticola,vegetativo,aspersion,nutricional
EST000075,0.92,0.37,0.65,48.7,18.1,55.0,0.0,2.51,21,154,7,216,8.7,citricos,vegetativo,goteo,sin_estres
EST000076,0.75,0.255,0.2,46.5,24.5,22.9,0.55,2.71,17,140,12,213,,citricos,maduracion,secano,sin_estres
EST000077,0.71,0.302,0.28,44.1,20.0,32.1,0.39,2.8,20,221,8,219,3.8,trigo,vegetativo,goteo,biotico
EST000078,0.68,0.391,0.55,47.1,15.8,36.8,0.25,,27,167,23,149,14.3,vid,germinacion,secano,biotico
EST000079,,0.437,0.51,,18.7,33.2,0.15,3.3,29,271,19,210,13.7,horticola,floracion,secano,biotico
EST000080,0.61,0.414,0.22,59.3,28.1,17.4,0.53,4.28,27,249,23,166,11.7,trigo,maduracion,secano,biotico
EST000081,0.57,0.243,0.23,30.6,28.7,22.5,0.51,2.3,15,187,19,219,9.2,horticola,floracion,secano,biotico
EST000082,0.76,0.317,0.48,32.4,16.6,43.6,0.15,,20,153,10,264,8.6,horticola,floracion,aspersion,nutricional
EST000083,,0.329,0.11,45.3,36.4,22.2,0.6,3.4,17,167,0,337,6.2,maiz,floracion,goteo,hidrico
EST000084,0.79,0.339,0.53,35.5,18.8,40.0,0.15,2.66,12,109,14,362,10.2,horticola,vegetativo,secano,nutricional
EST000085,,0.289,0.17,28.9,30.0,23.1,0.45,2.21,17,136,23,190,13.2,vid,germinacion,goteo,nutricional
EST000086,0.76,0.35,0.44,45.1,20.7,34.2,0.33,,16,184,3,245,2.2,citricos,vegetativo,secano,nutricional
EST000087,0.9,0.37,0.47,40.8,20.5,35.1,0.22,2.75,17,143,0,316,2.9,horticola,germinacion,secano,sin_estres
EST000088,0.65,0.344,0.11,,34.3,13.0,0.82,2.64,24,173,17,192,8.9,maiz,floracion,secano,hidrico
EST000089,0.83,0.365,0.42,48.0,24.9,26.8,0.49,,28,260,0,396,1.4,horticola,vegetativo,aspersion,sin_estres
EST000090,0.63,0.247,0.08,36.0,29.0,18.2,0.57,2.64,14,139,0,286,3.6,maiz,floracion,goteo,hidrico
EST000091,0.48,0.257,-0.01,40.1,32.0,13.9,0.83,2.78,24,144,14,378,5.8,maiz,floracion,secano,hidrico
EST000092,0.68,0.301,0.21,,26.1,24.5,0.41,2.52,18,148,15,342,9.0,citricos,germinacion,secano,biotico
EST000093,,,0.25,45.9,31.8,19.8,0.47,,15,201,7,424,7.1,trigo,maduracion,secano,sin_estres
EST000094,0.71,0.299,0.5,42.1,12.2,40.0,0.14,2.04,13,143,9,236,4.5,vid,floracion,aspersion,sin_estres
EST000095,,0.406,0.45,,18.7,36.8,0.08,3.31,24,191,7,259,11.2,horticola,maduracion,secano,sin_estres
EST000096,0.82,0.327,,50.9,15.9,44.1,0.11,3.13,18,128,20,169,10.2,citricos,maduracion,goteo,nutricional
EST000097,0.67,0.382,0.31,49.8,25.2,27.2,0.38,2.6,23,207,19,175,10.3,citricos,germinacion,goteo,biotico
EST000098,0.93,0.434,0.54,,26.8,40.4,0.14,3.28,22,218,16,238,13.9,citricos,maduracion,goteo,sin_estres
EST000099,0.72,0.395,0.35,48.6,22.5,24.2,0.34,3.98,29,249,18,210,8.1,horticola,vegetativo,goteo,sin_estres
EST000100,0.85,0.311,0.47,48.6,24.4,38.1,0.19,2.63,16,191,1,282,8.4,maiz,vegetativo,goteo,sin_estres
EST000101,0.83,0.414,0.42,44.1,18.5,37.2,0.18,,24,235,15,238,8.5,maiz,germinacion,goteo,sin_estres
EST000102,0.63,0.283,0.14,29.3,41.1,9.6,0.65,2.39,17,125,4,402,1.1,citricos,germinacion,goteo,hidrico
EST000103,0.8,0.366,0.24,54.8,28.7,23.4,0.58,3.46,27,258,13,362,5.5,maiz,maduracion,goteo,sin_estres
EST000104,0.95,0.392,0.47,48.4,20.8,32.3,0.13,3.52,17,189,12,320,11.8,horticola,vegetativo,aspersion,nutricional
EST000105,0.68,0.331,0.18,54.7,31.3,24.3,0.5,3.17,22,197,7,272,5.5,maiz,vegetativo,aspersion,hidrico
EST000106,0.72,0.267,0.34,41.5,25.9,37.4,0.41,,14,120,15,223,9.8,vid,floracion,goteo,sin_estres
EST000107,,0.363,0.39,52.7,21.4,36.3,0.02,2.78,26,186,17,237,12.1,citricos,floracion,secano,sin_estres
EST000108,0.69,0.364,0.3,51.8,24.0,28.3,0.42,3.58,22,202,16,193,7.3,citricos,floracion,goteo,biotico
EST000109,0.8,0.348,0.4,45.8,23.1,29.8,0.34,,19,125,5,248,4.7,maiz,maduracion,secano,sin_estres
EST000110,0.71,0.345,0.28,43.7,31.1,21.7,0.58,3.05,23,179,0,337,1.2,citricos,vegetativo,aspersion,hidrico
EST000111,0.77,0.336,0.22,52.7,31.4,27.4,0.5,3.66,26,231,5,235,6.6,horticola,floracion,secano,sin_estres
EST000112,0.82,0.381,0.33,39.5,19.6,41.9,0.17,2.63,19,130,15,231,11.3,maiz,maduracion,secano,sin_estres
EST000113,0.93,0.431,0.37,54.5,20.5,29.3,0.29,4.2,22,214,4,433,6.3,citricos,maduracion,secano,biotico
EST000114,0.85,0.346,,49.8,34.7,28.6,0.38,3.19,26,236,0,311,4.0,citricos,floracion,goteo,hidrico
EST000115,0.85,,0.38,50.8,23.1,35.3,0.23,3.4,28,169,4,315,7.3,horticola,vegetativo,goteo,sin_estres
EST000116,0.7,0.303,0.36,40.5,24.5,27.1,0.37,3.25,17,166,14,259,9.6,trigo,vegetativo,secano,sin_estres
EST000117,,0.277,0.27,46.4,27.1,30.4,0.49,2.78,24,194,0,312,,horticola,vegetativo,secano,sin_estres
EST000118,0.95,0.452,,56.5,7.7,39.6,0.15,3.06,25,234,8,311,12.2,trigo,germinacion,secano,sin_estres
EST000119,0.58,0.237,0.16,35.9,34.3,10.9,0.71,2.52,5,121,0,323,0.0,trigo,vegetativo,secano,hidrico
EST000120,0.66,0.273,0.41,43.3,25.8,23.1,0.55,2.14,18,121,21,185,10.4,citricos,vegetativo,secano,biotico
EST000121,0.88,0.319,0.56,,18.4,47.5,0.07,3.12,23,146,15,202,8.8,citricos,floracion,aspersion,biotico
EST000122,0.78,0.309,0.12,39.1,25.6,30.6,0.4,2.83,16,121,4,263,9.3,horticola,maduracion,goteo,hidrico
EST000123,0.72,0.311,0.49,50.2,23.4,26.8,0.39,3.14,25,170,21,165,13.1,trigo,germinacion,secano,biotico
EST000124,0.44,,0.2,30.1,33.9,16.2,0.61,1.93,15,123,27,143,13.4,vid,floracion,secano,nutricional
EST000125,0.61,0.36,0.1,54.0,37.7,10.5,0.78,3.89,26,222,17,319,11.0,citricos,maduracion,secano,hidrico
EST000126,0.67,0.224,0.15,30.3,27.1,19.7,0.5,2.58,18,155,3,359,0.2,maiz,vegetativo,secano,nutricional
EST000127,0.64,0.28,0.39,38.8,26.2,27.6,0.4,2.41,17,164,23,278,11.0,citricos,vegetativo,goteo,biotico
EST000128,0.71,0.247,,34.9,31.9,27.6,0.42,2.38,14,148,9,278,5.2,maiz,vegetativo,goteo,sin_estres
EST000129,0.71,0.312,0.4,36.4,18.8,34.3,0.19,2.43,18,187,10,251,9.2,maiz,floracion,goteo,nutricional
EST000130,0.64,0.311,,39.4,29.4,13.8,0.73,3.28,27,233,24,163,7.4,citricos,germinacion,secano,hidrico
EST000131,0.47,0.225,0.32,25.7,25.5,36.8,0.29,1.29,8,97,16,216,9.9,vid,vegetativo,aspersion,nutricional
EST000132,0.49,0.254,0.06,37.7,33.6,15.1,0.51,3.16,19,181,37,92,14.7,horticola,floracion,secano,biotico
EST000133,0.54,0.303,0.34,48.5,34.4,27.7,0.53,3.22,15,187,28,209,12.6,vid,germinacion,goteo,biotico
EST000134,0.84,0.301,0.38,43.5,21.8,34.7,0.21,2.47,14,150,0,302,8.3,maiz,germinacion,goteo,nutricional
EST000135,0.78,0.34,,37.0,27.5,24.0,0.44,3.05,19,148,3,371,6.8,vid,vegetativo,goteo,sin_estres
EST000136,0.69,0.311,0.36,51.9,25.5,30.5,0.47,3.38,16,131,23,202,10.4,maiz,germinacion,aspersion,sin_estres
EST000137,0.75,0.276,0.32,48.8,22.8,29.0,0.37,2.51,14,155,0,337,3.5,horticola,germinacion,goteo,sin_estres
EST000138,0.77,0.402,0.27,54.4,26.3,30.4,0.32,3.62,28,242,10,236,9.7,maiz,germinacion,goteo,biotico
EST000139,0.74,0.343,0.54,36.3,15.4,48.5,0.0,2.62,22,131,19,199,15.3,horticola,vegetativo,goteo,biotico
EST000140,0.78,0.333,0.5,40.7,24.6,34.7,0.32,2.87,16,166,0,345,0.0,maiz,floracion,goteo,nutricional
EST000141,,0.233,0.22,41.1,37.2,17.7,0.56,2.5,22,146,16,293,7.9,maiz,germinacion,goteo,nutricional
EST000142,0.76,0.228,0.31,38.6,27.6,28.6,0.32,2.33,14,130,6,336,5.5,maiz,vegetativo,secano,nutricional
EST000143,0.55,0.324,-0.0,43.0,32.5,15.8,0.63,2.57,18,176,4,322,7.9,trigo,vegetativo,goteo,hidrico
EST000144,0.73,0.331,0.16,,30.1,25.2,0.45,3.13,20,200,15,600,10.0,vid,vegetativo,secano,sin_estres
EST000145,0.63,0.268,,44.9,24.4,30.6,0.25,2.54,14,167,20,173,10.4,vid,floracion,goteo,biotico
EST000146,0.84,0.352,0.4,43.3,29.0,35.4,0.39,3.09,20,152,17,251,10.6,citricos,germinacion,goteo,sin_estres
EST000147,0.87,0.343,0.65,40.4,7.3,50.5,0.0,2.83,22,171,13,264,11.0,horticola,vegetativo,goteo,sin_estres
EST000148,0.88,0.274,,41.0,12.1,44.1,0.0,,15,157,6,380,11.6,horticola,maduracion,goteo,sin_estres
EST000149,0.72,0.289,0.51,48.8,17.2,40.2,0.16,2.62,19,138,21,204,11.8,horticola,maduracion,goteo,sin_estres
EST000150,0.8,0.336,0.37,54.6,28.5,16.5,0.41,3.41,22,264,12,186,11.1,vid,maduracion,secano,hidrico
EST000151,0.59,0.356,0.33,53.5,26.9,20.2,0.46,3.75,25,188,27,144,13.4,vid,maduracion,goteo,biotico
EST000152,0.56,0.272,0.02,41.9,37.7,8.4,0.79,,20,198,8,219,7.4,horticola,germinacion,secano,hidrico
EST000153,0.84,0.391,0.28,54.5,28.9,29.6,0.39,3.7,30,220,12,477,6.6,trigo,maduracion,aspersion,sin_estres
EST000154,0.86,0.365,0.47,47.1,17.9,41.4,0.31,3.05,21,179,6,251,9.3,horticola,floracion,goteo,sin_estres
EST000155,0.84,0.377,0.51,41.5,18.0,40.3,0.05,3.4,20,191,14,212,13.5,maiz,floracion,goteo,sin_estres
EST000156,0.9,0.426,0.29,53.3,27.6,31.4,0.4,3.97,32,253,10,246,5.1,trigo,vegetativo,aspersion,sin_estres
EST000157,0.61,0.265,0.18,32.2,23.2,26.8,0.49,2.57,17,138,14,198,3.9,maiz,vegetativo,aspersion,nutricional
EST000158,0.64,0.384,0.09,57.2,35.9,14.0,0.84,3.87,26,234,17,241,6.8,horticola,maduracion,secano,hidrico
EST000159,0.88,0.43,0.32,57.7,26.9,31.3,0.26,4.12,29,243,2,421,5.6,trigo,vegetativo,goteo,sin_estres
EST000160,0.75,0.314,0.19,,23.5,36.4,0.35,3.12,18,200,18,315,8.0,trigo,vegetativo,secano,sin_estres
EST000161,0.54,0.209,0.29,30.8,31.7,21.0,0.54,2.18,10,130,21,139,12.0,horticola,vegetativo,goteo,biotico
EST000162,0.76,0.344,,44.4,23.8,28.6,0.39,2.73,23,180,9,243,8.2,citricos,vegetativo,secano,sin_estres
EST000163,0.7,0.251,0.43,42.9,27.5,23.7,0.3,2.34,18,149,7,226,7.5,trigo,germinacion,goteo,nutricional
EST000164,0.78,0.339,0.46,48.0,27.9,32.8,0.33,3.21,19,191,18,255,5.4,vid,vegetativo,goteo,sin_estres
EST000165,0.72,0.366,0.25,47.5,22.5,21.0,0.4,2.57,20,177,1,343,6.4,citricos,germinacion,secano,sin_estres
EST000166,0.73,0.342,0.39,44.1,16.1,33.1,0.25,2.52,22,171,4,345,2.0,trigo,vegetativo,aspersion,sin_estres
EST000167,0.61,0.197,0.27,28.0,22.0,26.8,0.47,1.25,5,40,13,238,9.7,vid,vegetativo,secano,nutricional
EST000168,,0.312,0.43,37.8,15.6,35.1,0.32,2.32,18,155,12,405,11.3,vid,floracion,secano,nutricional
EST000169,,0.223,0.27,23.1,18.6,33.3,0.25,1.62,10,70,5,269,7.6,citricos,vegetativo,secano,nutricional
EST000170,0.79,0.363,0.27,43.7,26.9,31.1,0.37,3.76,19,172,16,232,9.0,horticola,vegetativo,secano,sin_estres
EST000171,0.95,0.334,0.33,43.6,26.2,30.8,0.35,2.99,21,166,1,284,5.8,trigo,vegetativo,goteo,sin_estres
EST000172,0.66,0.425,0.21,60.9,35.1,15.7,0.45,4.18,27,270,29,143,14.3,vid,germinacion,secano,hidrico
EST000173,0.68,0.237,0.31,36.9,27.3,31.6,0.45,2.23,16,184,11,235,9.5,horticola,floracion,goteo,nutricional
EST000174,,0.259,0.22,31.1,31.5,20.0,0.57,1.93,14,188,21,248,9.8,horticola,maduracion,secano,hidrico
EST000175,0.72,0.304,0.5,48.2,14.7,41.1,0.23,2.95,17,181,26,160,11.9,citricos,germinacion,goteo,biotico
EST000176,0.85,0.339,0.37,46.2,28.8,26.9,0.29,4.06,30,256,26,166,12.7,vid,germinacion,goteo,biotico
EST000177,0.95,0.507,0.49,59.8,22.0,37.6,0.16,4.48,31,217,8,248,10.4,trigo,vegetativo,aspersion,sin_estres
EST000178,0.7,0.361,0.36,55.0,25.9,25.1,0.21,3.29,26,227,17,338,8.9,trigo,floracion,aspersion,sin_estres
EST000179,0.73,0.285,0.29,37.0,26.1,22.4,0.66,3.01,20,162,8,234,4.7,vid,germinacion,secano,hidrico
EST000180,0.55,0.31,0.02,59.2,37.2,13.7,0.61,4.14,23,195,13,265,3.4,maiz,vegetativo,secano,hidrico
EST000181,0.92,0.341,0.5,35.3,7.6,44.1,0.11,3.11,17,173,0,297,7.3,maiz,vegetativo,aspersion,sin_estres
EST000182,0.54,0.222,0.04,40.4,40.4,9.9,0.95,2.07,9,105,14,177,11.4,citricos,floracion,secano,hidrico
EST000183,0.68,0.317,,34.6,27.1,25.7,0.43,2.1,17,115,0,580,3.1,horticola,maduracion,aspersion,nutricional
EST000184,0.7,0.277,0.35,46.8,25.1,30.5,0.46,3.15,21,165,11,264,3.6,vid,floracion,goteo,nutricional
EST000185,0.68,0.318,0.41,45.5,29.5,28.8,0.41,2.35,11,176,5,259,10.5,horticola,maduracion,aspersion,nutricional
EST000186,0.75,0.265,0.37,39.4,31.4,30.3,0.34,2.49,16,160,17,327,6.0,horticola,floracion,aspersion,nutricional
EST000187,0.62,0.262,0.3,,30.4,19.8,0.43,1.9,12,123,3,389,2.6,citricos,floracion,secano,hidrico
EST000188,0.62,0.178,0.3,25.0,22.9,35.6,0.44,1.43,2,119,0,296,6.8,maiz,vegetativo,aspersion,nutricional
EST000189,0.71,0.3,0.2,38.4,31.3,22.2,0.64,2.73,18,146,11,310,9.1,horticola,vegetativo,secano,hidrico
EST000190,0.61,0.194,0.15,44.7,33.3,6.9,0.73,,19,125,18,259,5.3,maiz,floracion,secano,hidrico
EST000191,0.77,0.392,0.54,45.1,11.7,38.2,0.13,3.13,16,180,20,184,10.6,horticola,floracion,aspersion,sin_estres
EST000192,0.8,0.215,0.18,32.3,27.1,29.2,0.46,2.5,16,99,0,371,2.7,vid,vegetativo,aspersion,hidrico
EST000193,,0.383,0.56,42.7,17.8,47.8,0.09,3.0,22,228,3,314,7.2,citricos,germinacion,goteo,sin_estres
EST000194,0.86,0.415,0.4,45.9,21.0,34.2,0.12,3.35,26,221,7,247,7.9,horticola,maduracion,goteo,sin_estres
EST000195,0.7,0.202,0.17,37.7,36.0,18.9,0.64,2.33,12,127,5,328,6.8,trigo,floracion,aspersion,hidrico
EST000196,,0.274,0.39,33.9,17.5,31.2,0.44,1.89,10,92,18,358,12.2,trigo,floracion,secano,nutricional
EST000197,0.66,0.283,0.34,37.6,26.4,37.6,0.23,2.8,14,151,27,221,13.2,vid,floracion,goteo,biotico
EST000198,0.69,0.316,0.29,41.3,30.5,23.1,0.6,2.57,20,166,8,342,6.6,trigo,germinacion,secano,biotico
EST000199,0.7,0.206,0.28,36.9,22.8,30.4,0.31,2.68,17,159,21,184,15.0,trigo,vegetativo,aspersion,biotico
EST000200,0.68,0.38,0.4,45.0,19.7,29.4,0.18,2.84,13,162,28,230,14.6,maiz,germinacion,aspersion,biotico
EST000201,0.5,0.221,-0.11,45.3,36.0,5.0,0.88,3.37,14,215,6,265,2.4,trigo,maduracion,secano,hidrico
EST000202,0.8,0.318,0.32,37.8,30.0,26.2,0.44,3.3,17,165,9,391,5.1,citricos,vegetativo,goteo,sin_estres
EST000203,0.63,0.29,0.1,38.9,34.3,17.9,0.59,2.49,18,130,14,250,2.9,vid,germinacion,secano,hidrico
EST000204,0.67,0.222,0.18,37.3,31.1,21.2,0.35,2.62,19,193,26,220,10.0,vid,maduracion,goteo,biotico
EST000205,0.68,0.305,0.09,36.6,35.3,17.6,0.57,2.67,17,128,3,508,0.7,trigo,maduracion,aspersion,hidrico
EST000206,0.76,0.373,0.29,55.5,22.9,35.2,0.39,3.09,21,196,8,332,5.4,maiz,germinacion,aspersion,nutricional
