pureza_hplc_pct,endotoxinas_eu_mg,agregados_pct,potencia_relativa_pct,bioburden_ufc_ml,osmolalidad_mosm_kg,tiempo_procesado_h,planta_produccion,turno_produccion,apta_liberacion
98.21,0.97,5.76,86.6,4,340.9,16.4,planta_A,manana,si
94.15,0.52,2.79,100.3,5,298.5,31.8,planta_A,tarde,no
96.79,6.24,5.35,87.4,2,264.2,20.8,planta_A,tarde,si
96.77,6.44,0.21,100.6,3,286.3,32.5,planta_B,manana,no
98.98,2.84,2.74,97.6,2,288.7,22.9,planta_B,manana,si
99.42,2.37,5.02,116.3,1,309.3,17.7,planta_C,manana,no
100.0,3.88,4.15,104.4,3,292.4,17.9,planta_B,noche,si
96.76,1.67,5.48,91.5,6,328.3,31.1,planta_A,noche,si
97.02,6.06,2.44,112.5,2,319.1,17.6,planta_C,manana,no
94.58,0.61,3.24,87.7,4,285.9,33.5,planta_B,tarde,no
94.08,2.8,0.0,105.6,1,348.3,31.2,planta_C,manana,si
92.7,0.92,0.76,114.6,2,307.1,38.5,planta_B,manana,si
95.43,5.09,3.87,103.3,3,275.0,38.1,planta_B,tarde,si
96.39,6.84,2.01,105.9,1,285.5,38.8,planta_A,tarde,si
96.05,3.18,4.39,104.4,3,335.1,22.8,planta_A,manana,si
97.43,6.55,2.53,99.1,5,333.0,27.2,planta_B,manana,no
92.61,5.19,3.9,102.5,2,322.8,34.7,planta_B,tarde,no
100.0,4.68,1.66,88.2,3,276.3,26.9,planta_C,tarde,si
96.77,1.41,1.33,104.8,6,281.5,30.7,planta_B,noche,no
98.73,5.07,4.77,94.7,1,288.3,21.8,planta_B,tarde,si
96.86,3.97,3.93,107.0,1,339.6,33.0,planta_B,manana,si
93.81,1.69,3.03,97.7,6,300.0,30.1,planta_B,tarde,si
95.19,6.71,4.37,99.4,2,317.2,23.4,planta_B,noche,no
87.75,4.25,4.46,98.6,1,261.6,37.8,planta_A,tarde,si
96.53,0.15,4.86,93.8,1,241.6,23.0,planta_B,noche,si
95.83,5.35,2.49,104.5,6,298.2,33.4,planta_B,manana,no
99.03,2.17,1.82,98.2,3,313.2,36.8,planta_B,manana,si
91.61,2.66,3.09,91.9,6,304.1,29.8,planta_B,manana,no
95.8,1.1,3.58,96.6,2,309.9,29.5,planta_A,tarde,si
95.24,1.96,0.89,98.8,2,295.4,36.3,planta_A,noche,si
92.84,3.14,0.0,103.4,1,305.4,38.2,planta_C,noche,no
92.33,10.01,3.67,101.8,3,311.1,29.5,planta_A,tarde,no
93.06,6.45,4.99,96.5,3,291.2,26.0,planta_B,tarde,no
98.46,4.6,3.22,102.4,3,268.0,23.0,planta_A,tarde,si
98.46,2.09,2.6,118.1,1,292.6,25.8,planta_C,noche,si
92.4,1.41,3.31,98.0,5,332.2,39.4,planta_C,manana,no
95.58,4.59,3.36,77.6,3,241.0,19.0,planta_A,tarde,no
97.18,0.72,1.39,91.0,3,283.9,25.7,planta_C,noche,si
96.81,3.72,3.46,94.9,0,299.9,21.4,planta_A,noche,si
92.2,1.66,4.92,109.6,2,264.0,24.0,planta_C,noche,no
94.5,1.71,3.66,109.9,2,339.8,30.4,planta_C,noche,no
92.41,4.09,2.79,96.2,3,295.4,29.3,planta_B,manana,si
98.54,4.76,4.23,101.8,3,307.9,27.3,planta_A,manana,no
100.0,2.29,4.0,99.2,3,280.3,30.3,planta_A,manana,si
95.88,3.97,1.38,90.0,1,284.7,31.1,planta_B,tarde,si
90.64,1.21,5.11,100.7,1,297.1,20.3,planta_A,tarde,si
98.05,3.74,4.34,103.0,3,288.1,30.6,planta_C,manana,si
99.89,2.42,3.57,91.5,3,286.2,25.1,planta_A,manana,si
99.7,0.38,3.78,101.9,3,276.9,25.8,planta_A,manana,si
96.41,1.81,3.39,109.1,2,314.9,26.2,planta_B,tarde,si
97.32,2.32,1.84,86.3,1,262.9,22.1,planta_B,noche,si
96.24,3.81,4.06,101.5,3,329.2,18.6,planta_C,tarde,no
97.8,5.38,3.09,106.3,1,309.2,29.0,planta_A,noche,si
98.35,1.65,4.83,108.3,3,294.1,32.5,planta_A,tarde,si
94.12,1.49,2.19,91.1,3,314.8,26.8,planta_B,manana,si
94.53,0.31,1.8,96.9,0,266.7,21.5,planta_C,noche,si
95.15,0.36,1.62,100.3,3,295.5,31.9,planta_A,manana,si
95.42,0.21,4.7,108.5,3,272.3,37.2,planta_B,noche,no
96.48,0.32,2.96,115.8,5,298.1,29.2,planta_A,tarde,si
98.8,1.3,2.15,101.8,4,283.8,40.3,planta_B,noche,si
92.73,3.08,1.0,110.3,4,270.7,27.9,planta_A,manana,no
98.3,2.11,7.1,98.6,3,273.5,31.4,planta_A,manana,si
95.51,1.16,3.18,97.2,7,307.1,29.1,planta_A,tarde,si
88.83,1.23,2.02,108.7,4,280.5,34.6,planta_A,manana,si
95.0,13.37,2.27,113.1,2,268.7,32.7,planta_A,manana,no
95.32,4.4,4.89,115.1,4,302.2,35.4,planta_B,manana,no
97.37,1.29,2.56,94.3,5,309.0,30.9,planta_B,noche,si
97.47,5.4,1.3,92.0,2,295.9,35.4,planta_B,noche,no
95.98,2.18,2.87,113.4,2,266.7,35.5,planta_A,manana,si
93.96,3.25,5.63,83.0,2,327.8,28.7,planta_C,noche,no
98.38,2.3,5.01,98.3,2,298.0,27.3,planta_B,manana,no
94.31,3.39,5.13,95.1,3,334.8,18.4,planta_B,manana,no
93.03,1.1,1.93,111.3,3,296.6,36.8,planta_B,tarde,no
94.4,10.15,0.71,101.1,4,322.6,31.6,planta_A,manana,si
94.65,5.35,2.4,104.3,3,257.8,24.5,planta_A,noche,no
95.71,3.91,2.35,101.5,2,290.2,33.3,planta_B,manana,si
94.88,3.16,3.02,98.0,0,288.0,40.4,planta_B,manana,si
95.09,5.56,4.48,104.7,2,343.4,33.5,planta_A,noche,no
97.85,2.05,2.11,92.5,3,285.0,34.3,planta_A,tarde,no
97.99,1.28,1.77,91.7,2,268.4,36.6,planta_B,noche,si
97.33,0.54,1.26,96.6,4,285.9,32.7,planta_B,tarde,si
95.23,7.03,4.17,98.4,2,280.5,36.7,planta_A,manana,no
94.33,0.65,3.66,94.2,2,298.6,26.6,planta_A,manana,si
95.42,1.31,4.44,100.9,4,274.4,28.9,planta_C,manana,no
95.63,0.7,0.95,117.7,3,275.4,20.9,planta_B,manana,si
98.1,1.17,2.24,97.8,1,318.0,28.1,planta_A,manana,si
95.3,1.34,5.06,107.2,3,242.8,28.9,planta_C,manana,no
92.99,3.78,3.65,97.6,3,317.2,27.4,planta_A,noche,si
93.91,6.23,4.89,109.4,6,323.4,28.3,planta_A,tarde,no
100.0,5.37,4.55,90.8,2,323.3,19.8,planta_C,tarde,no
93.67,5.68,4.18,107.2,2,257.9,29.6,planta_A,noche,si
92.84,1.7,2.02,102.8,5,262.3,36.1,planta_C,tarde,si
95.27,6.13,2.82,103.3,6,296.0,35.4,planta_A,tarde,no
100.0,1.28,3.51,89.9,3,300.7,29.5,planta_A,tarde,si
96.24,5.35,6.76,96.3,1,260.1,34.4,planta_C,tarde,no
96.73,3.27,4.19,110.9,5,327.0,28.7,planta_C,manana,no
92.06,5.1,2.85,87.8,0,341.5,33.7,planta_B,noche,no
92.25,5.71,3.3,96.7,0,283.6,32.6,planta_A,manana,no
95.99,1.74,3.69,103.6,1,290.6,29.4,planta_A,tarde,si
