id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,peso_mg,longitud_antena_mm,num_segmentos_antena,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_ala_mm,envergadura_mm,num_manchas,diametro_mancha_mm,num_estrias_elitro,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,ratio_largo_ancho,ratio_antena_cuerpo,ratio_ala_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,densidad_setas,intensidad_color,especie_invasora
INV000073,20.76,12.66,8.6,6.71,4.29,5.24,354,10.69,8,11.08,5.1,4.42,17.17,42.94,7,0.89,9,2.4,1.26,2.3,2.41,0.515,0.827,139.3,401.7,18,82,1
INV000074,16.79,10.43,6.15,5.1,3.31,4.27,156,9.31,11,9.64,4.41,4.18,15.17,36.49,12,1.27,10,1.61,1.08,2.3,2.73,0.554,0.904,80.5,232.3,17,229,1
INV000075,17.19,10.47,6.65,5.06,3.33,4.36,192,9.71,11,10.08,4.63,4.05,15.85,38.35,11,1.13,11,1.79,0.7,2.05,2.58,0.565,0.922,89.2,257.2,18,192,0
INV000076,16.35,10.31,7.48,5.97,3.76,4.9,179,8.33,12,8.55,3.98,3.76,13.33,34.14,8,0.91,9,1.82,0.53,1.68,2.19,0.509,0.815,95.4,275.2,11,137,0
INV000077,16.64,10.12,7.95,5.94,4.14,4.86,204,7.18,11,10.39,4.9,4.45,11.86,31.67,1,0.35,11,2.0,0.71,1.32,2.09,0.431,0.713,103.2,297.6,11,106,0
INV000078,16.19,10.2,8.74,6.46,4.64,4.36,178,7.95,11,8.88,4.07,3.61,12.15,33.04,4,0.07,8,2.33,1.05,1.27,1.85,0.491,0.75,110.4,318.4,4,119,0
INV000079,18.04,10.63,7.03,5.39,3.72,4.9,189,8.83,10,9.84,4.66,4.11,13.75,34.53,5,0.95,7,1.8,1.31,1.98,2.57,0.489,0.762,98.9,285.3,13,141,1
INV000080,17.82,11.01,7.72,6.06,4.21,4.54,193,8.84,10,9.82,4.72,4.31,13.97,35.66,3,0.97,12,2.0,1.05,1.79,2.31,0.496,0.784,107.3,309.5,7,136,0
INV000081,18.96,11.61,7.38,5.87,3.92,4.96,238,9.13,8,9.43,4.5,4.05,15.61,38.6,8,0.89,9,2.05,1.31,1.97,2.57,0.482,0.823,109.1,314.8,12,218,1
INV000082,13.92,8.56,7.35,5.85,3.63,4.22,159,6.13,12,8.27,3.95,3.3,10.83,29.01,1,0.45,5,1.93,0.99,1.13,1.89,0.44,0.778,79.8,230.2,4,27,0
INV000083,17.49,11.14,7.3,5.44,3.9,3.98,168,9.03,10,9.37,4.29,4.04,13.6,34.5,7,0.93,7,1.91,0.9,1.89,2.4,0.516,0.778,99.6,287.3,10,118,0
INV000084,14.2,8.95,7.13,5.78,3.51,3.8,116,6.89,10,8.77,4.0,3.64,11.93,30.99,5,0.64,9,1.92,0.68,1.25,1.99,0.485,0.84,79.0,227.8,8,58,0
INV000085,18.26,11.42,7.0,5.28,3.65,5.03,238,9.54,10,10.18,4.83,4.35,15.58,38.16,9,0.9,10,1.82,0.76,1.85,2.61,0.522,0.853,99.7,287.6,11,121,0
INV000086,17.32,10.94,5.93,4.54,2.88,3.9,122,8.27,10,9.29,4.29,3.75,13.14,32.21,11,0.83,12,1.59,0.58,1.88,2.92,0.477,0.759,80.1,231.1,18,155,0
INV000087,9.53,6.28,3.84,2.82,2.17,3.86,10,5.65,10,5.38,2.56,2.19,7.96,19.76,8,0.97,11,1.0,0.92,1.2,2.48,0.593,0.835,28.5,82.3,19,73,0
INV000088,16.47,10.19,5.59,4.36,2.82,4.76,129,8.72,11,8.53,4.08,3.9,14.02,33.63,10,1.44,11,1.4,0.74,1.77,2.95,0.529,0.851,71.8,207.2,21,185,0
INV000089,17.27,10.92,7.57,6.1,3.85,5.2,192,8.86,11,9.21,4.32,3.89,14.34,36.25,5,0.69,9,1.98,0.71,2.05,2.28,0.513,0.83,102.0,294.2,15,139,0
INV000090,15.7,9.97,9.05,7.07,5.0,5.31,218,7.76,9,10.47,4.53,3.82,12.81,34.67,1,0.34,5,2.49,0.84,1.58,1.73,0.494,0.816,110.8,319.7,0,20,0
INV000091,15.62,9.74,6.31,5.31,3.31,3.9,162,7.86,12,8.14,3.55,3.36,11.67,29.65,7,0.65,8,1.52,0.87,1.41,2.48,0.503,0.747,76.9,221.8,12,76,0
INV000092,17.34,11.01,5.75,4.81,2.96,4.36,130,9.61,10,7.67,3.61,3.12,14.14,34.03,9,1.52,15,1.4,1.4,2.13,3.02,0.554,0.815,77.8,224.3,23,225,1
INV000093,15.22,9.55,7.02,5.35,3.6,4.2,136,7.21,10,8.31,3.71,3.42,11.98,30.98,6,0.73,10,1.71,0.54,1.51,2.17,0.474,0.787,83.3,240.4,17,104,0
INV000094,15.86,10.16,6.65,4.92,3.42,4.46,140,6.93,10,8.31,3.65,3.24,12.43,31.51,5,0.74,8,1.76,0.98,1.55,2.38,0.437,0.784,82.3,237.3,11,145,0
INV000095,17.86,11.14,7.64,6.01,4.22,4.68,217,8.87,11,8.57,4.18,3.88,12.67,32.98,6,0.97,9,1.91,1.96,1.75,2.34,0.497,0.709,106.4,307.0,19,172,0
INV000096,19.37,12.01,8.36,6.76,4.47,4.49,275,9.24,11,10.32,4.79,4.54,16.01,40.38,6,0.77,8,2.09,0.71,2.06,2.32,0.477,0.827,126.3,364.3,16,177,0
INV000097,15.26,9.38,6.7,5.34,3.3,4.6,146,8.35,10,7.91,3.83,3.37,12.01,30.72,9,0.74,9,1.52,1.17,1.61,2.28,0.547,0.787,79.7,230.0,18,142,0
INV000098,17.94,11.3,6.94,5.66,3.34,4.95,179,8.96,9,9.53,4.49,4.15,13.52,33.98,6,0.8,9,1.93,1.04,1.9,2.59,0.499,0.754,97.1,280.1,5,151,0
INV000099,14.1,8.78,5.42,4.26,2.53,4.55,114,7.07,10,7.86,3.54,3.63,9.81,25.04,5,0.58,9,1.26,0.49,0.71,2.6,0.501,0.696,59.6,171.9,12,90,0
INV000100,15.73,9.82,5.46,4.65,2.84,4.48,100,8.35,9,8.37,3.55,3.58,12.87,31.2,8,1.45,10,1.47,1.05,1.85,2.88,0.531,0.818,67.0,193.2,21,211,1
INV000101,12.88,8.2,5.93,4.47,3.07,3.73,63,5.82,12,7.5,3.29,3.24,10.56,27.05,3,1.13,10,1.73,0.69,1.5,2.17,0.452,0.82,59.6,171.9,15,123,0
INV000102,15.45,9.74,7.3,5.93,3.45,3.8,150,7.77,10,8.58,4.1,3.49,12.8,32.9,5,0.6,7,1.94,0.93,1.71,2.12,0.503,0.828,88.0,253.8,10,132,0
INV000103,13.45,8.16,6.39,4.78,3.46,4.19,71,7.48,7,8.06,3.45,3.27,10.87,28.13,6,0.54,10,1.48,1.39,1.41,2.1,0.556,0.808,67.0,193.4,9,124,0
INV000104,17.4,10.58,8.74,6.54,4.4,4.53,251,8.09,11,11.02,4.8,4.67,12.46,33.66,2,0.55,7,2.44,1.07,1.39,1.99,0.465,0.716,118.6,342.2,0,34,0
INV000105,17.33,10.45,7.54,6.06,3.64,4.23,236,7.52,10,9.99,4.6,4.25,13.54,34.62,4,0.84,9,1.78,0.7,1.33,2.3,0.434,0.781,101.9,294.0,10,98,0
INV000106,18.8,11.9,7.07,5.25,3.71,4.99,206,9.29,9,9.7,4.49,4.26,15.02,37.11,8,1.1,8,1.69,0.84,1.75,2.66,0.494,0.799,103.7,299.1,11,167,0
INV000107,16.97,10.17,7.86,6.16,4.1,5.43,216,7.84,7,9.31,4.13,4.22,13.54,34.94,6,0.66,8,1.96,0.69,1.58,2.16,0.462,0.798,104.0,300.1,10,75,0
INV000108,15.98,10.08,8.11,6.34,4.33,4.73,214,7.02,10,9.53,4.45,4.15,12.32,32.75,2,0.49,8,1.97,0.83,1.41,1.97,0.439,0.771,101.1,291.6,3,143,0
INV000109,18.42,11.49,6.79,5.2,3.36,4.7,213,8.49,11,9.46,4.2,3.78,14.77,36.33,6,0.85,11,1.71,0.77,1.87,2.71,0.461,0.802,97.6,281.4,14,86,0
INV000110,19.12,11.58,8.01,5.96,3.89,4.93,250,9.68,10,11.29,5.0,4.89,15.34,38.69,8,1.21,10,1.95,1.23,2.28,2.39,0.506,0.802,119.5,344.6,19,176,0
INV000111,15.65,9.7,6.79,4.86,3.47,4.85,210,7.03,9,8.67,4.17,3.69,12.35,31.49,4,0.73,9,1.79,1.0,1.22,2.3,0.449,0.789,82.9,239.1,11,137,0
INV000112,12.83,7.9,4.72,3.82,2.13,3.62,53,6.83,11,6.77,2.96,2.75,10.52,25.76,10,1.01,13,1.2,1.21,1.41,2.72,0.532,0.82,47.2,136.3,13,206,0
INV000113,14.99,9.46,7.26,5.55,3.85,4.79,166,6.64,8,9.74,4.65,3.93,11.53,30.32,0,0.34,8,1.97,0.97,1.0,2.06,0.443,0.769,84.9,244.9,6,76,0
INV000114,14.96,9.18,5.53,4.37,2.99,4.38,108,7.82,10,8.13,3.81,3.19,12.92,31.37,10,1.3,12,1.43,0.97,1.93,2.71,0.523,0.864,64.5,186.1,23,185,0
INV000115,15.22,9.3,5.79,4.89,3.08,4.01,142,7.86,10,8.37,4.08,3.6,11.78,29.35,7,0.79,8,1.41,1.3,1.45,2.63,0.516,0.774,68.7,198.3,11,139,0
INV000116,14.05,8.71,6.12,4.78,3.2,3.52,61,6.02,10,6.72,3.17,2.78,9.42,24.96,5,0.41,8,1.73,1.1,1.3,2.3,0.428,0.67,67.1,193.5,15,95,0
INV000117,16.96,10.69,8.01,6.62,4.03,5.03,193,8.79,10,10.01,4.51,4.01,13.54,35.09,5,0.79,7,2.1,0.71,2.01,2.12,0.518,0.798,106.0,305.7,11,116,0
INV000118,19.66,11.53,7.01,5.34,3.83,5.65,279,10.06,10,11.18,5.08,4.9,16.7,40.41,11,1.26,11,1.72,0.67,2.56,2.8,0.512,0.849,107.5,310.1,18,214,1
INV000119,17.43,11.24,6.97,5.13,3.46,4.59,228,9.58,9,9.66,4.64,4.29,15.5,37.97,9,0.63,10,1.62,1.39,1.91,2.5,0.55,0.889,94.8,273.3,12,131,1
INV000120,11.62,7.07,4.61,3.62,2.43,4.05,87,6.66,10,6.72,2.93,2.46,10.71,26.03,6,0.94,12,1.06,0.58,1.24,2.52,0.573,0.922,41.8,120.5,12,150,0
INV000121,12.03,7.25,4.61,3.33,2.45,3.47,44,6.65,9,7.33,3.67,3.28,10.54,25.69,9,1.17,10,1.09,0.82,1.57,2.61,0.553,0.876,43.3,124.8,18,156,0
INV000122,20.9,13.07,8.04,6.61,4.03,6.13,258,10.77,9,11.27,5.32,4.88,17.25,42.54,13,1.33,11,2.19,0.57,2.69,2.6,0.515,0.825,131.1,378.1,17,160,1
INV000123,17.0,10.23,7.61,5.66,3.67,5.07,215,9.12,11,9.66,4.3,3.63,13.64,34.89,8,0.62,10,2.05,1.1,1.54,2.23,0.536,0.802,100.9,291.1,13,96,0
INV000124,18.96,11.87,7.35,5.8,3.9,5.42,223,9.47,12,10.38,4.79,4.45,15.92,39.19,7,0.91,9,1.99,0.58,1.85,2.58,0.499,0.84,108.7,313.6,15,164,1
INV000125,13.79,8.52,6.53,5.11,3.49,4.58,149,6.15,11,7.36,3.43,3.12,10.96,28.45,2,0.55,9,1.64,0.98,1.06,2.11,0.446,0.795,70.2,202.6,3,19,0
INV000126,16.03,9.77,6.07,4.34,3.16,4.42,202,8.28,11,7.99,3.72,3.18,14.23,34.53,10,1.03,11,1.59,1.18,1.88,2.64,0.517,0.888,75.9,218.9,18,158,0
INV000127,8.49,5.08,3.76,2.87,1.95,2.72,10,5.38,12,4.58,1.96,1.73,7.83,19.42,8,1.12,11,1.01,0.82,1.1,2.26,0.634,0.922,24.9,71.8,17,123,0
INV000128,17.69,11.09,7.5,6.02,3.92,5.14,212,8.57,10,9.84,4.78,4.16,13.36,34.22,6,0.77,12,1.86,1.0,1.9,2.36,0.484,0.755,103.5,298.5,13,148,0
INV000129,21.17,13.35,8.84,7.08,4.64,5.72,282,10.46,12,11.82,5.5,5.14,16.7,42.24,7,0.91,9,2.22,0.8,2.29,2.39,0.494,0.789,146.0,421.1,16,142,0
