id_parcela,ph_suelo,materia_organica_pct,carbono_organico_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,calcio_ppm,magnesio_ppm,azufre_ppm,conductividad_electrica,cic,caliza_activa_pct,arcilla_pct,arena_pct,limo_pct,humedad_suelo_pct,capacidad_campo_pct,profundidad_suelo_cm,pendiente_pct,altitud_m,precipitacion_anual_mm,temp_media_c,temp_min_invierno_c,temp_max_verano_c,radiacion_anual,evapotranspiracion_mm,indice_aridez,orientacion,tipo_suelo
PAR000013,8.0,1.5,0.78,12,18.0,183,2147,204.0,,1.49,,14.3,22.9,30.9,46.2,33.9,23.4,56.0,,179.0,693,20.9,9.7,39.0,1957,1118.0,0.58,S,arcilloso
PAR000014,7.1,2.4,1.45,24,15.0,148,1859,148.0,11.1,0.95,17.7,7.2,6.5,76.2,17.3,21.1,18.7,73.0,9.4,426.0,509,15.9,4.6,32.8,1834,785.0,0.61,O,arcilloso
PAR000015,6.7,1.9,1.14,16,21.0,166,1080,160.0,7.6,0.97,18.2,6.1,17.5,77.3,5.2,24.7,21.3,54.0,3.0,249.0,307,17.0,3.8,32.5,1730,977.0,0.36,O,franco
PAR000016,6.9,2.0,1.13,20,16.0,120,1984,148.0,17.1,0.8,19.3,9.1,24.1,42.2,33.7,30.5,22.6,80.0,6.3,352.0,592,15.8,2.7,31.3,1800,908.0,0.73,S,arcilloso
PAR000017,5.7,2.3,1.54,20,27.0,156,1787,289.0,15.1,0.1,17.7,0.0,19.1,44.7,36.2,27.6,24.1,58.0,12.3,669.0,753,14.1,0.6,28.8,1338,,0.97,E,arenoso
PAR000018,5.4,2.9,1.76,23,20.0,234,1160,260.0,19.9,0.47,24.5,0.0,35.0,29.2,35.8,31.0,19.5,68.0,7.8,873.0,741,9.2,-5.1,23.2,1021,622.0,1.28,S,franco
PAR000019,7.6,1.5,0.93,20,8.0,109,1099,188.0,13.5,1.5,21.6,15.8,32.9,34.1,33.0,29.0,26.8,60.0,1.8,245.0,455,17.7,6.0,36.2,1847,1000.0,0.41,S,franco
PAR000020,7.1,4.5,2.55,37,36.0,271,2471,315.0,23.9,0.87,30.0,6.2,29.4,48.0,22.6,33.3,35.5,107.0,10.7,449.0,549,19.1,7.0,33.8,1718,1016.0,0.51,N,arcilloso
PAR000021,7.2,3.7,2.24,36,31.0,251,2317,263.0,15.5,0.91,23.0,5.1,36.8,22.5,40.7,31.0,30.2,96.0,11.6,506.0,534,14.2,3.7,29.7,1842,809.0,0.63,S,franco
PAR000022,5.5,2.3,1.41,26,21.0,179,1152,194.0,18.5,0.1,19.4,0.0,23.4,41.6,35.0,32.7,26.8,33.0,14.6,960.0,700,11.7,-1.1,,1321,723.0,0.89,E,arenoso
PAR000023,6.8,2.3,1.33,22,24.0,200,1847,143.0,18.5,0.65,21.2,5.3,24.6,40.5,34.9,28.5,21.1,,0.0,335.0,519,17.6,4.8,34.5,1763,1024.0,0.54,E,franco
PAR000024,5.5,2.7,1.57,31,21.0,184,1952,216.0,20.4,0.4,19.8,3.1,36.8,49.5,13.7,30.4,28.3,50.0,10.7,1028.0,766,11.1,-1.5,24.6,1356,644.0,1.3,O,arenoso
PAR000025,6.7,3.2,1.75,35,27.0,251,2132,319.0,21.4,0.92,22.2,3.0,29.4,41.6,29.0,28.8,29.4,106.0,0.0,175.0,650,19.9,7.2,36.1,1910,1109.0,0.66,N,franco
PAR000026,7.6,0.6,0.32,11,10.0,104,1842,113.0,8.0,1.74,15.8,13.8,29.8,38.6,31.6,26.7,24.6,42.0,4.0,357.0,355,20.4,9.5,,2019,1125.0,0.28,N,arcilloso
PAR000027,8.0,2.4,,22,,142,1776,223.0,9.5,1.67,22.3,19.4,25.6,39.5,34.9,30.8,25.3,48.0,2.6,207.0,603,19.2,8.2,34.9,1642,1061.0,0.61,E,calcareo
PAR000028,6.7,1.5,0.78,19,17.0,117,1248,153.0,6.8,0.59,14.8,5.2,20.3,71.7,8.0,26.6,19.4,39.0,18.6,682.0,597,14.3,2.8,29.7,1583,798.0,0.81,S,arcilloso
PAR000029,8.0,1.3,0.62,11,16.0,129,1593,81.0,11.9,1.39,20.8,18.2,27.8,52.0,20.2,26.1,24.9,71.0,8.0,170.0,401,18.9,8.4,35.6,1948,938.0,0.4,N,franco
PAR000030,7.3,3.9,2.21,33,,266,2273,305.0,25.8,0.76,,4.5,35.0,28.4,36.6,31.5,35.4,117.0,5.0,545.0,580,15.8,5.1,31.3,1594,882.0,0.57,N,franco
PAR000031,5.6,2.2,1.3,18,14.0,202,1074,178.0,14.5,0.14,21.3,0.0,26.0,26.2,47.8,31.3,29.6,51.0,10.8,968.0,698,9.7,-3.5,24.0,916,621.0,1.16,E,arenoso
PAR000032,6.2,2.4,1.53,25,20.0,189,1897,281.0,11.9,0.58,,4.8,24.4,28.0,47.6,36.0,29.2,76.0,3.5,340.0,721,17.9,6.4,36.2,1652,997.0,0.69,N,calcareo
PAR000033,6.8,3.2,,23,21.0,207,2257,304.0,18.8,1.09,21.8,5.5,19.1,45.7,35.2,31.9,25.9,51.0,4.7,374.0,635,18.0,4.8,34.0,1725,983.0,0.64,N,calcareo
PAR000034,5.8,2.8,1.7,32,22.0,161,1756,299.0,14.0,0.28,21.9,0.0,22.1,37.0,40.9,27.5,21.4,71.0,9.8,898.0,633,8.2,-4.0,20.6,1284,535.0,1.21,S,franco
PAR000035,7.1,1.0,0.57,7,9.0,148,1616,145.0,5.2,0.71,11.6,7.0,20.9,59.8,19.3,29.7,16.0,45.0,9.0,479.0,554,15.6,3.4,29.9,1575,911.0,0.57,S,calcareo
PAR000036,6.7,3.1,1.82,27,23.0,218,2403,291.0,23.3,0.63,22.9,7.8,29.1,38.5,,30.8,25.7,120.0,0.0,182.0,704,18.1,8.1,,1796,1073.0,0.65,N,arcilloso
PAR000037,5.2,2.3,1.2,17,11.0,193,1568,181.0,14.6,0.45,18.3,0.0,24.1,43.0,32.9,36.2,26.9,57.0,9.0,761.0,772,11.0,-2.0,23.1,1208,679.0,1.17,S,franco
PAR000038,7.9,2.2,1.27,10,12.0,146,1822,188.0,,1.62,19.9,19.0,20.0,35.4,,30.5,23.5,43.0,1.9,231.0,576,18.5,7.9,35.1,1884,1089.0,0.51,O,arcilloso
PAR000039,6.4,1.4,0.76,7,10.0,164,1534,159.0,6.1,0.45,13.3,7.2,19.9,51.0,29.1,21.7,24.0,51.0,9.6,378.0,356,15.0,4.2,26.7,1421,826.0,0.41,O,calcareo
PAR000040,7.4,2.3,1.24,22,19.0,226,1793,260.0,18.5,0.69,20.8,10.0,24.0,40.4,35.6,27.4,23.0,73.0,2.6,403.0,557,15.1,1.7,30.5,1544,915.0,0.7,O,calcareo
PAR000041,7.8,1.6,0.93,9,14.0,83,1638,164.0,9.9,1.72,,15.1,31.2,14.5,54.3,29.5,25.1,59.0,7.3,357.0,559,20.2,11.0,36.1,2013,1142.0,0.58,E,arcilloso
PAR000042,7.7,2.3,1.38,19,16.0,170,1846,279.0,11.0,1.46,,17.7,30.2,25.3,,28.2,27.7,39.0,7.5,277.0,451,19.5,8.2,,1779,1063.0,0.42,E,franco
PAR000043,7.8,3.0,1.71,28,22.0,226,1977,211.0,,1.95,22.3,19.5,21.3,40.2,38.5,23.8,28.0,75.0,8.9,349.0,583,19.0,8.2,35.8,1594,,0.63,O,calcareo
PAR000044,7.7,2.2,1.38,21,18.0,129,2150,192.0,3.7,1.25,20.2,16.1,22.8,39.4,37.8,24.7,21.7,59.0,1.2,385.0,431,18.3,7.4,34.6,2200,980.0,0.39,E,franco
PAR000045,6.6,0.5,0.25,8,6.0,86,1315,,3.0,0.94,19.0,7.3,28.0,37.9,34.1,25.5,25.3,50.0,4.2,396.0,429,16.5,4.4,30.9,1828,844.0,0.45,E,calcareo
PAR000046,5.9,3.0,1.85,31,26.0,252,1803,242.0,21.2,0.38,,0.0,,37.3,44.7,36.5,24.4,,20.5,,855,10.6,-4.3,25.7,1264,606.0,1.33,O,arenoso
PAR000047,7.0,2.2,1.25,24,,157,1268,215.0,15.1,0.63,17.9,8.2,16.5,80.5,3.0,27.2,21.0,57.0,8.7,433.0,501,15.0,3.0,28.5,1617,862.0,0.56,N,arenoso
PAR000048,5.6,2.7,1.73,27,25.0,221,1546,342.0,13.5,0.15,21.6,0.0,30.0,56.4,13.6,30.9,25.6,57.0,15.6,982.0,585,8.3,-4.6,20.9,1036,600.0,1.07,S,arenoso
PAR000049,8.1,2.0,1.23,21,,147,2433,303.0,9.8,1.92,20.5,16.9,29.7,33.0,37.3,24.0,25.3,81.0,0.0,146.0,362,18.4,7.9,34.3,1909,1010.0,0.38,N,arcilloso
PAR000050,5.6,1.3,0.84,15,20.0,97,1330,192.0,15.3,0.1,,0.0,30.7,13.0,56.3,35.6,30.9,52.0,7.4,804.0,758,10.2,-3.2,22.8,1464,676.0,1.12,O,franco
PAR000051,7.8,0.9,0.48,11,,126,2214,157.0,2.0,1.72,18.0,17.2,26.5,45.4,28.1,20.7,21.0,44.0,9.1,71.0,377,20.4,8.9,37.5,2097,1113.0,0.32,E,franco
PAR000052,6.9,2.1,1.2,21,19.0,186,1357,118.0,17.2,0.55,16.9,6.2,13.3,76.3,10.4,27.1,24.7,68.0,12.4,367.0,502,17.1,4.8,34.3,1716,976.0,0.51,N,calcareo
PAR000053,6.8,4.1,2.56,39,32.0,249,2391,262.0,15.2,0.68,29.8,5.5,30.3,25.5,,36.6,25.0,86.0,,276.0,643,18.4,6.5,34.8,1743,1071.0,0.48,N,arenoso
PAR000054,7.9,1.4,0.78,12,12.0,106,1397,157.0,6.2,1.44,21.0,20.4,33.2,23.4,43.4,26.9,27.1,,9.7,220.0,413,18.6,7.5,35.6,2019,1030.0,0.47,O,arcilloso
PAR000055,5.5,2.2,1.2,22,19.0,220,1623,184.0,7.3,0.65,22.3,0.0,35.4,14.7,49.9,37.5,35.2,48.0,3.0,1136.0,850,7.1,-5.6,20.3,1062,,1.59,E,arcilloso
PAR000056,7.0,3.7,2.19,38,28.0,243,2031,343.0,18.9,0.61,23.4,8.1,25.7,52.9,,28.5,25.1,100.0,,577.0,656,15.0,4.2,32.1,1690,836.0,0.83,S,calcareo
PAR000057,5.6,2.5,1.42,25,21.0,204,1517,207.0,12.5,0.46,25.8,1.0,33.7,31.7,34.6,32.3,30.3,,10.0,900.0,814,11.7,-2.6,24.8,1339,631.0,1.36,S,arenoso
PAR000058,7.4,2.4,1.37,16,16.0,129,1488,195.0,10.6,1.65,21.1,20.3,27.7,36.8,35.5,34.0,28.9,74.0,0.0,183.0,571,20.1,11.7,36.3,2010,1093.0,0.62,N,franco
PAR000059,6.7,2.4,1.48,23,18.0,170,1566,313.0,5.3,0.48,17.6,6.3,18.2,54.7,27.1,28.1,24.7,68.0,7.3,275.0,571,15.2,0.0,29.9,1411,796.0,0.77,S,franco
PAR000060,7.8,1.0,0.67,16,13.0,187,1354,,7.2,1.57,16.7,18.7,23.3,57.9,18.8,23.9,18.2,53.0,9.2,291.0,313,19.0,6.8,32.6,1651,1070.0,0.23,N,calcareo
PAR000061,7.9,1.6,,21,11.0,143,2588,213.0,10.2,1.75,22.0,15.8,35.3,23.4,41.3,20.7,32.2,57.0,0.0,51.0,343,19.3,6.7,34.1,1781,1106.0,0.3,E,arcilloso
PAR000062,7.6,1.8,1.22,9,15.0,102,2014,181.0,12.7,1.61,17.5,17.3,35.6,35.1,29.3,27.1,34.4,31.0,4.7,309.0,538,18.2,6.5,33.4,1769,999.0,0.6,O,arcilloso
PAR000063,6.8,2.8,1.68,25,21.0,219,1817,,16.9,0.52,17.0,4.3,25.6,33.7,40.7,29.7,27.8,63.0,11.1,495.0,583,16.3,6.2,32.1,1824,921.0,0.63,O,arcilloso
PAR000064,7.0,2.5,1.42,17,15.0,120,1721,,9.8,0.88,19.2,9.0,18.0,68.5,13.5,25.4,19.9,70.0,5.2,540.0,363,15.1,4.3,29.9,1532,796.0,0.44,E,franco
PAR000065,6.9,3.8,2.24,34,27.0,246,2813,293.0,,0.7,32.3,1.7,43.5,17.1,39.4,31.0,30.4,116.0,8.0,575.0,701,18.2,7.5,34.9,1753,960.0,0.74,S,franco
PAR000066,6.9,2.2,1.22,20,13.0,107,1390,244.0,15.4,0.68,23.1,5.5,23.5,63.9,12.6,29.2,25.5,76.0,11.1,371.0,441,15.8,4.0,33.1,1782,904.0,0.53,S,calcareo
PAR000067,6.6,2.8,1.6,32,23.0,148,2235,203.0,21.6,0.75,,3.5,30.1,33.5,,33.8,31.6,83.0,7.9,332.0,733,16.3,1.3,29.3,1508,891.0,0.8,O,calcareo
PAR000068,6.8,3.2,1.71,33,24.0,228,2170,,17.4,0.87,26.3,8.7,25.2,36.9,37.9,29.7,25.5,105.0,9.4,353.0,651,16.9,3.7,31.9,1710,973.0,0.7,S,franco
PAR000069,7.0,1.4,0.63,9,11.0,111,1657,202.0,8.5,1.01,13.8,7.6,14.4,49.3,36.3,22.2,22.7,44.0,0.0,598.0,482,17.1,5.7,33.6,1660,,0.42,O,arcilloso
PAR000070,7.1,2.6,1.41,32,15.0,174,2195,187.0,20.9,1.06,19.8,8.4,22.7,46.3,31.0,26.2,27.2,64.0,4.3,447.0,591,16.3,3.2,32.8,1620,888.0,0.71,E,calcareo
PAR000071,7.1,1.7,0.96,20,17.0,103,2471,212.0,16.8,1.11,17.2,7.5,21.0,71.1,7.9,24.2,27.5,69.0,,356.0,463,18.2,5.9,36.0,1712,983.0,0.45,N,arenoso
PAR000072,7.4,1.3,0.67,10,16.0,59,1904,153.0,3.5,1.7,14.1,19.1,23.1,46.4,30.5,24.3,25.0,60.0,6.2,121.0,390,21.7,10.8,37.2,2117,1113.0,0.33,E,arcilloso
PAR000073,7.0,3.5,1.96,34,23.0,214,2306,224.0,14.9,0.72,24.3,7.2,26.7,34.9,38.4,28.3,29.4,70.0,,373.0,587,15.2,2.7,31.0,1582,889.0,0.68,E,arenoso
PAR000074,7.1,3.3,1.84,33,29.0,205,2491,244.0,17.0,0.67,18.4,7.0,16.8,30.2,53.0,28.3,27.2,98.0,0.0,139.0,676,15.2,2.4,30.9,1590,892.0,0.83,O,franco
PAR000075,5.9,3.4,2.05,26,18.0,177,2251,239.0,15.7,0.79,,2.4,25.7,21.1,,28.8,27.0,64.0,6.6,840.0,719,12.9,1.2,28.6,1424,662.0,1.1,S,arenoso
PAR000076,5.3,3.1,1.76,31,27.0,219,1429,316.0,15.7,0.58,26.1,1.8,43.5,25.2,31.3,37.5,34.3,50.0,11.4,817.0,779,10.8,-3.6,23.3,1195,685.0,1.13,N,franco
PAR000077,6.6,3.5,1.97,29,25.0,253,2259,308.0,14.7,0.51,,2.4,33.0,32.8,,28.4,31.5,,5.5,393.0,628,17.9,5.9,33.9,1654,935.0,0.62,E,arenoso
PAR000078,6.1,3.2,1.73,37,29.0,160,1740,263.0,18.0,0.1,24.6,0.0,37.8,5.1,57.1,35.4,30.3,72.0,5.2,970.0,771,9.5,-5.0,24.4,900,563.0,1.36,E,arenoso
PAR000079,7.1,4.0,2.23,42,29.0,200,2062,357.0,,0.6,22.1,7.2,22.4,31.3,46.3,34.7,27.1,110.0,4.4,430.0,703,14.0,1.0,,1262,805.0,0.86,E,franco
PAR000080,6.7,2.0,1.3,20,21.0,183,1826,268.0,12.7,0.51,,7.8,25.4,56.4,18.2,26.6,25.0,59.0,10.4,702.0,559,16.5,5.8,32.8,1751,911.0,0.63,S,franco
PAR000081,6.8,1.2,0.82,14,14.0,108,735,67.0,5.7,0.7,16.6,9.0,21.6,57.5,20.9,26.9,14.8,28.0,,441.0,644,15.1,0.6,,1558,909.0,0.72,E,calcareo
PAR000082,6.7,1.2,0.51,10,14.0,125,1577,168.0,12.9,0.65,19.1,3.1,18.2,60.9,20.9,20.5,15.8,71.0,10.4,430.0,324,16.9,5.9,,1737,972.0,0.36,S,arenoso
PAR000083,5.4,2.4,1.22,23,20.0,171,1407,280.0,22.4,0.44,,0.0,39.5,13.1,47.4,31.9,26.7,55.0,8.9,1236.0,614,7.5,-7.7,20.0,1095,514.0,1.04,N,arenoso
PAR000084,5.8,3.4,1.86,34,26.0,210,1932,207.0,19.3,0.15,21.8,0.0,27.7,30.8,41.5,38.1,29.5,76.0,,870.0,777,9.1,-2.5,22.9,1256,540.0,1.37,S,franco
PAR000085,6.6,1.8,1.16,18,19.0,102,1738,163.0,9.5,0.84,16.9,7.0,23.0,40.4,36.6,30.6,20.9,43.0,9.9,511.0,566,15.6,3.0,29.5,1394,960.0,0.66,S,franco
PAR000086,5.8,3.6,2.05,35,28.0,198,1597,269.0,17.2,0.46,21.1,0.0,23.9,37.9,38.2,31.7,29.7,70.0,,867.0,662,10.6,-3.4,24.3,1240,674.0,0.9,E,arenoso
PAR000087,7.8,2.8,1.55,19,18.0,200,2197,234.0,10.7,1.74,22.5,16.9,,39.2,38.2,24.6,25.2,92.0,7.1,,494,19.1,9.0,36.3,1795,1015.0,0.5,E,calcareo
PAR000088,5.4,3.2,1.89,30,26.0,226,1109,281.0,24.9,0.11,21.9,0.0,,20.4,49.6,33.5,31.7,42.0,26.6,1103.0,805,9.8,-3.7,23.2,956,602.0,1.3,E,franco
PAR000089,5.7,2.3,1.54,26,,178,1678,289.0,13.8,0.1,21.5,1.6,31.6,25.4,43.0,34.0,31.4,73.0,,1209.0,724,11.4,-0.1,25.6,1448,695.0,1.13,E,arenoso
PAR000090,8.1,1.1,0.6,10,10.0,164,1633,,11.8,1.69,17.7,18.4,16.6,33.9,,27.4,17.2,73.0,0.3,180.0,525,18.5,8.0,35.4,1781,1075.0,0.53,N,arcilloso
PAR000091,6.6,2.3,1.58,16,18.0,146,1584,238.0,17.5,0.93,19.1,10.3,19.3,56.8,23.9,30.4,26.3,38.0,11.3,635.0,472,17.4,4.3,34.0,1888,952.0,0.5,S,calcareo
PAR000092,6.8,3.4,2.2,32,30.0,208,2241,297.0,21.2,0.75,23.2,6.9,24.3,41.5,34.2,27.3,24.3,105.0,9.2,322.0,625,16.4,2.2,31.6,1408,879.0,0.83,S,arcilloso
PAR000093,5.9,2.9,1.76,22,22.0,208,1966,241.0,13.0,0.45,24.4,2.1,31.3,23.4,,30.8,32.8,61.0,11.7,770.0,647,11.3,-0.9,25.2,1131,635.0,0.99,E,arenoso
PAR000094,5.6,2.7,1.6,29,19.0,158,1132,290.0,8.9,0.15,25.1,0.0,34.3,38.3,27.4,37.6,24.9,77.0,18.2,983.0,778,9.1,-5.3,23.2,1039,567.0,1.39,N,arcilloso
PAR000095,7.1,2.1,1.42,27,25.0,182,2180,213.0,,1.17,21.1,4.3,21.0,60.4,18.6,22.6,25.7,80.0,0.0,260.0,329,15.9,5.5,32.8,1521,886.0,0.37,O,franco
PAR000096,7.1,0.8,0.41,17,12.0,151,1779,177.0,10.9,0.84,16.0,4.7,28.1,54.1,17.8,27.4,31.6,92.0,9.0,230.0,423,16.1,3.2,30.3,1836,917.0,0.37,S,franco
PAR000097,7.1,3.0,1.63,29,,208,1950,276.0,,0.79,,3.1,26.4,41.1,32.5,28.3,21.1,80.0,0.8,304.0,594,19.3,9.9,33.7,1999,1088.0,0.58,N,franco
PAR000098,5.4,3.4,2.06,28,30.0,241,1378,299.0,15.8,0.45,26.1,0.0,27.8,30.0,42.2,31.6,28.9,62.0,5.8,823.0,691,11.5,-1.4,24.8,920,650.0,1.03,E,calcareo
PAR000099,5.4,3.5,2.08,28,25.0,235,1211,244.0,14.2,0.15,22.8,0.0,24.7,33.7,41.6,35.4,32.9,72.0,20.4,984.0,770,11.3,-1.1,25.4,1347,695.0,1.01,O,franco
PAR000100,7.3,3.4,2.04,36,23.0,199,2330,238.0,19.8,0.81,27.9,3.2,36.9,8.8,54.3,32.8,35.2,75.0,6.3,188.0,539,17.6,5.6,34.0,1789,891.0,0.6,N,arenoso
PAR000101,7.9,1.5,1.01,18,15.0,159,1743,119.0,9.3,1.6,17.3,15.7,22.5,44.1,33.4,26.7,27.8,51.0,3.7,154.0,530,17.7,7.7,32.4,1658,1025.0,0.47,S,arcilloso
PAR000102,6.6,3.1,1.8,29,,188,2275,177.0,15.0,0.74,,0.0,,24.5,45.4,29.1,28.7,74.0,0.7,,675,19.1,8.0,,1739,1014.0,0.66,O,calcareo
PAR000103,7.6,1.7,0.98,11,8.0,77,2094,171.0,5.3,1.87,14.5,16.7,16.1,49.4,34.5,24.5,17.5,41.0,3.9,154.0,379,18.5,6.1,35.5,1904,1056.0,0.37,O,arcilloso
PAR000104,5.6,3.3,2.18,35,26.0,183,1644,,16.8,0.35,,0.0,33.8,29.1,37.1,28.5,27.0,79.0,,1015.0,582,10.8,-1.6,23.2,1283,636.0,0.95,O,franco
PAR000105,8.0,1.7,1.07,14,14.0,154,1985,168.0,10.5,1.63,17.4,18.3,,33.6,45.3,23.7,29.5,69.0,6.7,489.0,409,15.8,2.9,29.8,1702,864.0,0.54,N,arcilloso
PAR000106,5.6,4.0,2.28,35,36.0,282,2225,280.0,26.1,0.61,28.5,0.6,31.0,49.3,19.7,34.4,26.8,80.0,13.8,930.0,737,8.4,-5.1,21.6,1095,,1.53,O,arcilloso
PAR000107,6.8,4.0,,39,30.0,252,2747,297.0,21.2,1.08,24.4,2.7,,44.0,39.4,29.9,28.7,,4.7,368.0,676,18.0,7.5,36.3,1838,986.0,0.73,E,franco
PAR000108,6.8,1.2,0.44,10,11.0,75,1286,91.0,7.7,1.0,19.7,9.2,28.8,51.1,20.1,34.5,21.1,42.0,3.2,430.0,661,14.2,2.7,29.6,1610,738.0,0.95,N,calcareo
PAR000109,7.0,4.2,2.73,36,28.0,216,2342,289.0,24.5,0.54,24.9,5.2,33.5,31.1,35.4,30.6,31.2,79.0,3.5,318.0,603,16.6,4.5,30.9,1745,913.0,0.62,S,calcareo
PAR000110,7.9,2.1,1.04,23,,183,1913,,12.8,1.44,20.8,16.8,21.1,42.8,36.1,22.3,24.6,56.0,12.0,275.0,381,20.7,10.9,36.6,2098,1147.0,0.27,N,arcilloso
PAR000111,7.0,2.0,1.17,19,19.0,111,1597,256.0,10.0,0.83,,6.3,14.4,47.9,37.7,25.4,22.1,55.0,2.1,520.0,553,18.1,7.9,35.5,1911,1079.0,0.55,E,arcilloso
PAR000112,6.8,3.0,1.6,30,24.0,171,2278,247.0,19.1,0.89,,2.1,33.9,31.0,,33.6,30.7,78.0,8.9,498.0,746,16.7,3.9,31.2,1741,947.0,0.79,E,calcareo
PAR000113,7.7,1.2,0.5,19,13.0,121,1086,93.0,6.6,1.51,19.6,18.1,,55.0,18.3,22.6,17.7,60.0,4.8,26.0,382,20.9,10.0,35.2,1960,1148.0,0.29,E,arcilloso
PAR000114,5.3,2.3,1.36,24,21.0,126,1637,,12.9,0.64,21.8,4.0,33.5,23.1,43.4,29.6,30.1,49.0,22.8,916.0,705,11.0,-3.5,24.6,1373,756.0,0.87,O,arcilloso
PAR000115,7.2,4.2,2.45,43,31.0,266,2851,339.0,,1.01,26.2,4.9,28.5,32.6,38.9,28.5,28.7,130.0,7.2,544.0,670,16.5,3.6,27.5,1707,1014.0,0.7,E,arenoso
PAR000116,6.8,3.1,1.59,32,23.0,217,2087,275.0,,1.09,23.3,7.1,23.9,45.4,30.7,29.6,28.3,,8.2,358.0,788,15.0,1.7,30.8,1685,873.0,0.91,O,arcilloso
PAR000117,6.8,3.1,1.63,25,17.0,160,1660,246.0,21.5,0.55,22.9,0.9,25.8,13.4,,35.0,31.2,41.0,12.3,525.0,624,16.0,4.8,32.9,1553,828.0,0.69,O,franco
PAR000118,6.0,2.1,0.93,24,16.0,180,2196,296.0,15.2,0.45,22.6,0.0,32.0,34.5,33.5,33.7,28.4,34.0,13.8,,577,10.9,-1.7,24.2,1413,691.0,0.84,S,franco
PAR000119,7.1,2.0,1.17,20,18.0,137,1308,244.0,9.0,0.45,15.6,5.5,21.0,58.0,21.0,23.7,22.1,78.0,10.3,685.0,446,15.7,2.5,31.1,1705,924.0,0.49,O,arcilloso
PAR000120,5.8,3.3,1.96,29,21.0,224,1880,243.0,,0.56,28.4,0.0,39.4,10.7,49.9,33.2,31.7,49.0,16.6,896.0,697,10.2,-2.0,23.0,1270,627.0,1.0,O,franco
PAR000121,6.9,3.0,1.71,29,29.0,264,1716,,19.2,0.75,24.0,4.1,33.7,27.0,39.3,25.0,32.0,72.0,2.2,583.0,467,15.4,3.9,28.2,1555,881.0,0.43,N,franco
