id_hogar,ingreso_mensual_eur,ingreso_principal_eur,ingreso_secundario_eur,ratio_gasto_ingreso,gasto_mensual_eur,gasto_vivienda_pct,gasto_alimentacion_pct,gasto_suministros_pct,gasto_transporte_pct,gasto_ocio_pct,gasto_educacion_pct,gasto_salud_pct,ahorro_pct,ahorro_acumulado_eur,deuda_eur,deuda_consumo_eur,cuota_deuda_mensual_eur,ratio_endeudamiento_pct,num_miembros,num_perceptores,num_menores,edad_sustentador,num_tarjetas,num_productos_bancarios,antiguedad_cliente_anos,patrimonio_neto_eur,regimen_vivienda,nivel_estudios,situacion_laboral
HOG000020,3507,2704.0,803.0,0.84,2934,27.2,21.6,13.3,15.3,15.6,3.6,3.4,17.5,42963.0,,4808.0,393.0,11.2,2,1,0,,1,5.0,15.1,64012.0,alquiler,superior,jubilado
HOG000021,2469,1727.0,742.0,1.06,2606,25.8,25.9,16.8,10.0,9.2,7.0,5.3,0.0,26749.0,23303.0,11038.0,692.0,28.0,4,1,2,53.0,3,3.0,32.7,10033.0,propiedad,basico,ocupado
HOG000022,2624,1612.0,1012.0,0.92,2422,26.2,21.8,9.5,17.7,12.7,6.8,5.3,12.4,19085.0,23706.0,14467.0,652.0,24.8,4,1,1,36.0,3,2.0,4.1,5721.0,alquiler,superior,ocupado
HOG000023,2311,1575.0,,1.01,2341,27.1,22.5,13.0,17.1,7.1,5.3,8.0,0.0,6233.0,5916.0,2265.0,70.0,3.0,5,1,2,45.0,1,1.0,6.4,-4887.0,hipoteca,medio,ocupado
HOG000024,1779,943.0,836.0,1.12,1984,57.4,23.5,11.2,5.2,0.6,1.9,0.1,0.0,0.0,12743.0,,400.0,22.5,3,1,0,42.0,1,2.0,14.0,-18031.0,alquiler,medio,jubilado
HOG000025,3494,2749.0,745.0,1.03,3610,38.4,16.8,15.6,16.3,8.0,1.8,3.1,0.0,27808.0,30523.0,20229.0,862.0,24.7,5,1,2,53.0,4,7.0,6.1,16612.0,propiedad,superior,ocupado
HOG000026,5683,3966.0,1717.0,,4492,21.3,19.0,10.5,10.1,26.6,7.1,5.4,16.0,101684.0,3061.0,2154.0,101.0,1.8,3,1,0,37.0,6,6.0,0.0,385315.0,hipoteca,superior,ocupado
HOG000027,4593,3182.0,1411.0,0.64,2961,17.2,18.7,13.9,12.9,20.2,5.7,11.3,33.2,89538.0,,0.0,0.0,0.0,1,2,0,43.0,5,9.0,5.8,360904.0,hipoteca,superior,jubilado
HOG000028,2638,2355.0,283.0,0.97,2562,36.6,23.4,11.4,10.9,11.9,1.2,4.5,2.5,19983.0,27639.0,15056.0,829.0,31.4,3,2,0,32.0,1,6.0,,38726.0,propiedad,medio,jubilado
HOG000029,5885,3713.0,2172.0,0.83,4859,31.1,10.8,10.9,17.9,22.4,2.5,4.4,15.6,84450.0,4029.0,0.0,47.0,0.8,2,1,1,54.0,3,8.0,11.4,357894.0,hipoteca,superior,jubilado
HOG000030,1978,1059.0,919.0,1.02,2016,43.9,23.0,9.7,5.3,3.7,6.4,8.0,0.0,,17486.0,,411.0,20.8,4,1,1,44.0,1,1.0,19.8,-18398.0,alquiler,medio,jubilado
HOG000031,1464,709.0,755.0,,1735,45.0,22.0,10.4,12.0,1.1,4.2,5.2,0.0,0.0,18301.0,6782.0,524.0,35.8,3,2,0,58.0,2,0.0,15.6,-30000.0,alquiler,medio,parado
HOG000032,1474,970.0,504.0,1.16,1716,37.4,29.5,14.1,6.3,3.1,7.5,,0.0,0.0,24131.0,11272.0,759.0,51.4,4,1,1,65.0,2,0.0,8.9,-8700.0,propiedad,medio,ocupado
HOG000033,2851,2368.0,483.0,0.96,2738,29.5,23.6,14.3,11.6,9.5,3.6,8.0,2.5,24673.0,11053.0,5110.0,426.0,14.9,3,1,1,,1,4.0,1.6,46955.0,hipoteca,superior,jubilado
HOG000034,3762,3009.0,753.0,0.88,3316,26.0,24.8,12.7,12.2,14.2,2.8,7.3,9.0,29787.0,19712.0,8922.0,635.0,16.9,4,1,1,72.0,3,4.0,9.4,65904.0,alquiler,basico,ocupado
HOG000035,3761,2709.0,1052.0,0.71,2684,27.4,9.3,10.3,10.4,26.9,6.6,9.1,28.7,82587.0,5805.0,2022.0,244.0,6.5,2,1,0,35.0,4,7.0,1.0,248576.0,propiedad,superior,parado
HOG000036,5444,,1326.0,0.75,4099,23.5,13.2,16.6,9.9,24.8,2.3,9.5,26.9,89867.0,0.0,445.0,0.0,0.0,2,1,0,38.0,3,10.0,11.1,354290.0,hipoteca,basico,parado
HOG000037,839,686.0,153.0,1.0,841,53.5,25.2,6.8,9.1,1.0,2.8,1.7,2.6,0.0,8299.0,3890.0,128.0,15.3,2,1,0,35.0,0,0.0,3.9,-30000.0,alquiler,superior,ocupado
HOG000038,1348,551.0,797.0,1.14,1540,45.4,26.8,6.3,13.1,3.0,1.4,4.1,0.0,0.0,13211.0,6626.0,385.0,28.5,3,1,0,35.0,1,2.0,12.9,-11810.0,propiedad,basico,ocupado
HOG000039,5580,4313.0,1267.0,,4145,18.2,17.7,16.6,15.3,20.3,7.2,4.7,20.2,,0.0,2102.0,0.0,0.0,2,1,0,36.0,4,10.0,15.4,401117.0,propiedad,superior,jubilado
HOG000040,1836,980.0,856.0,1.13,2068,46.6,28.7,10.3,5.6,0.0,4.7,3.9,0.0,0.0,18829.0,,,32.8,2,1,0,69.0,0,,35.2,15783.0,alquiler,basico,ocupado
HOG000041,2440,1642.0,798.0,0.92,2244,32.2,23.1,13.9,8.7,6.4,7.7,8.0,7.8,4489.0,8456.0,4622.0,149.0,6.1,3,2,1,52.0,2,4.0,27.6,17547.0,alquiler,superior,ocupado
HOG000042,3039,2179.0,860.0,1.01,3070,28.9,19.1,12.7,16.2,13.0,5.0,5.0,0.0,13227.0,3247.0,1398.0,202.0,6.6,4,2,1,47.0,1,4.0,,9036.0,alquiler,superior,parado
HOG000043,2572,2042.0,530.0,0.95,2440,25.4,23.0,17.4,9.6,19.0,3.0,2.5,7.5,18097.0,29681.0,16825.0,919.0,35.7,4,2,1,38.0,2,3.0,8.3,8412.0,propiedad,medio,ocupado
HOG000044,5392,3545.0,1847.0,0.88,4734,17.0,23.0,13.6,8.5,14.8,9.1,14.1,14.9,98938.0,912.0,2768.0,15.0,0.3,2,2,1,47.0,4,7.0,19.5,363144.0,hipoteca,medio,parado
HOG000045,2872,2199.0,673.0,1.02,2927,24.8,26.2,18.8,8.6,10.9,3.4,7.3,0.3,30780.0,15860.0,10070.0,531.0,18.5,5,1,1,44.0,4,6.0,7.0,72128.0,hipoteca,superior,parado
HOG000046,4874,3560.0,1314.0,0.9,4376,16.8,24.8,19.0,9.7,16.3,3.6,9.8,8.6,41330.0,6667.0,1948.0,154.0,3.2,4,1,0,47.0,3,5.0,0.0,101877.0,hipoteca,medio,ocupado
HOG000047,4045,3087.0,958.0,0.9,3621,18.4,20.3,15.4,11.5,19.3,2.8,12.2,10.4,46819.0,3351.0,215.0,55.0,1.4,1,1,0,51.0,4,5.0,11.4,188226.0,hipoteca,medio,jubilado
HOG000048,4238,3107.0,1131.0,0.86,3647,13.6,15.4,21.0,15.6,23.6,6.1,4.6,9.7,78498.0,8788.0,3346.0,331.0,7.8,3,2,0,24.0,3,9.0,5.2,264252.0,alquiler,superior,ocupado
HOG000049,1533,559.0,974.0,1.06,1626,49.0,23.5,12.1,7.3,5.1,1.8,1.2,0.0,0.0,9015.0,,283.0,18.4,4,2,3,54.0,2,1.0,0.0,12625.0,alquiler,medio,jubilado
HOG000050,3088,2702.0,386.0,0.86,2663,35.3,17.6,8.3,11.8,18.2,8.1,0.7,12.0,50692.0,5349.0,6841.0,246.0,7.9,2,1,0,53.0,4,4.0,14.1,155424.0,hipoteca,basico,inactivo
HOG000051,2505,1920.0,585.0,1.01,2532,30.9,19.6,14.7,10.9,12.5,4.5,6.9,0.0,37423.0,20363.0,9242.0,622.0,24.8,5,2,2,72.0,3,4.0,12.7,,propiedad,medio,ocupado
HOG000052,2451,2277.0,174.0,1.02,2503,33.8,19.3,11.5,8.2,15.2,4.1,8.0,0.0,8076.0,21203.0,11681.0,577.0,23.5,4,1,1,61.0,3,5.0,9.9,5040.0,propiedad,basico,ocupado
HOG000053,5741,3934.0,1807.0,0.75,4329,19.5,11.9,14.1,11.4,25.6,8.5,9.0,29.4,97979.0,7870.0,3356.0,232.0,4.0,2,2,0,44.0,4,9.0,6.5,376413.0,hipoteca,superior,ocupado
HOG000054,2582,1991.0,591.0,0.83,2136,28.8,24.1,11.0,11.7,16.7,1.2,6.5,19.4,23622.0,3613.0,1490.0,96.0,3.7,4,1,0,70.0,1,6.0,11.2,,propiedad,medio,parado
HOG000055,2264,1111.0,1153.0,1.09,2459,46.1,25.6,11.0,7.2,3.7,3.6,2.8,0.0,0.0,20778.0,9111.0,661.0,29.2,3,1,1,53.0,2,,4.4,-26839.0,hipoteca,medio,jubilado
HOG000056,5514,4234.0,1280.0,0.74,4078,28.4,20.2,8.4,10.5,21.7,2.5,8.3,24.7,69717.0,443.0,476.0,37.0,0.7,2,1,0,20.0,3,6.0,20.7,293744.0,hipoteca,superior,ocupado
HOG000057,3111,1973.0,1138.0,0.96,2977,30.1,30.1,10.8,13.3,6.0,3.1,6.6,8.3,0.0,17458.0,8145.0,599.0,19.3,4,1,1,35.0,2,2.0,5.9,27267.0,alquiler,medio,jubilado
HOG000058,5126,3923.0,1203.0,0.87,4476,31.9,11.9,18.2,7.4,20.6,2.7,7.3,17.3,73253.0,4631.0,1756.0,108.0,2.1,2,2,1,42.0,5,6.0,,313197.0,alquiler,superior,jubilado
HOG000059,3611,2504.0,1107.0,0.95,3413,36.3,24.2,14.5,11.7,6.8,0.0,6.5,6.9,14105.0,18050.0,,617.0,17.1,4,1,1,83.0,3,1.0,12.0,-15096.0,hipoteca,basico,parado
HOG000060,1642,1172.0,470.0,1.13,1862,44.6,26.9,11.6,10.4,2.7,0.4,3.5,0.0,0.0,12391.0,4771.0,280.0,17.1,3,1,0,49.0,0,1.0,28.3,-24629.0,hipoteca,basico,parado
HOG000061,1809,1051.0,758.0,1.06,1925,51.1,22.0,9.9,6.2,4.5,3.7,2.6,0.0,0.0,10608.0,,331.0,18.3,2,2,1,56.0,0,2.0,8.6,-30000.0,alquiler,medio,jubilado
HOG000062,4946,3342.0,1604.0,0.71,3527,22.7,18.5,9.5,8.5,18.4,14.9,7.6,33.4,79206.0,6275.0,425.0,153.0,3.1,3,2,1,,4,6.0,2.3,301441.0,propiedad,medio,ocupado
HOG000063,1513,500.0,1013.0,1.17,1763,47.8,21.5,10.7,8.9,0.0,6.2,4.9,0.0,0.0,17569.0,7829.0,551.0,36.4,3,1,0,40.0,0,3.0,9.5,-30000.0,propiedad,basico,ocupado
HOG000064,2782,1818.0,964.0,0.92,2557,33.2,22.9,12.5,7.2,10.5,8.9,4.9,10.8,1344.0,13622.0,6184.0,439.0,15.8,4,1,2,32.0,2,4.0,,-20586.0,alquiler,medio,ocupado
HOG000065,4029,3107.0,922.0,0.76,3061,15.7,19.5,20.7,9.0,23.1,7.9,4.2,21.9,40597.0,3782.0,3006.0,217.0,5.4,1,1,0,34.0,3,8.0,0.0,203281.0,hipoteca,medio,ocupado
HOG000066,3094,2335.0,759.0,0.92,2840,33.1,27.0,11.0,9.6,11.3,4.4,3.8,7.8,30335.0,7125.0,2260.0,76.0,2.4,3,2,0,65.0,1,3.0,23.1,14864.0,propiedad,medio,ocupado
HOG000067,3061,2355.0,706.0,0.96,2928,29.3,32.8,9.3,9.7,12.8,3.0,3.1,4.9,30889.0,23430.0,12514.0,739.0,24.1,4,1,1,50.0,3,5.0,19.3,64380.0,alquiler,medio,inactivo
HOG000068,2454,1674.0,780.0,1.05,2569,32.1,26.3,9.7,10.0,4.9,7.1,9.9,0.0,0.0,7001.0,4474.0,207.0,8.4,3,2,0,35.0,2,,17.3,-363.0,alquiler,superior,ocupado
HOG000069,3912,2501.0,1411.0,1.05,4113,33.5,17.9,19.2,10.5,10.2,5.9,,0.0,25643.0,26236.0,16516.0,653.0,16.7,3,2,0,,2,6.0,11.3,46047.0,alquiler,basico,ocupado
HOG000070,2431,1534.0,897.0,1.19,2888,41.4,24.1,10.7,9.2,7.0,2.6,5.0,0.0,1209.0,,17137.0,850.0,35.0,4,1,1,53.0,2,2.0,0.3,-22144.0,propiedad,medio,ocupado
HOG000071,1562,864.0,698.0,1.0,1561,49.3,23.3,12.1,6.4,0.6,2.9,5.3,0.0,0.0,16215.0,,434.0,27.8,2,1,0,57.0,0,2.0,13.4,-14817.0,alquiler,basico,parado
HOG000072,2983,2362.0,621.0,1.08,3220,36.0,22.2,12.5,14.3,9.7,0.0,5.5,0.0,0.0,23224.0,12785.0,,19.2,3,1,0,56.0,1,1.0,20.9,-30000.0,alquiler,medio,parado
HOG000073,3128,2510.0,618.0,1.09,3404,33.9,17.1,15.8,18.2,9.5,3.1,2.4,0.0,26093.0,23603.0,12264.0,818.0,26.1,5,1,3,66.0,3,4.0,0.2,29615.0,propiedad,superior,ocupado
HOG000074,3715,2890.0,825.0,0.97,3601,34.1,24.8,11.2,10.2,11.4,5.2,3.0,3.2,29624.0,25972.0,15313.0,855.0,23.0,4,2,1,56.0,3,5.0,11.3,121448.0,hipoteca,basico,ocupado
HOG000075,4684,,1424.0,0.81,3806,28.4,22.7,12.5,15.7,13.6,6.8,0.3,21.3,75241.0,7607.0,1704.0,300.0,6.4,2,1,0,58.0,4,8.0,22.3,281822.0,propiedad,medio,ocupado
HOG000076,5654,4144.0,1510.0,0.73,4154,18.0,22.6,15.2,17.5,18.3,4.3,4.1,28.5,,0.0,,0.0,0.0,3,3,0,,4,6.0,3.5,354547.0,propiedad,superior,ocupado
HOG000077,4584,2911.0,1673.0,0.82,3747,27.5,15.1,11.5,13.5,16.0,10.5,5.9,21.4,84060.0,0.0,,0.0,0.0,3,2,1,39.0,4,7.0,14.5,284445.0,propiedad,basico,ocupado
HOG000078,5007,3939.0,1068.0,0.77,3872,10.0,21.2,10.4,16.8,33.0,6.6,2.1,23.1,110412.0,0.0,0.0,0.0,0.0,2,2,0,55.0,5,7.0,5.1,441790.0,hipoteca,medio,ocupado
HOG000079,2618,1593.0,1025.0,1.05,2744,32.4,24.0,13.3,12.2,5.5,5.8,6.8,0.0,0.0,23314.0,12824.0,703.0,26.8,3,2,1,55.0,2,3.0,,-30000.0,alquiler,basico,ocupado
HOG000080,3194,2591.0,603.0,1.09,3489,28.8,24.4,14.7,12.7,11.0,4.8,3.5,0.0,,24697.0,12679.0,700.0,21.9,3,2,1,57.0,3,4.0,11.7,873.0,propiedad,basico,ocupado
HOG000081,4977,3445.0,1532.0,0.91,4520,21.8,15.2,18.0,13.3,23.7,6.0,2.0,10.5,82255.0,7958.0,0.0,250.0,5.0,1,2,0,70.0,4,7.0,23.7,328419.0,propiedad,superior,ocupado
HOG000082,1164,500.0,664.0,1.08,1263,49.5,26.2,9.1,7.0,0.0,4.9,3.3,0.0,0.0,16305.0,,414.0,35.6,3,1,1,45.0,1,1.0,19.2,-14503.0,propiedad,medio,inactivo
HOG000083,4771,3196.0,1575.0,0.8,3797,17.8,19.8,11.3,15.4,21.8,9.7,4.2,22.6,84198.0,3709.0,546.0,183.0,3.8,1,1,0,44.0,5,11.0,16.7,319367.0,hipoteca,medio,ocupado
HOG000084,1481,500.0,981.0,1.2,1777,49.4,27.6,8.8,9.9,0.0,0.0,4.3,0.0,0.0,18029.0,11194.0,449.0,30.3,2,1,1,42.0,1,1.0,12.7,-385.0,alquiler,medio,inactivo
HOG000085,5213,3517.0,1696.0,0.79,4095,21.9,15.5,11.5,9.3,20.6,10.7,,24.5,76563.0,123.0,,98.0,1.9,2,2,0,22.0,4,5.0,3.9,254365.0,propiedad,medio,jubilado
HOG000086,1630,500.0,1130.0,1.15,1870,50.0,20.6,7.7,7.9,0.0,7.7,6.0,0.0,,17001.0,10177.0,419.0,25.7,3,1,0,20.0,1,0.0,18.9,1218.0,alquiler,medio,parado
HOG000087,1954,1954.0,,0.99,1940,28.3,24.0,13.0,10.6,8.4,10.1,5.8,3.5,808.0,3055.0,,80.0,4.1,3,2,0,44.0,2,3.0,0.2,-8331.0,propiedad,medio,ocupado
HOG000088,5076,3837.0,1239.0,0.8,4039,19.9,16.4,16.2,12.3,20.9,7.7,6.6,21.7,97481.0,0.0,295.0,7.0,0.1,2,2,0,,6,8.0,7.5,356903.0,propiedad,superior,ocupado
HOG000089,3133,2312.0,821.0,1.05,3304,32.9,19.3,14.8,11.7,15.5,0.1,5.6,0.0,46955.0,23637.0,15766.0,695.0,22.2,4,1,1,39.0,1,6.0,0.0,100384.0,alquiler,basico,ocupado
HOG000090,2453,2192.0,261.0,1.0,2447,27.0,22.8,13.1,12.2,10.7,4.9,,0.0,0.0,8822.0,5399.0,381.0,15.5,3,1,1,48.0,2,5.0,19.6,-12093.0,propiedad,basico,jubilado
HOG000091,5645,3736.0,1909.0,0.72,4072,15.7,15.2,18.7,14.1,27.2,1.5,7.6,30.0,90576.0,0.0,801.0,26.0,0.5,2,2,0,43.0,5,9.0,22.0,350471.0,propiedad,superior,ocupado
HOG000092,1609,761.0,848.0,1.1,1762,49.5,19.3,12.7,6.4,0.0,5.9,6.2,0.0,,18533.0,7873.0,552.0,34.3,3,1,1,35.0,1,1.0,7.2,-10985.0,alquiler,basico,inactivo
HOG000093,1723,1193.0,530.0,1.09,1873,40.3,26.9,16.5,11.1,0.7,0.0,4.6,0.0,0.0,,4021.0,231.0,13.4,3,2,1,56.0,2,3.0,23.3,-26788.0,propiedad,medio,ocupado
HOG000094,4626,3370.0,1256.0,0.84,3880,23.9,25.7,17.0,4.5,19.0,6.3,3.7,15.1,78760.0,769.0,1518.0,14.0,0.3,3,2,0,69.0,3,5.0,20.7,287370.0,propiedad,superior,ocupado
HOG000095,2841,2310.0,531.0,0.98,2794,24.9,26.0,8.2,17.7,9.2,12.3,1.8,0.0,11994.0,22361.0,13494.0,657.0,23.1,4,1,1,62.0,1,3.0,22.1,-21379.0,alquiler,medio,ocupado
HOG000096,3344,2661.0,683.0,1.05,3514,31.3,23.2,8.0,16.8,12.0,5.6,3.1,0.0,13679.0,22737.0,,580.0,17.3,4,2,2,52.0,1,6.0,11.9,9106.0,hipoteca,superior,ocupado
HOG000097,6016,4149.0,1867.0,0.82,4947,13.6,23.2,11.5,15.3,23.2,6.1,7.2,14.5,86095.0,0.0,1987.0,3.0,0.1,2,1,0,47.0,4,7.0,22.4,333671.0,propiedad,medio,ocupado
HOG000098,2859,2354.0,505.0,,2727,25.9,19.1,11.9,16.2,11.6,6.7,8.6,2.2,18247.0,7919.0,5333.0,319.0,11.2,4,2,0,,2,6.0,11.8,36787.0,alquiler,superior,parado
HOG000099,1695,1473.0,222.0,1.08,1832,44.4,21.9,12.3,7.4,1.0,8.4,4.6,0.0,0.0,15240.0,7427.0,453.0,26.7,2,1,0,64.0,1,1.0,13.2,-12503.0,alquiler,basico,ocupado
HOG000100,3796,2595.0,1201.0,0.93,3541,31.2,16.5,15.4,15.2,13.8,5.2,2.7,6.2,,10741.0,5039.0,288.0,7.6,2,1,0,58.0,2,3.0,23.2,13460.0,alquiler,basico,ocupado
HOG000101,3459,2390.0,1069.0,0.87,2994,37.2,15.9,18.5,12.8,10.1,0.3,5.2,14.8,14567.0,10685.0,3050.0,303.0,8.8,3,1,0,39.0,1,4.0,6.8,33039.0,alquiler,basico,ocupado
HOG000102,2917,2038.0,879.0,1.02,2989,30.2,30.2,14.0,7.2,5.2,11.6,1.7,1.4,7913.0,18052.0,9172.0,620.0,21.3,5,1,3,48.0,1,5.0,15.7,-1620.0,propiedad,medio,jubilado
HOG000103,1779,872.0,907.0,1.07,1911,49.0,18.9,9.6,8.6,2.7,5.4,5.8,0.0,0.0,21711.0,12816.0,637.0,35.8,4,1,1,60.0,1,5.0,0.2,-30000.0,hipoteca,basico,parado
HOG000104,4441,3237.0,1204.0,0.8,3546,20.6,23.4,13.4,16.6,19.2,3.3,3.5,18.2,71283.0,1943.0,0.0,118.0,2.7,1,2,0,54.0,6,8.0,27.8,271800.0,alquiler,superior,jubilado
HOG000105,4398,3090.0,1308.0,0.76,3343,22.5,27.0,10.5,13.1,12.9,6.7,7.3,25.5,66592.0,,0.0,39.0,0.9,1,2,0,57.0,3,6.0,14.8,229420.0,hipoteca,medio,inactivo
HOG000106,5085,3618.0,,0.78,3946,17.6,24.1,9.0,14.7,23.8,4.3,6.5,30.7,81525.0,,225.0,19.0,0.4,3,3,1,58.0,4,5.0,21.3,323509.0,propiedad,basico,jubilado
HOG000107,3212,2524.0,688.0,1.08,3455,34.5,25.0,14.0,10.7,5.2,6.0,4.6,0.0,16972.0,20024.0,13974.0,659.0,20.5,3,1,1,63.0,3,3.0,7.6,14796.0,propiedad,basico,ocupado
HOG000108,3944,2323.0,1621.0,1.02,4035,26.3,20.7,16.7,15.5,8.2,7.6,5.0,0.0,9918.0,28005.0,14132.0,795.0,20.2,3,1,1,44.0,3,5.0,14.1,-23578.0,propiedad,superior,ocupado
HOG000109,3085,2261.0,824.0,0.88,2715,25.4,25.1,12.2,9.7,14.2,4.3,9.0,7.6,15886.0,10518.0,,,9.6,3,2,0,42.0,2,5.0,9.4,29540.0,alquiler,medio,inactivo
HOG000110,2224,1572.0,652.0,0.87,1927,31.9,20.6,11.2,17.2,12.1,1.2,5.8,19.1,1118.0,7466.0,3337.0,320.0,14.4,4,1,2,53.0,4,,,-29898.0,hipoteca,medio,ocupado
HOG000111,4854,3411.0,1443.0,0.87,4239,23.2,12.9,19.1,16.8,18.9,5.8,3.4,11.6,71096.0,9265.0,2332.0,357.0,7.4,1,1,0,39.0,3,7.0,,288832.0,propiedad,superior,parado
HOG000112,3270,2469.0,801.0,,2773,38.8,17.4,12.2,8.1,11.4,3.1,9.0,18.7,29979.0,,2870.0,246.0,7.5,2,1,0,45.0,2,6.0,,53760.0,hipoteca,medio,ocupado
HOG000113,4669,3110.0,1559.0,0.84,3925,11.1,13.9,18.5,11.0,23.2,10.0,12.3,15.7,55916.0,2915.0,0.0,0.0,0.0,1,1,1,45.0,4,7.0,9.0,227503.0,propiedad,medio,ocupado
HOG000114,2915,,553.0,1.11,3246,34.5,11.7,13.7,11.7,12.3,8.3,7.8,0.0,37124.0,23813.0,13201.0,762.0,26.1,4,2,1,35.0,2,4.0,11.0,113308.0,propiedad,medio,ocupado
HOG000115,5756,3695.0,2061.0,0.85,4917,30.8,23.8,4.8,13.9,22.9,1.5,2.3,16.3,91166.0,741.0,2215.0,45.0,0.8,2,2,1,28.0,4,9.0,18.5,349155.0,propiedad,superior,ocupado
