id_zona,materia_organica_pct,nitrogeno_ppm,fosforo_ppm,potasio_ppm,ph_suelo,cic,profundidad_suelo_cm,humedad_suelo_pct,agua_disponible_mm,precipitacion_campana_mm,temp_media_campana_c,pendiente_pct,ndvi_medio,ndvi_max,tipo_suelo,sistema_riego,variedad,clase_productividad
ZON000040,3.2,37.0,28,279,7.5,23.8,93.0,23.1,109,277.0,18.1,5.4,0.58,0.73,franco,goteo,mejorada,alta
ZON000041,5.6,63.0,49,369,6.8,29.5,133.0,,232,,17.1,13.7,0.92,0.98,franco,aspersion,mejorada,muy_alta
ZON000042,3.0,34.0,26,231,,18.8,88.0,31.6,156,466.0,20.7,10.4,0.71,0.85,arenoso,goteo,tradicional,media
ZON000043,2.8,37.0,34,223,6.9,18.9,100.0,30.2,223,470.0,18.3,2.2,0.68,0.86,franco,goteo,hibrida,muy_alta
ZON000044,3.0,34.0,27,298,6.5,18.1,82.0,31.2,209,532.0,18.3,11.6,,0.62,arenoso,goteo,tradicional,media
ZON000045,2.8,27.0,23,191,5.6,20.1,90.0,21.8,146,,18.4,4.8,0.61,0.78,franco,aspersion,hibrida,muy_alta
ZON000046,3.2,32.0,24,195,6.4,19.9,96.0,35.8,217,525.0,18.0,0.7,0.74,0.89,franco,aspersion,tradicional,muy_alta
ZON000047,1.8,20.0,8,185,6.5,10.6,16.0,24.6,120,484.0,14.9,0.0,0.28,0.36,arenoso,goteo,mejorada,baja
ZON000048,2.9,,29,224,6.6,14.3,60.0,17.2,89,462.0,17.1,13.6,,0.72,arcilloso,goteo,mejorada,baja
ZON000049,2.8,37.0,18,217,7.1,22.6,87.0,22.5,125,,14.5,11.8,0.4,0.55,franco,secano,tradicional,baja
ZON000050,2.6,29.0,29,228,6.7,11.9,75.0,28.8,145,517.0,19.2,8.2,0.67,0.85,arcilloso,secano,mejorada,alta
ZON000051,2.6,40.0,23,229,6.6,17.4,83.0,18.8,129,427.0,19.5,13.7,,0.75,franco,goteo,tradicional,media
ZON000052,4.1,33.0,30,278,6.6,19.9,68.0,28.9,204,594.0,15.7,8.0,0.62,0.8,franco,goteo,mejorada,muy_alta
ZON000053,3.4,35.0,26,223,6.8,20.8,113.0,33.4,235,603.0,18.0,10.5,0.65,0.84,franco,aspersion,tradicional,alta
ZON000054,0.7,8.0,6,88,6.5,6.1,31.0,25.6,84,242.0,17.0,11.0,0.3,0.39,arenoso,secano,mejorada,muy_baja
ZON000055,2.9,35.0,21,183,7.1,19.1,60.0,26.5,172,448.0,18.7,12.5,0.71,0.88,franco,secano,tradicional,media
ZON000056,3.2,30.0,18,192,7.0,20.4,53.0,28.3,195,558.0,19.0,3.7,,0.87,franco,secano,mejorada,alta
ZON000057,2.6,41.0,25,265,6.7,22.3,82.0,27.7,184,597.0,16.5,10.0,0.59,0.75,franco,goteo,mejorada,alta
ZON000058,2.1,28.0,20,174,6.9,13.9,48.0,25.0,123,,20.8,8.5,0.38,0.48,calcareo,goteo,mejorada,baja
ZON000059,0.7,16.0,8,120,6.7,7.6,36.0,30.8,188,421.0,18.8,5.5,0.65,0.84,arenoso,goteo,mejorada,media
ZON000060,2.2,29.0,13,134,6.6,18.0,61.0,26.2,87,,22.1,5.5,0.28,0.4,calcareo,aspersion,tradicional,muy_baja
ZON000061,2.1,28.0,20,148,7.4,15.6,70.0,39.1,216,480.0,21.0,11.8,0.6,0.8,calcareo,aspersion,mejorada,media
ZON000062,2.1,22.0,21,198,6.8,16.2,73.0,24.3,176,,18.8,10.5,0.51,0.63,franco,aspersion,hibrida,baja
ZON000063,2.4,33.0,27,254,6.8,18.5,70.0,18.6,113,322.0,21.6,10.3,0.49,0.65,franco,goteo,mejorada,baja
ZON000064,1.1,13.0,14,75,6.1,13.8,22.0,26.6,128,472.0,15.6,7.1,0.41,0.55,arenoso,goteo,hibrida,media
ZON000065,2.8,30.0,15,102,6.3,15.1,64.0,35.9,205,632.0,16.4,8.4,0.52,0.63,arenoso,secano,mejorada,media
ZON000066,2.3,26.0,23,230,,14.5,60.0,32.2,207,565.0,23.9,0.0,0.48,0.7,franco,secano,tradicional,muy_alta
ZON000067,2.0,26.0,19,127,7.0,17.1,55.0,24.7,98,341.0,19.7,12.3,0.25,0.32,franco,secano,hibrida,baja
ZON000068,1.8,15.0,12,141,6.7,11.7,34.0,30.6,178,562.0,20.8,5.1,0.31,0.44,franco,goteo,tradicional,muy_baja
ZON000069,2.9,39.0,24,208,6.4,18.1,103.0,24.9,158,614.0,22.4,6.7,0.59,0.77,arcilloso,secano,mejorada,muy_alta
ZON000070,1.8,16.0,12,105,6.6,16.8,54.0,20.9,126,462.0,20.4,0.0,0.51,0.62,arenoso,goteo,mejorada,media
ZON000071,2.8,33.0,14,214,7.4,18.1,74.0,24.6,159,412.0,19.7,0.0,0.54,0.68,franco,aspersion,hibrida,media
ZON000072,3.9,36.0,31,216,6.6,22.2,101.0,15.0,160,378.0,13.8,6.9,0.53,0.72,franco,aspersion,tradicional,media
ZON000073,3.3,35.0,32,224,6.6,19.4,77.0,28.2,187,591.0,15.6,13.0,0.75,0.96,franco,aspersion,tradicional,alta
ZON000074,3.3,,28,211,6.4,18.9,105.0,32.9,199,481.0,14.5,21.2,,0.81,arenoso,goteo,mejorada,baja
ZON000075,3.9,37.0,22,288,7.1,17.7,85.0,22.5,194,461.0,16.8,1.1,0.61,0.78,franco,goteo,hibrida,muy_alta
ZON000076,3.1,28.0,26,149,6.8,14.7,73.0,30.1,202,503.0,15.2,8.9,0.58,0.73,franco,aspersion,mejorada,media
ZON000077,3.3,35.0,31,203,6.9,17.9,94.0,20.6,138,,20.0,13.1,0.64,0.81,calcareo,goteo,hibrida,media
ZON000078,3.3,31.0,25,207,6.6,17.3,103.0,23.6,162,465.0,18.4,0.0,0.5,0.64,franco,goteo,mejorada,alta
ZON000079,3.7,33.0,29,230,6.9,17.9,72.0,30.5,168,433.0,17.2,8.4,0.62,0.7,arcilloso,secano,hibrida,alta
ZON000080,1.3,17.0,23,143,7.0,15.8,60.0,24.2,134,452.0,19.8,11.1,0.48,0.61,arcilloso,secano,hibrida,baja
ZON000081,2.7,24.0,20,183,6.6,20.9,60.0,26.9,117,416.0,19.7,6.2,0.64,0.88,arcilloso,goteo,mejorada,alta
ZON000082,1.0,19.0,11,144,7.4,11.1,67.0,33.7,207,665.0,13.5,14.9,0.44,0.59,calcareo,goteo,mejorada,baja
ZON000083,3.1,32.0,23,202,6.6,16.8,73.0,30.4,189,458.0,18.0,5.8,0.68,0.84,franco,aspersion,hibrida,muy_alta
ZON000084,2.4,28.0,20,155,6.8,13.9,77.0,21.3,97,268.0,17.5,11.7,0.44,0.59,franco,secano,tradicional,muy_baja
ZON000085,2.2,21.0,17,203,7.0,12.7,73.0,28.5,169,413.0,16.6,23.4,0.56,0.7,arcilloso,goteo,tradicional,media
ZON000086,2.5,,14,129,6.9,15.0,72.0,34.9,166,652.0,13.7,5.1,0.63,0.83,calcareo,aspersion,mejorada,alta
ZON000087,2.3,23.0,19,190,6.8,13.6,58.0,31.2,149,375.0,19.4,3.1,0.51,0.62,franco,goteo,tradicional,media
ZON000088,1.8,20.0,21,115,6.0,11.3,51.0,25.5,164,570.0,18.0,6.7,0.39,0.5,arenoso,secano,tradicional,baja
ZON000089,0.3,17.0,10,129,6.2,13.2,39.0,23.4,142,453.0,15.4,9.2,0.28,0.38,arenoso,secano,mejorada,muy_baja
ZON000090,3.1,36.0,19,238,6.4,15.2,71.0,36.2,230,638.0,16.8,9.7,0.65,0.78,arcilloso,aspersion,hibrida,muy_alta
ZON000091,2.4,35.0,21,187,7.1,17.1,50.0,26.1,164,357.0,14.7,5.8,0.59,0.72,franco,secano,mejorada,media
ZON000092,1.7,10.0,20,160,6.5,13.7,68.0,31.7,188,626.0,15.5,17.9,0.56,0.72,arenoso,goteo,tradicional,baja
ZON000093,3.3,32.0,29,200,6.4,19.4,75.0,24.6,170,533.0,14.6,0.0,0.62,0.78,arcilloso,goteo,mejorada,muy_alta
ZON000094,1.7,24.0,14,134,6.1,9.3,42.0,26.6,178,,14.7,12.5,0.43,0.56,franco,goteo,mejorada,baja
ZON000095,2.1,15.0,20,151,6.4,17.9,37.0,30.3,201,499.0,15.1,0.0,0.49,0.65,arcilloso,goteo,tradicional,alta
ZON000096,1.8,21.0,14,116,7.1,13.1,58.0,21.9,115,312.0,14.4,7.3,0.56,0.66,arenoso,secano,tradicional,baja
ZON000097,3.2,25.0,15,220,6.7,13.5,53.0,,171,559.0,17.4,18.0,0.62,0.81,arcilloso,goteo,hibrida,media
ZON000098,2.6,41.0,27,214,7.6,17.5,83.0,29.4,197,544.0,19.4,4.0,0.77,0.98,franco,aspersion,hibrida,muy_alta
ZON000099,1.0,13.0,20,137,6.7,16.5,50.0,26.7,159,571.0,19.2,0.6,0.4,0.52,arcilloso,aspersion,mejorada,media
ZON000100,2.9,28.0,15,164,6.1,16.5,57.0,20.5,115,287.0,14.5,5.8,0.42,0.56,franco,secano,hibrida,baja
ZON000101,2.7,31.0,22,151,6.0,16.2,87.0,22.2,123,360.0,17.0,1.4,0.59,0.76,arenoso,secano,tradicional,media
ZON000102,1.9,,23,205,6.4,17.6,57.0,31.7,170,515.0,16.0,0.3,0.58,0.78,franco,secano,hibrida,muy_alta
ZON000103,3.0,30.0,32,218,6.4,20.6,78.0,26.8,116,395.0,16.0,8.1,0.59,0.82,franco,secano,mejorada,alta
ZON000104,2.3,23.0,17,177,6.4,14.4,66.0,22.7,158,377.0,21.1,7.8,0.57,0.7,arenoso,secano,mejorada,media
ZON000105,2.9,28.0,24,221,6.9,16.3,91.0,25.2,172,495.0,21.6,12.9,0.72,0.87,arcilloso,secano,hibrida,alta
ZON000106,2.6,30.0,21,196,6.4,17.4,89.0,22.4,93,327.0,12.9,15.0,0.75,0.97,arcilloso,secano,mejorada,media
ZON000107,2.1,23.0,20,112,6.3,17.5,54.0,20.8,86,184.0,18.2,3.9,0.47,0.61,arenoso,secano,mejorada,baja
ZON000108,4.1,50.0,21,264,6.8,25.4,126.0,26.5,191,636.0,16.4,1.4,0.79,0.98,franco,aspersion,tradicional,muy_alta
ZON000109,3.2,36.0,24,227,5.9,18.4,90.0,33.9,204,554.0,20.1,4.1,0.6,0.74,arenoso,secano,tradicional,alta
ZON000110,2.5,29.0,21,150,6.4,17.6,54.0,36.5,202,603.0,19.1,5.8,0.58,0.67,arcilloso,goteo,tradicional,alta
ZON000111,1.6,,15,155,6.4,15.3,54.0,11.9,69,254.0,20.1,0.0,0.51,0.69,arenoso,secano,mejorada,baja
ZON000112,2.8,35.0,21,179,,17.5,57.0,27.6,173,470.0,13.8,4.1,0.63,0.8,calcareo,aspersion,hibrida,muy_alta
ZON000113,2.6,22.0,25,224,6.0,19.3,68.0,,142,525.0,13.3,9.2,0.46,0.64,arenoso,goteo,tradicional,baja
ZON000114,3.5,36.0,23,214,6.0,21.3,95.0,25.5,168,520.0,17.8,23.4,0.66,0.86,franco,aspersion,hibrida,media
ZON000115,2.6,29.0,17,225,6.2,24.4,87.0,25.0,173,,20.8,0.0,0.74,0.97,franco,goteo,tradicional,alta
ZON000116,1.4,24.0,10,127,6.5,13.7,28.0,21.5,88,383.0,19.4,7.8,0.45,0.6,calcareo,secano,hibrida,baja
ZON000117,1.9,21.0,12,98,5.8,14.7,29.0,27.5,112,434.0,13.9,13.4,0.37,0.48,arenoso,aspersion,mejorada,muy_baja
ZON000118,1.4,9.0,10,147,6.4,11.0,53.0,24.4,161,443.0,21.6,8.8,0.42,0.57,arcilloso,secano,tradicional,muy_baja
ZON000119,2.1,25.0,17,124,6.0,16.7,86.0,20.6,133,324.0,20.9,12.0,0.34,0.5,franco,goteo,tradicional,muy_baja
ZON000120,1.1,11.0,16,155,6.5,14.2,42.0,33.8,199,580.0,18.1,8.2,0.54,0.65,arenoso,goteo,hibrida,baja
ZON000121,2.1,22.0,12,157,6.6,15.6,41.0,25.4,126,610.0,15.7,1.2,0.51,0.65,calcareo,secano,mejorada,alta
ZON000122,1.9,22.0,14,139,6.6,12.7,62.0,25.1,133,410.0,18.0,0.0,0.57,0.77,franco,secano,hibrida,media
ZON000123,0.3,20.0,14,126,7.1,9.9,27.0,18.2,172,548.0,20.0,3.4,0.69,0.86,arenoso,goteo,hibrida,media
ZON000124,2.0,19.0,9,147,6.2,11.4,17.0,,79,275.0,16.9,7.2,0.39,0.53,arenoso,secano,tradicional,muy_baja
ZON000125,2.6,39.0,27,191,6.8,18.6,119.0,29.3,174,608.0,17.2,19.7,0.6,0.77,calcareo,goteo,tradicional,media
ZON000126,3.0,28.0,22,169,6.3,18.7,86.0,20.2,168,446.0,19.8,3.6,0.57,0.75,franco,goteo,mejorada,alta
ZON000127,1.2,9.0,5,146,6.9,13.9,61.0,31.7,176,639.0,17.4,7.8,0.49,0.61,calcareo,goteo,mejorada,media
ZON000128,1.8,13.0,24,125,6.6,11.7,69.0,,96,322.0,22.0,12.9,0.51,0.61,calcareo,aspersion,tradicional,muy_baja
ZON000129,2.1,30.0,20,187,6.6,12.8,87.0,29.1,151,,18.7,9.4,0.52,0.64,arcilloso,goteo,hibrida,media
ZON000130,1.4,18.0,17,173,6.1,12.4,50.0,22.7,117,508.0,22.1,17.0,0.5,0.68,franco,goteo,tradicional,baja
ZON000131,0.7,25.0,12,114,6.8,15.8,52.0,26.2,161,650.0,15.7,4.0,0.54,0.67,franco,secano,tradicional,media
ZON000132,2.1,21.0,18,154,6.2,13.4,64.0,20.0,121,318.0,16.8,7.8,0.43,0.57,calcareo,secano,mejorada,baja
ZON000133,5.0,54.0,33,324,6.7,30.2,150.0,17.8,104,231.0,16.7,12.4,0.58,0.75,franco,aspersion,tradicional,media
ZON000134,2.5,31.0,20,249,6.6,16.3,,28.1,196,496.0,18.7,0.9,0.63,0.78,franco,goteo,tradicional,alta
ZON000135,2.2,22.0,24,157,6.5,14.3,59.0,18.4,139,401.0,21.1,9.6,0.45,0.68,arenoso,goteo,mejorada,baja
ZON000136,2.2,,26,246,6.7,16.4,105.0,,175,524.0,15.6,9.2,0.55,0.68,franco,secano,mejorada,media
ZON000137,2.2,22.0,29,224,7.1,14.6,54.0,18.2,101,292.0,14.5,17.2,0.5,0.62,franco,secano,tradicional,media
ZON000138,2.8,36.0,24,265,6.9,17.0,68.0,29.4,172,441.0,16.0,0.0,0.44,0.59,franco,goteo,tradicional,media
ZON000139,2.9,31.0,28,199,6.8,12.7,107.0,28.1,192,544.0,19.4,5.2,0.51,0.72,calcareo,goteo,hibrida,alta
ZON000140,2.3,27.0,20,206,6.1,17.8,59.0,,181,584.0,16.9,14.8,0.71,0.94,arcilloso,aspersion,hibrida,alta
ZON000141,0.6,14.0,14,86,6.0,7.4,15.0,27.6,131,419.0,20.8,10.1,0.56,0.75,arenoso,goteo,hibrida,baja
ZON000142,2.8,30.0,23,161,7.1,15.7,74.0,18.2,81,397.0,17.3,0.0,0.59,0.75,calcareo,secano,mejorada,media
ZON000143,3.3,40.0,30,260,6.8,18.6,87.0,20.5,136,,16.8,5.4,0.79,0.98,arcilloso,goteo,mejorada,muy_alta
ZON000144,1.4,17.0,11,110,6.0,10.9,29.0,23.2,128,352.0,14.5,5.8,0.46,0.58,arenoso,secano,tradicional,muy_baja
ZON000145,2.5,22.0,16,143,6.8,15.2,,30.6,183,422.0,19.7,8.3,0.63,0.79,arcilloso,secano,tradicional,media
ZON000146,2.0,22.0,24,179,7.0,19.8,117.0,24.0,156,381.0,15.5,0.0,0.59,0.75,arenoso,aspersion,mejorada,alta
ZON000147,1.3,3.0,12,73,7.3,5.9,49.0,30.2,191,513.0,19.8,3.2,0.41,0.53,franco,secano,mejorada,muy_baja
ZON000148,1.2,20.0,12,135,,11.5,38.0,23.6,138,,16.1,7.6,0.58,0.74,arenoso,aspersion,mejorada,baja
ZON000149,4.5,43.0,30,241,7.6,18.4,95.0,,176,477.0,18.7,6.8,0.77,0.95,arcilloso,goteo,tradicional,muy_alta
ZON000150,3.9,43.0,37,272,6.4,25.8,120.0,15.6,78,271.0,16.7,19.3,0.48,0.6,franco,secano,tradicional,baja
ZON000151,1.6,,21,211,6.6,13.4,66.0,14.6,107,414.0,14.4,7.8,0.39,0.5,arenoso,secano,tradicional,muy_baja
ZON000152,4.2,30.0,30,266,6.4,17.9,78.0,36.9,244,572.0,18.0,3.2,0.62,0.81,arcilloso,aspersion,mejorada,muy_alta
ZON000153,2.4,28.0,24,174,6.4,14.7,55.0,17.0,92,329.0,20.1,11.4,0.64,0.77,arenoso,aspersion,tradicional,media
ZON000154,2.8,23.0,20,161,6.4,14.3,73.0,20.1,132,,17.2,7.2,0.45,0.6,arenoso,goteo,tradicional,baja
ZON000155,1.3,12.0,14,182,6.3,13.1,37.0,21.2,97,456.0,19.9,8.0,0.55,0.72,arenoso,aspersion,tradicional,baja
ZON000156,2.6,24.0,23,207,6.2,16.5,58.0,25.0,133,432.0,17.0,12.2,,0.67,arenoso,goteo,mejorada,baja
ZON000157,2.3,20.0,17,135,7.0,18.6,81.0,23.3,155,438.0,12.9,21.0,,0.8,franco,secano,mejorada,baja
ZON000158,1.3,21.0,10,96,6.0,9.3,30.0,30.7,186,,23.9,12.0,0.6,0.8,arcilloso,goteo,tradicional,media
ZON000159,1.6,25.0,15,143,7.6,13.8,47.0,27.8,149,456.0,16.9,5.2,0.54,0.71,calcareo,secano,tradicional,baja
ZON000160,1.0,18.0,13,112,6.9,10.8,59.0,21.1,105,359.0,16.7,15.5,0.54,0.66,arenoso,aspersion,tradicional,muy_baja
ZON000161,3.0,24.0,15,196,6.4,16.4,70.0,24.7,122,458.0,17.0,13.6,0.55,0.73,arenoso,secano,tradicional,media
ZON000162,2.6,25.0,18,133,6.4,12.8,74.0,28.8,179,479.0,18.7,5.5,0.6,0.77,arenoso,secano,tradicional,media
ZON000163,2.9,26.0,18,122,6.6,13.6,64.0,28.2,157,398.0,16.0,15.6,0.45,0.57,arcilloso,secano,tradicional,baja
ZON000164,2.6,31.0,14,215,,17.9,88.0,27.6,182,473.0,16.8,0.0,0.56,0.68,arcilloso,secano,tradicional,muy_alta
ZON000165,2.4,29.0,36,250,6.2,17.4,62.0,16.7,86,326.0,21.4,12.7,0.47,0.59,arcilloso,goteo,mejorada,baja
ZON000166,1.7,23.0,14,134,6.9,9.2,62.0,20.3,123,403.0,13.9,0.5,0.46,0.57,franco,goteo,tradicional,baja
ZON000167,2.1,17.0,16,211,7.1,12.1,71.0,33.8,177,533.0,17.8,4.8,0.42,0.54,arcilloso,secano,mejorada,media
ZON000168,2.5,33.0,23,228,6.9,24.5,88.0,31.2,184,562.0,15.3,13.2,0.7,0.89,arcilloso,goteo,mejorada,alta
ZON000169,1.4,17.0,16,106,6.9,11.7,45.0,31.3,200,558.0,17.8,9.0,0.5,0.64,calcareo,goteo,mejorada,media
ZON000170,1.9,10.0,8,119,6.6,9.3,,20.4,95,221.0,16.4,5.8,0.39,0.51,arenoso,secano,hibrida,muy_baja
ZON000171,1.8,21.0,11,130,7.1,13.1,45.0,,251,780.0,17.4,14.2,0.54,0.74,arcilloso,aspersion,hibrida,alta
ZON000172,3.1,34.0,19,214,7.0,17.8,53.0,25.0,159,,22.4,14.7,0.47,0.58,franco,secano,tradicional,media
ZON000173,3.9,41.0,24,294,6.7,20.3,85.0,23.4,94,164.0,18.9,19.1,0.62,0.82,calcareo,secano,hibrida,media
ZON000174,2.2,31.0,20,170,6.0,19.7,74.0,33.1,181,603.0,17.7,2.5,0.42,0.58,arenoso,secano,mejorada,alta
ZON000175,2.1,15.0,19,215,6.3,16.6,59.0,39.4,216,738.0,18.2,16.1,0.66,0.92,arcilloso,aspersion,mejorada,alta
ZON000176,1.7,16.0,22,127,5.8,14.3,37.0,22.4,59,240.0,13.8,3.3,0.45,0.52,arenoso,secano,mejorada,muy_baja
ZON000177,0.9,18.0,14,189,6.9,14.2,47.0,,126,458.0,21.4,16.1,0.49,0.66,arenoso,aspersion,mejorada,baja
ZON000178,2.3,21.0,16,110,6.5,15.7,40.0,18.9,142,480.0,18.8,0.0,0.48,0.65,calcareo,aspersion,mejorada,baja
ZON000179,0.7,13.0,14,110,6.6,16.2,37.0,15.2,123,348.0,20.1,17.1,0.55,0.68,arenoso,secano,hibrida,media
ZON000180,3.9,39.0,25,203,6.0,17.7,54.0,29.2,213,566.0,18.8,0.0,0.77,0.95,franco,goteo,mejorada,muy_alta
ZON000181,2.9,26.0,14,178,6.5,13.6,,,165,391.0,15.3,5.1,0.6,0.72,calcareo,aspersion,hibrida,media
ZON000182,1.9,21.0,24,128,6.7,11.1,54.0,16.8,82,337.0,18.4,7.7,0.36,0.5,calcareo,aspersion,mejorada,muy_baja
ZON000183,2.6,37.0,26,243,6.3,18.4,66.0,27.0,166,544.0,16.8,9.0,0.65,0.79,arcilloso,aspersion,mejorada,alta
ZON000184,2.6,33.0,18,222,6.3,19.2,74.0,10.2,63,222.0,15.4,8.7,0.4,0.49,arenoso,secano,tradicional,muy_baja
ZON000185,2.3,29.0,16,165,6.6,15.5,71.0,25.3,137,319.0,17.0,6.1,0.34,0.53,arcilloso,goteo,tradicional,baja
ZON000186,2.9,33.0,25,221,6.3,13.9,71.0,,132,375.0,21.2,3.8,0.61,0.8,calcareo,aspersion,hibrida,media
ZON000187,4.1,46.0,23,275,6.4,21.2,110.0,29.9,204,459.0,18.7,16.4,0.85,0.98,arcilloso,secano,tradicional,muy_alta
ZON000188,2.7,28.0,18,188,6.5,13.8,92.0,19.7,105,412.0,22.0,11.7,0.59,0.7,franco,secano,mejorada,baja
ZON000189,2.7,36.0,18,221,6.6,15.0,63.0,18.3,113,,17.3,0.0,0.51,0.67,arenoso,aspersion,hibrida,media
