id_especimen,longitud_total_mm,longitud_elitro_mm,anchura_max_mm,anchura_pronoto_mm,anchura_cabeza_mm,altura_cuerpo_mm,longitud_antena_mm,num_segmentos_antena,longitud_pata_anterior_mm,longitud_pata_posterior_mm,longitud_femur_mm,longitud_tibia_mm,longitud_tarso_mm,distancia_interocular_mm,diametro_ojo_mm,longitud_mandibula_mm,num_estrias_elitro,num_puntos_pronoto,longitud_espolon_mm,peso_mg,ratio_largo_ancho,ratio_antena_cuerpo,ratio_pata_cuerpo,area_dorsal_mm2,volumen_estimado_mm3,longitud_ala_mm,envergadura_mm,coloracion
ESP000039,12.41,7.66,6.52,5.32,3.02,4.14,5.84,10.0,5.32,7.72,3.42,3.09,2.38,1.72,0.89,1.51,9,46.0,0.66,76,1.9,0.471,0.622,63.1,167.5,9.96,26.44,negro
ESP000040,19.6,11.93,6.96,5.49,3.96,,8.9,12.0,7.87,11.05,5.23,4.79,2.95,1.86,0.96,1.92,12,71.0,1.1,190,2.82,,0.564,106.4,354.0,15.09,37.14,marron
ESP000041,12.26,7.9,4.91,4.08,2.82,3.99,6.19,8.0,4.98,7.27,3.19,2.98,2.05,1.44,0.71,,10,,0.71,74,2.5,0.505,0.593,47.0,120.1,10.35,25.61,negro
ESP000042,17.78,11.0,5.81,4.8,3.12,5.14,7.66,,7.09,10.77,4.78,4.32,3.26,1.72,0.86,1.78,14,50.0,1.13,193,3.06,0.431,,80.6,,14.78,35.37,metalico
ESP000043,21.38,13.98,8.8,7.03,5.05,5.54,9.85,11.0,8.5,12.22,5.68,5.38,3.47,2.5,1.02,2.36,12,43.0,1.16,270,2.43,0.461,,146.8,521.2,16.62,42.04,metalico
ESP000044,15.81,9.59,7.46,6.0,4.08,5.59,8.21,11.0,6.6,10.11,4.77,4.11,2.82,1.93,1.15,1.82,12,58.0,0.78,148,2.12,0.519,0.639,92.0,329.6,13.12,33.7,negro
ESP000045,,6.74,5.22,4.18,2.68,3.63,6.09,9.0,5.1,7.91,3.39,3.35,2.28,1.52,0.65,1.2,8,45.0,0.48,40,2.06,0.567,0.736,43.7,101.8,9.35,23.92,marron
ESP000046,10.72,6.82,4.99,3.86,,4.03,5.21,8.0,5.08,6.57,3.1,3.08,1.72,1.45,0.7,1.06,8,49.0,0.8,11,2.15,0.486,,41.7,107.8,9.2,23.39,marron
ESP000047,11.74,7.49,6.97,5.47,3.58,3.67,5.76,9.0,5.01,7.64,3.6,3.07,2.1,2.02,0.98,1.3,9,37.0,0.92,120,1.68,0.491,,63.8,150.2,10.28,27.53,metalico
ESP000048,12.72,7.86,7.46,5.46,4.13,4.61,5.76,7.0,4.79,6.78,3.09,2.67,2.04,2.04,1.14,1.42,10,35.0,0.59,69,1.71,0.453,0.533,74.0,218.7,10.55,28.56,negro
ESP000049,18.49,11.28,7.51,6.21,3.77,5.02,8.85,10.0,7.28,10.26,4.86,4.32,2.64,1.99,1.03,2.08,11,61.0,1.02,226,2.46,0.479,0.555,108.3,348.5,15.37,38.25,metalico
ESP000050,11.7,7.53,6.76,5.3,3.66,3.57,5.86,9.0,4.76,6.8,2.76,,1.73,1.68,0.91,1.49,10,23.0,0.57,31,1.73,0.501,0.581,61.7,141.2,9.38,25.52,negro
ESP000051,20.19,12.81,9.41,7.46,5.17,,10.05,,7.63,11.55,5.2,5.01,3.33,2.67,1.42,2.2,9,79.0,0.97,221,2.15,0.498,0.572,148.2,639.3,15.79,40.99,metalico
ESP000052,12.6,7.88,5.91,4.86,3.27,3.96,5.99,8.0,5.59,8.12,3.53,3.5,2.42,1.47,0.85,,8,51.0,0.89,89,2.13,,0.644,58.1,147.4,11.06,28.03,negro
ESP000053,21.97,13.51,8.14,6.7,4.47,6.33,9.25,10.0,8.34,11.66,5.42,,3.15,2.15,1.23,2.44,11,71.0,1.48,230,2.7,0.421,0.531,139.5,566.0,16.56,41.26,marron
ESP000054,12.17,7.57,6.87,5.21,3.97,4.15,6.45,,4.61,7.26,3.64,3.27,1.87,2.18,0.87,1.42,10,45.0,0.47,39,1.77,0.53,0.597,65.2,173.5,8.93,24.73,rojizo
ESP000055,12.24,7.77,7.29,5.98,3.83,3.99,4.59,9.0,5.34,7.77,3.55,3.03,2.15,1.92,0.99,1.32,9,65.0,0.87,82,1.68,0.375,0.635,69.6,178.0,8.42,24.13,marron
ESP000056,13.6,8.56,7.42,6.09,4.11,4.11,5.68,10.0,5.85,7.51,3.25,3.03,2.27,2.0,0.87,1.52,8,50.0,0.65,128,1.83,0.418,0.552,78.7,207.4,11.31,30.04,marron
ESP000057,,7.1,5.93,4.87,3.27,4.05,5.92,8.0,5.25,7.44,3.49,2.91,2.12,1.47,0.88,1.14,10,28.0,0.78,105,2.01,0.497,0.625,55.0,142.9,10.42,26.77,negro
ESP000058,11.65,6.8,6.18,5.21,3.48,3.39,5.51,9.0,5.2,7.15,3.3,3.24,2.14,1.58,0.84,1.31,8,27.0,0.62,78,1.89,0.473,0.614,56.2,122.0,8.81,23.8,negro
ESP000059,12.35,7.48,5.8,4.27,3.0,4.61,7.39,10.0,5.33,8.21,3.74,3.64,2.36,1.78,0.74,1.77,9,39.0,0.77,89,2.13,0.598,0.665,55.9,165.1,11.96,29.72,negro
ESP000060,,8.1,6.67,5.43,3.69,4.3,6.1,8.0,5.13,7.61,3.61,3.66,2.27,1.85,0.96,1.3,7,32.0,0.37,95,1.93,0.473,0.59,67.1,185.0,9.87,26.41,marron
ESP000061,20.15,12.69,8.09,6.67,4.28,5.01,9.01,11.0,6.7,10.9,4.89,4.67,3.19,2.13,1.0,2.33,9,45.0,0.65,253,2.49,0.447,0.541,127.2,408.3,15.28,38.65,marron
ESP000062,10.5,6.28,5.16,4.72,2.76,3.18,6.3,9.0,4.68,7.12,3.15,3.26,2.05,1.48,0.64,1.54,9,36.0,0.7,52,2.03,0.6,0.678,42.3,86.1,9.21,23.58,metalico
ESP000063,14.39,8.81,7.42,5.82,,4.77,6.63,8.0,5.14,8.18,3.35,3.41,2.39,2.0,0.94,1.6,9,67.0,0.52,100,1.94,0.461,0.568,83.3,254.7,11.06,29.54,negro
ESP000064,10.67,6.97,5.78,4.9,3.43,4.18,6.37,8.0,5.61,8.56,3.81,3.38,2.6,1.53,0.76,1.45,10,,0.7,101,1.85,0.597,0.802,48.1,128.9,10.62,27.02,marron
ESP000065,,7.68,6.1,4.56,3.15,4.3,5.86,9.0,5.97,7.13,2.96,3.2,1.72,1.65,0.82,1.35,10,35.0,0.78,94,2.03,0.473,0.575,59.0,162.6,10.15,26.4,marron
ESP000066,13.53,7.97,5.5,4.47,2.94,3.76,6.61,9.0,5.45,7.8,3.5,3.24,1.94,1.32,0.85,1.29,8,48.0,0.59,102,2.46,0.489,0.576,58.0,139.9,,27.16,metalico
ESP000067,13.7,8.57,6.5,4.53,3.31,3.89,6.32,9.0,5.36,8.47,4.02,3.74,2.55,1.76,0.92,1.42,9,63.0,0.83,85,2.11,0.461,0.618,69.5,173.2,11.23,28.96,marron
ESP000068,19.42,12.21,7.96,6.42,4.4,5.5,9.11,12.0,7.48,11.38,5.31,4.85,3.34,2.11,1.1,2.36,10,67.0,0.72,195,2.44,0.469,0.586,120.6,425.1,14.42,36.8,metalico
ESP000069,13.72,8.18,6.66,5.34,3.79,5.04,6.38,8.0,6.15,7.86,3.71,3.19,2.1,1.92,0.99,1.26,10,68.0,0.4,132,2.06,0.465,,71.3,230.3,11.9,30.46,negro
ESP000070,9.35,5.56,5.7,4.71,3.06,3.76,5.14,9.0,4.52,6.45,2.89,2.57,1.96,1.59,0.77,1.31,7,24.0,0.34,31,1.64,0.55,0.69,41.6,100.2,8.35,22.4,metalico
ESP000071,21.23,13.67,7.81,6.38,,5.39,10.21,11.0,8.21,11.95,5.44,4.99,3.51,2.12,0.97,2.44,13,57.0,0.95,221,2.72,0.481,0.563,129.3,446.8,17.0,41.81,rojizo
ESP000072,13.57,8.41,6.7,5.33,3.55,4.6,5.81,8.0,6.3,8.39,3.76,3.83,2.32,1.86,0.97,,8,42.0,0.59,82,2.03,,0.618,70.9,209.1,11.67,30.04,negro
ESP000073,8.91,5.17,4.56,3.04,2.56,3.14,4.19,9.0,4.34,5.91,2.87,,1.78,1.17,0.72,0.85,10,15.0,0.81,11,1.95,0.47,0.663,31.7,63.8,,17.6,negro
ESP000074,11.18,7.39,5.28,4.21,3.03,,4.66,8.0,4.82,7.22,3.0,2.93,2.03,1.48,0.93,1.3,8,23.0,0.66,56,2.12,0.417,,46.0,123.1,9.56,24.4,negro
ESP000075,11.04,7.15,5.68,4.29,3.22,,5.08,8.0,4.8,6.3,2.98,2.85,1.68,1.43,0.79,0.99,9,,0.35,26,1.94,0.46,0.571,48.9,133.9,9.1,23.88,negro
ESP000076,19.43,11.9,8.28,6.15,4.68,5.67,8.89,9.0,7.95,11.12,5.06,4.72,3.27,2.15,1.09,1.85,9,62.0,1.16,241,2.35,0.458,0.572,125.5,456.1,15.41,39.1,negro
ESP000077,11.13,6.92,5.69,4.54,3.03,2.99,6.25,8.0,4.62,7.46,3.29,3.22,1.97,1.54,0.82,1.76,10,13.0,0.78,54,1.96,0.562,0.67,49.4,94.7,8.79,23.27,marron
ESP000078,12.92,7.68,6.35,5.18,3.58,4.32,5.57,8.0,5.77,6.96,3.16,2.98,1.97,1.89,0.79,1.31,9,43.0,0.91,92,2.03,0.431,,64.0,177.2,10.9,28.15,negro
ESP000079,20.1,12.62,8.18,6.5,,5.84,9.22,9.0,7.71,11.65,5.38,4.72,3.12,2.13,1.12,1.99,12,88.0,1.06,211,2.46,,0.58,128.2,480.1,15.9,39.98,marron
ESP000080,,14.81,9.4,7.56,5.33,6.16,10.27,11.0,8.91,11.74,5.37,5.14,3.31,2.6,1.27,2.27,10,49.0,1.06,256,2.5,0.438,0.5,172.1,679.5,16.91,43.22,metalico
ESP000081,,7.02,5.72,4.22,3.35,4.31,6.74,9.0,5.7,8.26,,3.43,2.43,1.53,0.79,1.52,7,56.0,0.56,53,2.06,0.573,0.702,52.5,145.1,9.43,24.58,negro
ESP000082,12.77,7.52,6.2,4.85,3.33,4.57,6.41,9.0,5.49,8.5,3.93,3.53,2.34,1.72,0.91,1.33,8,50.0,0.84,74,2.06,0.502,0.666,61.8,180.9,11.62,29.44,negro
ESP000083,,7.9,5.14,4.25,2.72,,5.36,10.0,5.33,7.68,3.9,2.94,2.15,1.44,0.72,1.17,8,37.0,0.7,61,2.37,0.44,0.631,48.8,133.6,9.5,24.14,metalico
ESP000084,11.19,7.27,5.7,3.99,3.17,4.05,5.31,7.0,5.01,6.51,3.11,2.81,1.73,1.48,0.71,1.24,9,55.0,0.83,52,1.96,0.475,0.582,49.8,129.2,9.12,23.94,negro
ESP000085,18.52,11.5,6.95,6.01,,5.26,8.47,11.0,7.09,11.31,5.27,4.72,3.31,1.93,0.98,1.83,10,,1.04,194,2.66,0.457,0.611,100.4,338.5,14.13,35.21,marron
ESP000086,18.14,11.27,7.72,6.19,4.11,4.96,9.29,11.0,7.7,10.32,4.55,4.31,2.93,2.15,1.18,1.96,10,47.0,0.77,190,2.35,0.512,0.569,109.2,347.3,15.03,37.78,metalico
ESP000087,,8.95,6.21,4.87,3.61,4.62,7.34,9.0,5.74,8.42,4.2,3.46,2.19,1.64,0.88,1.58,7,44.0,0.73,131,2.38,0.496,0.569,71.7,212.5,13.21,32.63,marron
ESP000088,12.79,8.24,5.67,4.51,3.1,,6.26,8.0,4.93,7.42,3.11,2.81,2.22,1.67,0.8,1.37,7,47.0,1.02,92,2.26,0.489,0.58,56.6,105.9,9.88,25.43,negro
ESP000089,19.06,11.83,7.39,5.69,3.73,5.75,8.87,11.0,7.21,10.42,,4.15,3.0,2.14,1.02,2.08,12,66.0,0.86,187,2.58,0.465,,109.9,,14.3,35.99,marron
ESP000090,10.98,6.84,5.89,4.52,3.2,3.64,5.25,9.0,5.09,6.47,3.07,2.71,1.8,1.68,0.81,1.2,7,60.0,0.89,51,1.86,,,50.4,117.7,9.53,24.95,metalico
ESP000091,18.24,11.01,6.47,5.45,3.37,5.49,8.36,10.0,7.55,11.12,,4.53,3.05,1.71,0.86,1.65,11,53.0,0.78,178,2.82,0.458,0.61,92.0,323.9,14.14,34.75,metalico
ESP000092,23.06,14.46,8.85,7.41,5.04,5.94,11.06,11.0,8.57,12.55,6.29,5.15,3.45,2.39,1.21,2.56,9,79.0,1.15,282,2.61,0.48,0.544,159.2,606.1,17.47,43.79,metalico
ESP000093,17.2,11.06,6.96,5.82,3.95,4.81,8.48,,6.7,10.22,4.46,4.23,2.86,2.17,0.97,2.01,12,54.0,1.2,188,2.47,0.493,0.594,93.4,287.9,14.32,35.6,negro
ESP000094,22.75,13.9,9.01,7.15,4.98,6.59,9.99,11.0,8.17,12.59,5.62,5.55,3.36,2.78,1.22,2.34,9,69.0,1.31,298,2.52,0.439,0.553,159.9,675.4,17.14,43.29,metalico
ESP000095,14.11,8.89,7.58,6.07,4.08,,6.91,8.0,5.95,9.01,,3.75,2.51,2.13,0.86,1.59,10,51.0,0.71,121,1.86,0.49,0.639,83.4,238.0,11.27,30.12,metalico
ESP000096,13.1,8.74,5.85,4.61,3.25,3.44,5.17,8.0,5.5,8.05,3.77,3.31,2.11,1.74,0.93,1.15,10,37.0,0.38,77,2.24,0.395,0.615,59.8,131.8,10.73,27.31,negro
ESP000097,11.99,7.4,6.03,5.15,3.16,,5.35,9.0,5.39,7.06,3.13,2.81,1.98,1.64,0.82,1.08,9,39.0,0.46,81,1.99,0.446,0.589,56.4,144.6,8.94,23.91,negro
ESP000098,17.92,11.29,7.7,5.81,4.27,5.66,8.06,11.0,6.4,11.18,5.06,5.01,2.99,2.09,1.01,2.09,10,72.0,1.28,181,2.33,0.45,0.624,107.6,390.5,13.36,34.42,metalico
ESP000099,14.76,9.4,6.31,5.0,3.49,4.92,6.26,8.0,6.26,8.57,3.62,3.74,2.33,1.71,0.95,1.47,10,41.0,0.64,102,2.34,0.424,0.581,72.6,229.1,11.85,30.01,negro
ESP000100,11.18,6.36,6.64,4.92,4.06,4.41,4.74,9.0,4.85,7.66,3.74,3.28,1.96,1.98,0.95,1.35,9,35.0,0.96,59,1.68,0.424,0.685,57.9,163.7,10.17,26.98,marron
ESP000101,19.87,12.47,6.92,5.7,,5.23,9.63,10.0,6.99,11.76,5.03,5.06,3.21,2.04,0.87,2.27,11,60.0,0.76,226,2.87,,0.592,107.3,359.6,15.87,38.66,negro
ESP000102,19.17,12.17,7.7,5.93,4.31,5.72,9.05,11.0,7.32,12.5,5.81,,3.58,2.22,1.04,2.05,10,44.0,1.39,257,2.49,,0.652,115.1,422.2,15.15,38.0,metalico
ESP000103,12.25,8.03,6.14,4.96,3.53,3.88,5.97,9.0,4.73,7.42,3.64,3.03,2.21,1.76,0.97,1.23,8,30.0,0.76,112,2.0,0.487,,58.7,145.9,10.16,26.46,negro
ESP000104,11.03,7.05,5.51,4.62,3.17,3.91,5.23,,4.96,7.54,,3.37,1.93,1.6,0.79,0.87,8,,0.87,42,2.0,0.474,0.684,47.4,118.8,9.1,23.71,negro
ESP000105,10.81,7.1,6.05,4.61,3.24,3.75,4.94,9.0,4.6,6.35,2.75,2.56,1.8,1.82,0.77,1.2,9,50.0,0.38,40,1.79,,0.587,51.0,122.6,9.32,24.69,negro
ESP000106,12.77,7.52,6.77,5.37,3.76,4.24,5.82,8.0,4.89,7.06,3.04,2.74,1.8,1.71,0.96,1.3,11,37.0,0.72,79,1.89,0.456,,67.4,183.3,9.9,26.57,rojizo
ESP000107,,7.12,4.92,4.15,,2.92,5.18,9.0,4.62,7.1,3.13,2.93,1.96,1.25,0.56,1.11,7,12.0,0.58,26,2.3,0.457,0.626,43.5,81.5,9.71,24.34,negro
ESP000108,12.41,7.84,6.73,5.27,3.61,4.49,5.25,9.0,5.35,6.93,2.94,2.93,1.79,1.83,0.97,1.38,7,42.0,0.63,68,1.84,0.423,0.558,65.1,187.5,9.93,26.59,metalico
ESP000109,10.22,6.2,5.22,4.3,2.92,3.83,4.48,8.0,4.46,6.71,3.05,2.57,1.75,1.46,0.71,1.14,10,41.0,0.74,10,1.96,0.438,0.657,41.6,102.2,8.47,22.16,negro
ESP000110,18.3,11.14,6.77,5.57,,5.03,9.06,11.0,6.74,9.87,4.58,,2.71,1.87,1.08,2.22,12,,0.6,176,2.7,0.495,0.539,96.6,311.6,14.22,35.21,marron
ESP000111,12.17,7.58,5.51,4.26,2.89,3.73,5.29,,5.15,7.04,3.14,2.83,2.04,1.34,0.86,1.09,9,55.0,0.81,93,2.21,0.435,0.578,52.3,125.1,10.9,27.31,negro
ESP000112,19.31,11.67,8.99,7.06,,5.33,8.74,11.0,7.46,12.15,5.4,4.93,3.54,2.38,1.34,2.22,9,65.0,0.94,246,2.15,0.453,0.629,135.4,462.6,14.68,38.35,metalico
ESP000113,,7.6,5.61,4.54,2.66,,6.09,9.0,5.59,8.73,3.99,,2.64,1.44,0.77,1.42,10,34.0,0.72,48,2.27,0.477,0.684,55.8,128.1,11.14,27.89,negro
ESP000114,22.25,13.92,9.57,7.84,5.19,6.33,9.97,11.0,8.14,13.77,6.42,5.33,3.67,2.85,1.26,2.3,10,67.0,0.95,275,2.32,0.448,0.619,166.1,673.9,16.6,42.77,marron
ESP000115,12.68,8.3,6.41,4.93,3.67,3.73,5.78,8.0,5.49,7.38,3.31,3.36,2.15,1.77,0.93,1.53,7,38.0,0.92,68,1.98,0.456,0.582,63.4,,9.76,25.93,marron
ESP000116,14.52,9.16,6.52,5.55,3.74,4.76,6.4,9.0,6.28,8.47,3.55,3.34,2.33,2.0,0.9,1.65,8,36.0,0.83,106,2.23,0.441,0.583,73.8,225.3,12.31,31.14,negro
ESP000117,12.41,7.7,6.72,5.36,3.77,4.16,5.73,7.0,5.66,7.91,3.88,3.27,2.2,2.02,0.94,1.18,9,,0.65,95,1.85,0.462,0.637,65.0,173.5,10.42,27.56,negro
ESP000118,15.46,9.6,6.28,4.82,,5.09,6.97,10.0,5.82,9.31,4.35,4.06,2.59,1.68,0.86,1.81,8,,0.76,103,2.46,0.451,0.602,75.7,247.1,11.38,29.04,marron
ESP000119,19.65,11.57,6.95,5.26,3.7,5.34,9.55,11.0,7.75,11.52,5.04,5.14,3.43,1.95,0.84,1.75,12,65.0,1.03,236,2.83,,0.586,106.5,364.6,15.21,37.37,negro
ESP000120,19.72,12.32,9.02,7.43,4.89,5.28,9.0,11.0,8.03,11.55,5.29,5.12,2.98,2.49,1.09,2.36,10,67.0,1.01,247,2.19,0.456,0.586,138.7,469.6,14.91,38.84,metalico
