ph_final,acidez_titulable_pct,recuento_probioticos_log_ufc_g,contenido_polifenoles_mg_100g,actividad_antioxidante_pct,tiempo_fermentacion_h,temp_fermentacion_c,tipo_sustrato,cultivo_iniciador,categoria_funcional
3.42,0.97,7.77,152.3,18.0,21.9,32.9,soja,cocultivo,estandar
3.7,0.88,7.99,178.9,48.5,17.1,27.9,avena,cocultivo,estandar
4.23,0.7,7.49,209.8,53.3,22.7,22.6,leche,cocultivo,estandar
3.38,0.57,7.09,157.2,73.0,18.0,32.7,soja,comercial_estandarizado,premium
4.03,0.36,7.21,151.0,55.7,25.0,40.0,soja,cocultivo,no_conforme
4.01,1.09,6.72,166.1,63.0,17.7,32.6,avena,cocultivo,estandar
4.14,0.67,7.5,153.4,53.3,25.9,23.8,leche,comercial_estandarizado,estandar
3.41,0.61,7.98,121.3,47.7,21.9,24.0,te_kombucha,cocultivo,estandar
3.29,0.85,5.26,151.6,38.6,11.2,36.4,leche,comercial_estandarizado,no_conforme
4.39,0.76,6.19,201.7,58.8,16.5,29.5,te_kombucha,cocultivo,premium
4.04,0.78,6.25,155.7,54.6,25.7,30.0,te_kombucha,monocultivo,estandar
4.14,0.91,7.72,151.5,39.2,19.3,27.7,soja,cocultivo,premium
4.57,0.68,7.7,146.1,46.6,15.3,34.0,te_kombucha,monocultivo,estandar
4.06,0.57,6.87,174.7,39.0,18.4,30.8,leche,monocultivo,estandar
3.31,0.75,8.4,168.3,42.3,23.7,25.2,soja,comercial_estandarizado,estandar
3.89,0.79,6.9,169.7,73.7,19.9,28.0,leche,cocultivo,premium
4.29,0.56,7.63,138.3,60.7,17.0,28.8,te_kombucha,cocultivo,premium
3.85,0.56,7.84,56.6,62.9,9.5,28.1,soja,comercial_estandarizado,no_conforme
3.89,0.57,7.07,126.1,40.8,26.4,33.0,avena,cocultivo,estandar
3.79,0.94,8.03,149.6,46.4,13.4,26.5,soja,cocultivo,no_conforme
4.51,1.06,6.9,114.3,73.3,23.3,28.3,leche,comercial_estandarizado,estandar
4.44,1.03,7.18,178.4,44.8,10.2,36.6,soja,comercial_estandarizado,no_conforme
3.37,0.6,7.29,114.8,45.7,15.2,37.0,leche,comercial_estandarizado,no_conforme
4.67,0.64,7.8,61.7,65.0,13.7,37.6,soja,cocultivo,no_conforme
3.73,0.52,8.35,184.2,72.7,22.3,31.7,avena,monocultivo,premium
4.71,1.15,6.59,141.4,73.5,15.1,33.4,soja,monocultivo,estandar
3.54,0.68,6.09,151.0,58.3,20.8,26.8,soja,monocultivo,estandar
4.39,0.77,7.73,79.2,45.7,26.7,27.2,avena,monocultivo,estandar
3.8,0.68,5.52,136.3,60.4,18.6,24.0,avena,cocultivo,no_conforme
3.95,0.81,7.24,144.8,62.7,13.5,32.0,soja,comercial_estandarizado,estandar
4.31,0.57,7.66,153.5,51.8,16.4,32.9,soja,monocultivo,estandar
3.74,0.66,5.79,187.0,51.5,13.0,32.4,soja,cocultivo,estandar
4.11,0.6,6.52,125.0,66.5,22.2,28.7,avena,cocultivo,estandar
4.11,0.31,6.95,141.4,84.5,21.5,28.5,leche,cocultivo,estandar
4.42,0.83,7.1,219.0,29.9,19.5,33.8,avena,monocultivo,estandar
4.48,0.93,7.19,144.6,55.6,12.7,26.0,te_kombucha,cocultivo,no_conforme
4.66,0.97,7.52,208.7,31.3,7.0,30.8,leche,comercial_estandarizado,no_conforme
4.11,1.09,7.75,80.2,56.1,16.2,34.9,soja,comercial_estandarizado,estandar
4.14,0.97,5.93,143.5,50.4,16.4,32.1,te_kombucha,cocultivo,no_conforme
3.8,0.77,8.2,200.4,85.6,13.1,31.6,avena,cocultivo,premium
3.73,0.89,6.97,178.8,63.2,13.5,32.1,leche,cocultivo,premium
3.54,0.67,6.86,211.9,39.1,16.1,31.9,leche,cocultivo,premium
3.92,0.94,8.09,136.0,78.4,21.9,29.5,avena,cocultivo,premium
4.05,0.72,6.77,156.1,31.9,7.5,23.3,avena,comercial_estandarizado,no_conforme
4.01,0.31,6.5,55.7,65.5,15.5,22.5,soja,cocultivo,no_conforme
4.2,0.77,5.69,94.1,82.3,22.5,31.1,avena,monocultivo,no_conforme
3.53,0.79,8.21,171.8,61.1,7.1,29.1,leche,comercial_estandarizado,estandar
4.61,0.54,5.77,125.4,66.0,17.2,37.3,te_kombucha,cocultivo,no_conforme
4.11,0.87,6.15,184.7,63.3,18.2,30.6,avena,comercial_estandarizado,estandar
4.38,1.02,5.5,138.3,53.3,18.5,38.7,avena,cocultivo,no_conforme
4.12,0.55,6.88,172.5,59.7,27.1,26.7,avena,monocultivo,estandar
3.69,0.93,5.7,116.5,32.9,17.9,35.8,avena,comercial_estandarizado,no_conforme
3.89,0.95,8.14,108.3,64.0,14.5,32.1,leche,comercial_estandarizado,estandar
3.0,0.59,6.65,194.2,45.1,15.7,35.5,soja,cocultivo,no_conforme
4.07,0.69,6.27,173.3,68.2,18.2,26.7,avena,comercial_estandarizado,estandar
3.98,0.56,7.5,150.8,50.7,13.4,27.0,leche,monocultivo,estandar
4.42,0.66,6.34,184.3,53.9,10.3,28.0,leche,monocultivo,estandar
3.39,0.77,7.1,186.5,52.3,14.0,36.1,avena,cocultivo,estandar
3.97,1.01,7.93,196.5,43.3,16.6,32.1,avena,cocultivo,premium
3.89,0.65,6.56,137.3,63.5,26.3,35.2,soja,comercial_estandarizado,estandar
3.56,0.47,6.9,120.5,51.6,14.8,25.8,leche,comercial_estandarizado,no_conforme
3.49,0.2,6.61,152.3,39.8,15.0,36.8,soja,cocultivo,estandar
3.59,0.65,6.95,164.6,48.6,11.1,35.1,avena,cocultivo,no_conforme
4.34,0.52,9.5,97.2,52.7,24.7,27.6,avena,cocultivo,estandar
4.34,0.82,5.49,61.3,61.4,19.8,27.1,te_kombucha,comercial_estandarizado,estandar
3.5,0.83,7.93,166.7,58.4,22.0,29.9,te_kombucha,monocultivo,premium
3.94,0.46,7.25,199.7,48.4,20.3,32.3,avena,cocultivo,premium
4.17,0.85,6.64,155.5,59.5,14.4,29.3,te_kombucha,comercial_estandarizado,estandar
4.11,0.74,8.01,140.1,88.9,19.0,32.6,avena,comercial_estandarizado,premium
3.47,0.73,8.2,157.8,51.2,13.1,25.4,te_kombucha,comercial_estandarizado,premium
3.79,0.68,6.48,158.9,12.9,20.4,35.4,leche,comercial_estandarizado,estandar
3.5,0.97,7.13,109.8,38.1,24.0,34.8,leche,monocultivo,no_conforme
4.36,0.9,6.71,161.4,45.4,30.9,33.6,soja,monocultivo,no_conforme
4.91,0.82,7.56,198.0,72.9,13.6,25.9,soja,monocultivo,premium
3.98,1.01,7.34,166.6,73.5,24.2,33.9,avena,cocultivo,estandar
3.25,0.79,7.19,144.8,47.8,22.4,25.6,soja,cocultivo,premium
4.29,0.81,7.55,180.8,58.4,12.2,35.6,te_kombucha,monocultivo,estandar
4.54,0.89,7.61,174.9,53.5,19.2,25.0,soja,cocultivo,estandar
4.52,0.73,8.39,109.4,36.3,24.8,29.2,soja,cocultivo,estandar
4.06,0.54,6.51,202.7,56.4,14.9,33.4,leche,cocultivo,premium
4.19,1.13,7.15,183.5,60.6,20.2,25.8,avena,comercial_estandarizado,premium
4.03,0.97,9.16,164.3,39.1,17.2,22.4,te_kombucha,cocultivo,estandar
4.25,0.52,6.69,169.4,58.6,19.8,27.9,soja,comercial_estandarizado,premium
4.33,0.58,8.19,159.7,72.0,14.4,28.1,avena,cocultivo,premium
3.74,0.57,6.42,121.0,29.3,18.5,28.2,leche,cocultivo,estandar
3.79,0.48,7.78,176.4,57.9,20.4,30.5,te_kombucha,comercial_estandarizado,premium
3.88,0.85,7.06,152.3,66.8,15.3,29.7,soja,monocultivo,premium
3.92,1.08,7.53,195.8,70.5,13.9,30.2,leche,comercial_estandarizado,premium
4.07,0.86,6.97,129.7,38.3,17.7,26.5,soja,cocultivo,estandar
4.39,1.09,8.24,120.0,49.2,15.5,28.1,leche,comercial_estandarizado,estandar
3.54,0.7,7.17,115.5,55.6,18.2,31.6,soja,monocultivo,estandar
4.32,0.83,7.07,192.4,70.9,14.2,26.2,soja,monocultivo,premium
3.93,0.59,7.58,149.0,84.5,22.5,25.3,soja,cocultivo,estandar
3.0,0.78,6.63,128.7,58.4,19.4,29.7,avena,monocultivo,estandar
3.86,0.99,5.33,99.9,74.3,11.0,38.9,avena,monocultivo,no_conforme
3.9,0.92,6.0,252.5,52.4,25.3,38.6,leche,cocultivo,estandar
4.19,0.98,6.63,154.4,49.8,13.8,20.4,avena,comercial_estandarizado,no_conforme
4.21,0.7,8.58,125.4,71.3,16.3,28.1,leche,comercial_estandarizado,premium
4.0,0.96,9.03,131.7,79.6,23.8,29.3,soja,monocultivo,premium
3.71,1.07,6.13,197.3,83.3,14.0,29.4,te_kombucha,comercial_estandarizado,estandar
4.33,0.89,7.33,139.0,44.3,28.3,29.7,avena,monocultivo,no_conforme
3.76,0.5,6.66,107.4,40.0,6.4,27.4,leche,monocultivo,no_conforme
3.58,0.84,7.4,146.8,80.1,6.0,29.1,leche,comercial_estandarizado,no_conforme
3.78,0.83,6.17,215.7,23.2,19.1,25.2,soja,monocultivo,estandar
3.81,0.65,7.49,200.4,51.9,10.8,23.4,soja,comercial_estandarizado,estandar
3.96,0.57,6.56,203.3,45.7,18.4,25.4,avena,cocultivo,estandar
3.84,0.62,6.25,123.4,76.2,13.8,29.8,avena,monocultivo,no_conforme
3.87,1.01,6.68,92.7,57.1,16.5,32.4,soja,comercial_estandarizado,estandar
4.26,0.81,5.59,135.1,63.1,19.4,39.3,soja,cocultivo,no_conforme
4.28,1.11,7.74,133.6,57.7,18.5,27.2,avena,comercial_estandarizado,estandar
4.19,0.42,6.52,150.4,51.2,16.7,33.8,leche,cocultivo,estandar
3.89,0.86,8.4,187.0,63.8,15.6,29.7,soja,monocultivo,premium
3.77,1.1,7.87,127.8,40.9,16.9,28.4,soja,monocultivo,premium
3.92,1.15,8.19,119.3,39.4,14.6,32.6,te_kombucha,monocultivo,estandar
3.95,0.67,6.88,106.4,48.5,23.9,29.3,leche,monocultivo,estandar
4.29,1.1,8.27,179.4,52.1,12.7,26.8,soja,cocultivo,estandar
3.9,1.0,8.26,166.6,44.1,19.4,27.0,te_kombucha,monocultivo,estandar
3.58,1.02,6.89,186.0,56.7,19.7,26.0,soja,comercial_estandarizado,estandar
3.71,0.82,7.26,98.8,88.2,9.1,25.6,soja,cocultivo,no_conforme
4.62,0.98,8.38,130.9,51.0,19.6,31.7,te_kombucha,cocultivo,estandar
3.67,0.96,7.34,201.6,68.6,23.7,30.7,soja,comercial_estandarizado,premium
3.56,0.66,6.64,166.2,50.5,16.9,25.5,te_kombucha,cocultivo,estandar
3.9,0.24,8.08,197.3,72.6,21.4,24.0,soja,cocultivo,premium
4.62,1.01,8.19,188.6,37.7,17.7,33.7,soja,comercial_estandarizado,premium
4.03,0.99,6.49,179.4,68.5,18.8,29.1,leche,cocultivo,premium
4.1,0.93,7.57,125.6,60.3,22.3,29.4,te_kombucha,cocultivo,estandar
3.45,0.7,7.23,145.5,61.2,17.2,29.2,avena,comercial_estandarizado,estandar
3.48,0.7,8.12,162.7,36.1,20.8,29.4,soja,cocultivo,premium
4.0,0.47,6.62,244.0,48.0,10.2,26.3,avena,cocultivo,estandar
