log_p,peso_molecular_da,solubilidad_logS,union_proteica_pct,num_anillos_aromaticos,tiempo_exposicion_h,concentracion_um,tipo_celula,mecanismo_accion,viabilidad_celular_pct
5.64,620.4,-4.92,77.4,0,24.0,28.51,hepatocito,inhibidor_enzimatico,43.79
1.29,341.9,-5.66,80.3,3,48.0,102.88,hepatocito,inhibidor_enzimatico,32.35
4.43,395.5,-3.21,58.7,5,24.0,0.98,renal,inhibidor_enzimatico,88.16
2.26,342.9,-6.52,75.9,2,24.0,0.22,renal,inhibidor_enzimatico,97.73
2.8,420.1,-3.95,78.4,1,24.0,310.26,hepatocito,otro,3.77
4.15,274.2,-3.31,81.1,2,24.0,86.68,hepatocito,inhibidor_enzimatico,3.35
2.04,325.6,-6.11,91.1,2,24.0,1.03,hepatocito,agente_alquilante,94.56
3.41,290.5,-5.01,72.5,2,48.0,12.73,renal,agente_alquilante,19.09
3.4,150.0,-4.38,77.4,4,24.0,0.19,cardiomiocito,inhibidor_enzimatico,98.58
4.55,430.5,-4.15,99.5,3,24.0,226.96,renal,inhibidor_enzimatico,7.9
4.78,488.6,-4.01,78.4,0,72.0,1.08,neuronal,inhibidor_enzimatico,100.0
5.44,516.4,-3.53,97.6,3,24.0,0.91,cardiomiocito,otro,93.35
3.4,587.1,-3.17,59.1,4,24.0,0.57,hepatocito,otro,100.0
3.53,514.0,-5.9,78.1,1,72.0,0.65,neuronal,agente_alquilante,98.55
2.26,391.3,-2.51,95.1,4,24.0,140.73,renal,agente_alquilante,6.27
2.0,465.2,-4.35,88.6,2,72.0,0.82,cardiomiocito,inhibidor_enzimatico,100.0
1.28,336.3,-4.5,98.6,3,72.0,3.2,cardiomiocito,agente_alquilante,63.89
2.71,495.1,-2.67,75.8,2,24.0,6.06,renal,antimetabolito,87.47
3.2,365.5,-4.65,81.8,2,24.0,52.32,renal,antimetabolito,7.79
3.03,150.0,-5.06,51.7,2,48.0,241.85,hepatocito,inhibidor_enzimatico,2.64
3.75,396.2,-6.27,63.2,0,24.0,145.03,renal,inhibidor_enzimatico,6.93
1.24,407.3,-2.49,86.5,2,24.0,6.69,cardiomiocito,antimetabolito,79.17
5.25,259.0,-6.14,72.6,1,48.0,28.62,neuronal,agente_alquilante,7.16
3.4,456.9,-5.58,90.4,0,24.0,0.74,renal,otro,100.0
4.42,542.4,-6.56,76.5,1,24.0,8.3,renal,agente_alquilante,81.81
3.45,261.3,-4.48,86.7,4,48.0,0.46,renal,inhibidor_enzimatico,93.35
1.86,490.7,-6.24,70.0,4,72.0,0.26,renal,antimetabolito,100.0
2.58,504.1,-2.59,67.5,1,24.0,0.19,cardiomiocito,otro,98.3
-1.0,286.0,-4.83,93.2,3,24.0,62.14,hepatocito,agente_alquilante,28.52
3.28,346.8,-5.4,87.0,0,48.0,1.19,renal,otro,98.27
2.91,268.8,-3.55,80.3,3,72.0,185.27,cardiomiocito,inhibidor_enzimatico,2.5
4.58,330.6,-5.29,90.3,0,24.0,30.42,cardiomiocito,inhibidor_enzimatico,43.56
0.72,394.0,-4.15,90.9,1,48.0,12.93,renal,inhibidor_enzimatico,86.31
2.9,539.9,-2.91,94.0,4,24.0,1.58,renal,agente_alquilante,94.05
2.6,323.3,-4.97,76.2,0,48.0,2.31,hepatocito,otro,100.0
1.36,213.4,-4.45,71.2,2,24.0,70.66,cardiomiocito,otro,15.57
1.09,150.0,-4.89,80.7,3,72.0,8.32,hepatocito,agente_alquilante,19.75
1.47,319.7,-4.37,84.4,1,24.0,23.79,renal,antimetabolito,60.38
4.28,242.4,-1.0,64.2,0,24.0,7.04,renal,antimetabolito,45.49
4.28,422.3,-6.56,53.4,1,48.0,169.37,neuronal,otro,4.06
1.13,427.5,-2.9,85.0,2,24.0,4.23,neuronal,inhibidor_enzimatico,100.0
2.78,209.6,-3.93,94.9,3,48.0,52.54,renal,antimetabolito,5.41
3.62,443.5,-4.84,81.6,3,24.0,21.06,neuronal,otro,78.84
3.42,374.6,-2.78,77.0,3,24.0,44.56,renal,otro,36.36
1.03,369.6,-2.5,82.3,2,48.0,2.27,neuronal,otro,93.15
2.22,337.5,-5.08,82.7,1,24.0,1.54,cardiomiocito,otro,91.14
1.13,515.2,-4.1,67.9,2,24.0,2.71,cardiomiocito,inhibidor_enzimatico,98.39
4.32,471.3,-4.73,83.4,1,24.0,0.15,hepatocito,inhibidor_enzimatico,100.0
6.37,422.5,-3.46,94.4,5,48.0,0.17,hepatocito,inhibidor_enzimatico,96.57
2.94,538.1,-3.78,85.0,1,72.0,112.57,renal,antimetabolito,18.93
0.21,404.2,-4.02,78.4,2,72.0,31.67,hepatocito,agente_alquilante,35.03
4.06,416.6,-3.48,89.2,1,24.0,112.27,neuronal,inhibidor_enzimatico,14.76
5.02,464.2,-3.39,87.5,2,48.0,4.45,hepatocito,inhibidor_enzimatico,64.34
4.92,367.6,-2.21,67.8,1,24.0,1.53,hepatocito,agente_alquilante,67.34
3.21,255.8,-5.03,95.8,2,24.0,0.47,cardiomiocito,agente_alquilante,100.0
3.69,611.5,-4.08,90.1,3,48.0,0.11,renal,otro,100.0
3.12,513.2,-1.06,84.3,2,72.0,0.11,neuronal,agente_alquilante,100.0
3.94,244.1,-4.76,85.8,1,48.0,77.31,hepatocito,otro,12.72
4.22,282.0,-2.52,82.9,2,24.0,0.13,renal,agente_alquilante,97.83
2.02,272.1,-5.17,71.3,5,72.0,0.27,cardiomiocito,agente_alquilante,92.83
2.24,217.2,-3.13,87.9,3,48.0,242.52,neuronal,otro,14.57
2.56,443.4,-4.21,80.7,1,24.0,0.22,hepatocito,inhibidor_enzimatico,100.0
2.7,580.3,-3.51,93.7,2,48.0,0.25,cardiomiocito,otro,100.0
3.25,446.5,-4.35,73.9,2,48.0,107.41,hepatocito,antimetabolito,6.43
4.45,587.1,-2.44,71.0,1,48.0,99.67,cardiomiocito,otro,1.49
1.3,349.8,-4.04,69.7,4,24.0,16.58,hepatocito,inhibidor_enzimatico,44.75
4.19,431.6,-4.2,92.7,3,24.0,6.7,hepatocito,inhibidor_enzimatico,92.62
2.74,288.8,-3.42,79.7,1,48.0,0.12,hepatocito,agente_alquilante,96.29
-0.73,402.6,-4.85,73.6,0,48.0,0.14,renal,inhibidor_enzimatico,97.11
2.48,528.9,-6.8,65.0,2,48.0,0.26,renal,inhibidor_enzimatico,95.09
2.65,485.6,-5.8,99.5,2,72.0,87.38,cardiomiocito,agente_alquilante,13.47
3.71,522.4,-4.86,81.3,0,72.0,8.81,renal,otro,96.47
3.77,351.1,-1.93,72.6,1,48.0,44.27,cardiomiocito,otro,18.4
2.99,509.5,-1.26,74.5,3,48.0,15.16,hepatocito,inhibidor_enzimatico,68.3
1.94,574.0,-5.61,94.2,4,48.0,0.62,neuronal,otro,98.36
4.24,467.6,-3.8,76.7,1,48.0,12.85,renal,inhibidor_enzimatico,64.13
2.12,233.2,-4.81,67.2,1,48.0,0.19,cardiomiocito,inhibidor_enzimatico,96.83
1.46,433.9,-3.69,79.0,0,48.0,0.92,cardiomiocito,antimetabolito,97.97
2.17,429.3,-5.54,99.5,3,48.0,37.78,hepatocito,inhibidor_enzimatico,28.79
2.3,319.4,-3.56,95.1,2,24.0,1.28,hepatocito,otro,98.96
2.85,276.3,-4.96,96.0,2,48.0,2.29,renal,inhibidor_enzimatico,93.7
2.42,302.5,-5.43,72.0,3,24.0,1.26,renal,inhibidor_enzimatico,98.89
2.53,537.9,-4.79,62.8,1,48.0,29.38,hepatocito,otro,66.56
3.96,416.0,-6.42,75.5,2,48.0,306.71,hepatocito,agente_alquilante,6.24
4.04,600.5,-3.19,75.1,2,72.0,70.27,renal,otro,45.28
3.69,184.4,-5.03,80.1,3,24.0,0.13,cardiomiocito,agente_alquilante,97.37
2.6,450.7,-2.2,91.1,0,48.0,1.6,hepatocito,inhibidor_enzimatico,96.09
2.13,592.0,-2.99,73.3,1,48.0,24.42,hepatocito,inhibidor_enzimatico,92.77
2.7,619.8,-2.51,70.8,1,72.0,4.69,neuronal,inhibidor_enzimatico,88.16
2.81,335.3,-4.48,66.9,2,48.0,0.24,cardiomiocito,inhibidor_enzimatico,91.6
4.09,591.0,-2.4,88.8,5,48.0,178.83,hepatocito,inhibidor_enzimatico,3.55
2.64,531.3,-2.4,85.0,1,24.0,0.26,neuronal,inhibidor_enzimatico,99.2
1.43,541.9,-4.46,90.8,1,72.0,13.76,hepatocito,otro,100.0
1.91,425.7,-3.91,64.6,5,24.0,202.92,hepatocito,antimetabolito,3.08
5.29,521.2,-2.24,74.3,2,24.0,0.57,neuronal,agente_alquilante,96.77
1.79,509.8,-3.79,95.5,1,24.0,0.3,hepatocito,otro,100.0
1.36,327.7,-4.84,84.9,1,24.0,0.65,neuronal,antimetabolito,100.0
2.62,150.0,-2.67,94.2,1,48.0,59.78,hepatocito,antimetabolito,1.08
5.29,537.0,-2.52,91.6,4,24.0,55.76,hepatocito,antimetabolito,10.28
3.13,528.0,-5.06,88.8,2,24.0,233.22,cardiomiocito,agente_alquilante,7.55
3.38,490.3,-3.45,72.7,2,48.0,264.93,neuronal,inhibidor_enzimatico,6.88
0.95,352.7,-3.95,78.6,5,24.0,0.79,renal,otro,97.09
1.05,352.5,-2.62,83.8,1,24.0,0.77,hepatocito,agente_alquilante,100.0
3.0,212.4,-4.87,99.5,3,72.0,101.29,renal,agente_alquilante,1.84
