temp_cultivo_c,ph_cultivo,do_pct,densidad_inoculo_1e6cel_ml,viabilidad_inicial_pct,glucosa_inicial_g_l,duracion_cultivo_dias,tipo_medio,estrategia_alimentacion,titulo_final_g_l
32.5,6.74,22.1,0.64,90.8,4.49,14,basal,lote_alimentado,5.4
34.6,6.67,34.0,0.41,95.8,7.26,12,optimizado,lote_alimentado,6.02
34.6,6.31,40.9,0.47,99.5,7.04,11,optimizado,lote_alimentado,5.36
36.4,6.96,43.4,0.76,83.6,6.45,15,optimizado,lote,4.88
36.7,7.08,44.9,0.48,92.2,4.41,9,quimicamente_definido,lote_alimentado,4.63
37.8,7.14,50.1,0.72,84.1,2.7,13,optimizado,perfusion,5.33
34.6,7.29,54.0,0.24,92.4,5.46,16,basal,perfusion,6.08
34.8,7.14,24.4,0.48,90.5,5.51,14,quimicamente_definido,lote_alimentado,5.89
32.9,6.88,61.2,0.69,99.5,4.53,14,optimizado,lote_alimentado,6.78
32.5,7.04,41.2,0.61,94.7,4.65,14,quimicamente_definido,lote_alimentado,6.92
31.4,6.77,39.5,0.73,86.7,5.43,14,optimizado,lote_alimentado,6.95
33.5,7.1,59.4,0.45,99.5,7.18,12,optimizado,lote_alimentado,6.13
34.3,6.83,38.0,0.52,84.3,2.86,7,optimizado,perfusion,5.49
34.0,6.32,33.6,0.15,95.5,5.25,7,basal,lote_alimentado,3.96
35.1,6.89,20.4,0.29,99.5,7.35,13,optimizado,lote,3.97
31.3,6.92,61.3,0.58,94.0,2.73,12,optimizado,perfusion,6.9
37.5,6.61,21.8,0.41,95.7,5.76,18,quimicamente_definido,lote_alimentado,5.69
34.6,7.02,27.9,0.63,94.8,6.05,13,optimizado,perfusion,6.33
36.2,7.2,17.3,0.46,91.4,6.15,19,optimizado,lote_alimentado,5.69
34.7,6.61,39.8,0.58,93.6,8.73,10,optimizado,lote,4.71
32.2,7.09,20.7,0.37,84.6,5.96,17,optimizado,perfusion,6.68
33.3,7.12,60.2,0.34,95.0,4.96,14,optimizado,perfusion,6.64
28.0,6.66,36.0,0.67,88.7,5.32,17,basal,lote_alimentado,4.18
34.4,6.79,29.8,0.59,96.4,6.06,10,optimizado,perfusion,6.23
33.9,6.63,49.9,0.5,90.6,4.62,10,optimizado,lote,4.68
36.4,6.76,31.0,0.63,91.6,3.68,11,quimicamente_definido,lote,5.19
30.5,6.89,43.4,0.64,91.1,4.79,17,optimizado,lote_alimentado,6.33
33.8,7.19,56.8,0.67,88.1,5.57,14,optimizado,lote_alimentado,6.88
33.4,6.74,34.5,0.45,94.8,8.48,16,basal,perfusion,6.32
31.5,6.51,40.2,0.39,90.9,5.04,9,quimicamente_definido,perfusion,5.72
31.1,6.2,35.4,0.51,86.9,5.09,18,basal,lote_alimentado,5.89
31.6,6.73,40.9,0.55,89.9,3.93,16,optimizado,lote_alimentado,6.06
36.0,6.57,84.8,0.3,91.2,8.01,11,optimizado,lote_alimentado,5.68
36.0,6.95,17.3,0.17,94.1,6.55,10,quimicamente_definido,perfusion,5.86
31.1,6.96,56.9,0.56,93.1,7.21,12,quimicamente_definido,lote,6.21
33.7,6.5,45.8,0.69,89.8,6.7,14,optimizado,lote_alimentado,6.55
34.9,6.99,35.9,0.52,93.5,4.93,12,quimicamente_definido,perfusion,6.85
34.7,6.85,58.2,0.46,99.5,6.31,14,optimizado,perfusion,7.66
31.0,6.84,61.3,0.53,90.7,4.52,9,quimicamente_definido,perfusion,7.15
32.8,6.77,33.3,0.53,78.0,6.71,17,quimicamente_definido,perfusion,7.3
31.1,7.14,43.9,0.35,86.4,7.8,16,optimizado,lote,5.16
36.0,7.05,37.1,0.54,88.8,9.88,15,basal,lote,3.71
38.5,6.95,50.9,0.68,98.0,4.67,9,basal,lote,3.27
33.9,7.19,47.3,0.56,98.2,7.85,15,optimizado,lote_alimentado,6.56
29.7,6.91,44.8,0.48,89.6,7.32,9,basal,lote_alimentado,5.06
35.6,6.93,50.6,0.62,93.1,4.25,17,quimicamente_definido,lote,6.05
37.1,7.03,51.7,0.59,91.5,6.37,9,basal,lote_alimentado,4.44
37.0,6.83,64.3,0.35,85.8,8.04,12,basal,lote_alimentado,4.57
34.3,6.6,33.8,0.7,92.5,5.06,15,optimizado,lote_alimentado,6.49
35.1,7.34,44.2,0.63,93.9,6.66,9,optimizado,perfusion,6.0
34.2,7.14,76.8,0.55,86.7,5.76,7,quimicamente_definido,lote_alimentado,6.49
35.4,6.58,36.7,0.57,93.2,6.53,11,basal,perfusion,5.93
35.9,6.65,61.0,0.54,97.7,4.91,11,optimizado,lote_alimentado,5.99
32.5,6.63,32.3,0.39,83.4,6.14,11,optimizado,lote_alimentado,5.51
32.8,6.52,54.5,0.6,93.0,6.72,13,quimicamente_definido,perfusion,7.6
33.3,6.99,42.8,0.51,95.9,5.19,12,basal,lote,4.97
33.5,7.28,50.4,0.67,97.2,4.76,13,optimizado,perfusion,6.59
34.4,7.0,41.2,0.42,86.4,5.9,10,basal,lote_alimentado,4.67
36.2,7.29,61.9,0.39,90.1,5.25,11,quimicamente_definido,perfusion,6.39
31.4,6.8,44.5,0.37,92.2,6.05,14,basal,lote,4.75
35.8,6.97,42.9,0.66,97.3,4.87,10,basal,lote,4.37
33.6,6.67,51.2,0.5,99.5,7.34,9,basal,lote_alimentado,4.84
28.3,6.91,35.8,0.42,93.1,6.41,12,optimizado,lote,3.55
33.2,7.17,14.6,0.31,98.4,3.89,19,optimizado,lote,4.75
33.5,7.08,25.5,0.88,91.1,8.18,19,optimizado,lote_alimentado,7.54
35.1,7.16,35.7,0.52,90.3,4.75,5,optimizado,perfusion,4.81
35.2,6.8,67.4,0.41,97.4,5.49,11,quimicamente_definido,perfusion,7.12
34.0,7.13,74.7,0.43,99.5,7.73,12,basal,lote,5.52
32.4,7.26,27.5,0.68,99.5,4.81,12,quimicamente_definido,perfusion,6.79
35.9,7.04,47.1,0.46,88.4,9.09,12,optimizado,lote,4.29
32.6,6.55,36.2,0.34,87.0,2.51,11,optimizado,lote,4.19
31.6,6.97,48.3,0.49,99.5,2.0,12,optimizado,perfusion,5.83
32.7,6.96,28.3,0.75,81.4,6.34,9,basal,lote,4.04
32.9,6.73,49.7,0.69,91.0,3.85,8,basal,perfusion,5.55
33.8,6.64,34.6,0.7,88.9,6.12,9,optimizado,lote_alimentado,5.77
33.1,6.7,29.5,0.4,99.1,4.74,12,optimizado,lote,4.41
33.3,7.19,36.5,0.29,92.7,5.55,14,basal,perfusion,5.95
35.5,6.93,18.8,0.44,94.7,6.43,19,basal,lote_alimentado,5.87
35.6,7.32,53.8,0.44,92.9,6.15,10,optimizado,perfusion,5.7
35.1,6.45,33.9,0.5,90.7,5.62,15,optimizado,lote_alimentado,5.89
33.4,7.01,64.5,0.64,94.9,5.29,12,basal,lote,5.25
32.7,7.3,55.9,0.42,87.3,5.68,11,basal,lote,4.79
33.5,7.36,61.1,0.38,86.8,4.97,14,quimicamente_definido,lote,5.84
33.7,6.77,39.8,0.34,89.8,7.77,12,quimicamente_definido,lote,5.29
35.7,7.3,62.4,0.61,91.0,4.4,10,basal,lote_alimentado,4.62
33.4,7.17,62.3,0.56,88.4,6.41,10,quimicamente_definido,lote,5.29
31.6,7.2,40.0,0.63,92.6,6.5,10,basal,perfusion,5.63
32.3,6.95,46.0,0.31,99.5,3.33,9,basal,lote_alimentado,4.76
37.5,7.15,64.1,0.43,90.7,6.48,14,quimicamente_definido,lote_alimentado,5.61
32.1,7.13,47.3,0.69,96.5,7.7,13,basal,perfusion,6.87
31.5,6.75,35.9,0.56,90.5,5.67,9,quimicamente_definido,lote_alimentado,5.97
33.4,6.22,59.4,0.68,97.9,7.01,8,basal,lote_alimentado,5.65
37.5,7.19,61.0,0.64,86.2,5.9,15,basal,perfusion,5.48
34.2,7.17,33.5,0.61,96.5,6.24,12,quimicamente_definido,lote_alimentado,6.48
34.6,7.09,51.0,0.41,93.8,7.28,12,quimicamente_definido,lote_alimentado,6.25
30.8,6.8,45.5,0.48,94.1,5.75,12,optimizado,perfusion,6.04
31.0,6.8,60.0,0.55,85.7,6.85,12,basal,lote_alimentado,5.5
34.0,6.51,35.5,0.85,89.7,3.67,10,optimizado,lote_alimentado,6.16
